"pre_idbatchcage","post_idbatchcage","post_batchcage","batch","Cage","winner","loser","score","group","period","time","lightsoff","date","ztime"
"2 Batch 1 Cage 3"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 3-2","Cage 1-1",1,"reorganized","Post","25 hours",11,2019-10-03,-1137
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,-1063
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,-1021
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,-960
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,-889
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,-838
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,-809
"4 Batch 1 Cage 1"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 1-4","Cage 5-2",1,"reorganized","Post","25 hours",11,2019-10-03,-747
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,-700
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 5-4",1,"reorganized","Post","25 hours",11,2019-10-03,-534
"4 Batch 1 Cage 1"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 1-4","Cage 3-3",1,"reorganized","Post","25 hours",11,2019-10-03,-507
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,-418
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,-307
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,-291
"3 Batch 1 Cage 2"," Batch 1 Cage 3","Batch 1 Cage 3","1","Cage 3","Cage 2-3","Cage 1-3",1,"reorganized","Post","25 hours",11,2019-10-03,-208
"3 Batch 1 Cage 5"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 5-3","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,-170
"4 Batch 1 Cage 1"," Batch 1 Cage 4","Batch 1 Cage 4","1","Cage 4","Cage 1-4","Cage 3-3",1,"reorganized","Post","25 hours",11,2019-10-03,-112
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,-54
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,-42
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,2
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 5-3",1,"reorganized","Post","25 hours",11,2019-10-03,13
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 3-1",1,"reorganized","Post","25 hours",11,2019-10-03,77
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 2-1",1,"reorganized","Post","25 hours",11,2019-10-03,894
"1 Batch 1 Cage 1"," Batch 1 Cage 1","Batch 1 Cage 1","1","Cage 1","Cage 1-1","Cage 3-2",1,"reorganized","Post","25 hours",11,2019-10-03,917
"1 Batch 1 Cage 3"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 3-1","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,993
"2 Batch 1 Cage 1"," Batch 1 Cage 2","Batch 1 Cage 2","1","Cage 2","Cage 1-2","Cage 2-4",1,"reorganized","Post","25 hours",11,2019-10-03,1026
