"Cage","winner","loser","score","batch","batch.cage","group","time","id","pre_batchcage","date","hrs","min","sec","lightsoff","ztime"
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,1,23,11,83
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,2,8,11,128
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,11,3,1,11,181
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,5,25,11,325
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,5,39,11,339
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,7,39,11,459
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,10,34,11,634
"Cage 3",3,2,1,"1","Batch 1 Cage 3","reorganized","25 hours",3,"Batch 1 Cage 3",2019-09-27,11,11,14,11,674
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,13,45,11,825
"Cage 4",1,3,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,14,4,11,844
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,14,30,11,870
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,11,15,13,11,913
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,11,16,32,11,992
"Cage 3",2,4,1,"1","Batch 1 Cage 3","reorganized","25 hours",2,"Batch 1 Cage 3",2019-09-27,11,17,0,11,1020
"Cage 2",1,3,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-27,11,17,27,11,1047
"Cage 5",1,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",1,"Batch 1 Cage 5",2019-09-27,11,18,27,11,1107
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,18,59,11,1139
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,24,14,11,1454
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,25,12,11,1512
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,26,36,11,1596
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,27,57,11,1677
"Cage 1",2,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",2,"Batch 1 Cage 1",2019-09-27,11,28,24,11,1704
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,28,39,11,1719
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,29,35,11,1775
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,30,2,11,1802
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,11,30,47,11,1847
"Cage 3",2,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",2,"Batch 1 Cage 3",2019-09-27,11,32,15,11,1935
"Cage 4",1,4,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,11,33,9,11,1989
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,11,34,16,11,2056
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,40,52,11,2452
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,11,44,27,11,2667
"Cage 1",1,2,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,48,38,11,2918
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,48,56,11,2936
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,11,50,7,11,3007
"Cage 1",1,4,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,11,50,32,11,3032
"Cage 4",1,2,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,14,27,35,11,12455
"Cage 4",1,3,1,"1","Batch 1 Cage 4","control","25 hours",1,"Batch 1 Cage 4",2019-09-27,14,28,33,11,12513
"Cage 1",3,1,0.5,"1","Batch 1 Cage 1","reorganized","25 hours",3,"Batch 1 Cage 1",2019-09-27,14,33,6,11,12786
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,14,33,37,11,12817
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,14,37,13,11,13033
"Cage 1",1,3,1,"1","Batch 1 Cage 1","reorganized","25 hours",1,"Batch 1 Cage 1",2019-09-27,14,38,23,11,13103
"Cage 3",1,3,1,"1","Batch 1 Cage 3","reorganized","25 hours",1,"Batch 1 Cage 3",2019-09-27,14,39,58,11,13198
"Cage 2",1,4,1,"1","Batch 1 Cage 2","reorganized","25 hours",1,"Batch 1 Cage 2",2019-09-27,14,42,42,11,13362
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,14,48,37,11,13717
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,14,48,54,11,13734
"Cage 5",3,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,14,52,42,11,13962
"Cage 5",4,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",4,"Batch 1 Cage 5",2019-09-27,14,53,29,11,14009
"Cage 5",3,1,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,14,54,54,11,14094
"Cage 5",3,2,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,14,55,18,11,14118
"Cage 5",3,4,1,"1","Batch 1 Cage 5","reorganized","25 hours",3,"Batch 1 Cage 5",2019-09-27,14,55,35,11,14135
