ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,module
GO:0010498,proteasomal protein catabolic process,0.043419267,0.019775959,9.87E-14,2.13E-10,1.82E-10,Sdf2/Rad23a/Sgta/Crbn/Cav1/Ubqln4/Ube2g2/Tmem259/Chfr/Fbxw5/Kctd5/Derl2/H13/Gipc1/Ubxn6/Sirt1/Fzr1/Rnf185/Nemf/Mta1/Ercc8/Mapk8/Dab2/Dcaf11/Rnf19a/Usp25/Agap3/Prkn/Trem2/Spsb3/Axin1/Wac/Tbl1x/Faf2/Ankzf1/Klhl20/Spopl/Itch/Sdcbp/Rnf19b/Nub1/Tmub1/Dvl1/Rchy1/Rnf34/Fbxl14/Kctd13/Fbxl19/Ophn1/Psmd10/Erlin2/Amfr/Wwp2/Fbxo22/Smarcc1/Trib1/Fbxl2/Znrf1/Vhl/Ogt/Fbxo33/Rnf126/Ube2r2/Man1b1/Topors/Anapc10/Bbs7/Edem2/Usp5/Ube2h/Wfs1/Ufl1/Fbxl4/Ubac2/Bag2/Hecw2/Nhlrc1/Hectd3/Tmem67/Ecpas/Styx/Epm2a/Socs6/Gsk3a/Birc2/Spop/Sh3rf2/Cd2ap/Aup1/Sco1/Rnf121/Fam122a/Ube2d3/Ccdc47/Hspa1b/Hspa1a,96,grey
GO:0006397,mRNA processing,0.042966983,0.019302025,5.55E-14,2.13E-10,1.82E-10,Ddx39/Ctr9/Lsm2/Rnmt/Sugp1/Hnrnpl/Srsf1/Ddx39b/Xab2/Sf3a2/Zc3h14/Zfp36l1/Snrnp48/Ddx46/Smn1/Ecd/Hsf1/Hnrnpll/Srsf7/Luc7l/Thoc1/Rbm27/Rbm22/Sf3b2/Alyref/Sf3b1/BC005624/Cwc22/Cstf3/Xrn2/Cstf1/Zfp64/Rbm39/Aar2/Prpf38b/Smu1/Psip1/Khdrbs1/Ppp1r8/Sf3a3/Srsf4/Dhx15/Fip1l1/Brdt/Zfp326/Tfip11/Zcchc8/Cpsf4/Rbm28/Isy1/Strap/U2af2/Gpkow/Aff2/Nono/Coil/Thoc5/Rnps1/Ythdc1/Kin/Sf3b6/Srrt/Dhx38/Scaf1/Ramac/Prpf18/Zc3h10/Trub2/Gemin8/Virma/Cir1/Cpsf2/Hnrnpf/Tent2/Leo1/Cd2bp2/Safb2/Thrap3/Lsm11/Zfp830/Scaf8/Pcbp1/Adarb2/Jmjd6/Hnrnpc/Prpf40a/Snrpa/Snrnp70/Nup98/Gpatch1/Prpf4/Sf3b4/Tut1/Snrnp40/Casc3,95,grey
GO:0034660,ncRNA metabolic process,0.042062415,0.020120638,4.60E-12,4.47E-09,3.83E-09,Snd1/Pwp1/Farsa/Cavin1/Bud23/Mettl1/Dus3l/Mettl16/Lage3/Exosc10/Ddx27/Nol11/Rars/Sirt1/Ddx21/Macroh2a2/Elac2/Ddx52/Ftsj3/Dtd2/Snapc1/Drosha/Utp23/Rpp14/Rrp36/Wdr4/Thada/Wdr46/Rbfa/Rela/Ints4/Sirt7/Exosc7/Wdr75/Tfb2m/Iars2/Sephs1/Elp4/Exosc9/Ints3/Gar1/Gatb/Elp1/Trit1/Nsun4/Nol9/Ints11/Zcchc4/Pus1/Gatc/Mepce/Thumpd3/Pop4/Tarsl2/Ears2/Rrp8/Dkc1/Dus2/Smarca4/Ice2/Ybey/Trmt13/Ints14/Exosc1/Snapc4/Tfb1m/Srrt/Ints7/Wdr36/Tsr1/Polr3k/Ctu1/Trub2/Mars/Ints8/Utp4/Tent2/Ago4/Trmt10c/Esf1/Tyw3/Cd3eap/Tyw5/Exd1/Sephs2/Pusl1/Utp18/Ddx49/Taf1b/Mrps9/Nol10/Tut1/Ints5,93,grey
GO:0009896,positive regulation of catabolic process,0.039348711,0.018181818,3.26E-12,3.80E-09,3.25E-09,Gnai3/Fbxo7/Tsc2/Stk11/Rad23a/Ikbkg/Sgta/Cav1/Pttg1ip/Mettl16/Git1/Tmem259/Chfr/Pip4k2b/Dcn/Sirt1/Fzr1/Rnf185/Cnot8/Sptlc2/Hif1a/Zfp36l1/Entpd5/Sptlc1/Prxl2c/Lpcat1/Mapk8/Bnip3l/Dab2/Rnf19a/Hsf1/Prkn/Trem2/Axin1/Wac/Cpt1a/Acsl5/Itch/Rnf19b/Nub1/Dvl1/Rchy1/Ulk1/Psmd10/Adam9/Wwp2/Vps11/Fbxo22/Snx1/Trib1/Gga1/Idua/Atm/Becn1/Bbs7/Tob1/Mylip/Edem2/Sesn1/Usp5/Rab3gap2/5330417C22Rik/Dxo/Ambra1/Oaz2/Bag2/Sgsm3/Hecw2/Dact1/Irgm1/Gigyf2/Foxo3/Tmem67/Amer1/Prkaa1/Gja1/Trim32/Nrd1/Epm2a/Gsk3a/Sh3rf2/Upf1/Hmgb1/Csnk2a1/Fam122a/Hspa1b/Hspa1a,87,grey
GO:0016569,covalent chromatin modification,0.038896427,0.019129685,1.30E-10,6.33E-08,5.41E-08,Pwp1/Ppp5c/Brd8/Hdac9/Ctr9/Ctcf/Hdac5/Kansl3/Eya4/Ehmt2/Kdm6b/Sirt1/Usp15/Tcf3/Yeats4/Srebf1/Mbip/Vrk1/Mta1/Ube2e1/Bap1/Brd1/Bcl6/Naa50/Kansl2/Kdm4b/Epc1/Wac/Mbd2/Mbd1/Men1/Pcgf6/Sirt7/Ldb1/Tbl1x/Usp16/Ing5/Rnf2/Bmi1/Mrgbp/Lmna/Pole3/Mier1/Nelfa/Kdm2b/Actl6b/Smarcad1/Prmt3/Eed/Brcc3/Msl3/Ash2l/Carm1/Smarca4/Ogt/Atm/Jdp2/Pim3/Pphln1/Ehmt1/Kdm1a/Arid5a/Atg5/Phb/Supt3/Hlcs/Phf8/Leo1/Mier2/Zmpste24/Epop/Kmt5b/Taf9b/Msl3l2/Pygo2/Tada3/Rlf/Msl1/Kdm3a/Smyd3/Sphk2/Atxn7l3/Pcgf1/Mta2/Mphosph8/Noc2l,86,grey
GO:0042176,regulation of protein catabolic process,0.037991859,0.016286084,1.09E-13,2.13E-10,1.82E-10,Rad23a/Sgta/Cav1/Ubqln4/Pttg1ip/Ube2g2/Tmem259/Chfr/Psmd3/Derl2/Gipc1/Timp3/Fzr1/Xpo1/Rnf185/Lpcat1/Hmgcr/Mapk8/Dab2/Rnf19a/Usp25/Prkn/Trem2/Axin1/Wac/Rela/Sufu/Chmp6/Agap2/Pdcl3/Itch/Sdcbp/Rgp1/Rnf19b/Nub1/Mad2l2/Dvl1/Rchy1/Mad2l1/Ophn1/Flna/Psmd10/Adam9/Wwp2/Egln1/Vps11/Anxa2/Fbxo22/Snx1/Smarcc1/Trib1/Gga1/Vhl/Ogt/Bbs7/Azin1/Mylip/Edem2/Usp5/Phb/Ufl1/Oaz2/Ubac2/Bag2/Sgsm3/Hecw2/Dact1/Trim39/Snx12/Tmem67/Amer1/Gja1/Trim32/Styx/Nrd1/Epm2a/Gsk3a/Sh3rf2/Wdr91/Sco1/Csnk2a1/Fam122a/Hspa1b/Hspa1a,84,grey
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,0.037991859,0.016975442,1.19E-12,1.73E-09,1.48E-09,Rad23a/Sgta/Crbn/Cav1/Ubqln4/Ube2g2/Chfr/Fbxw5/Kctd5/Derl2/Gipc1/Sirt1/Fzr1/Rnf185/Nemf/Mta1/Ercc8/Mapk8/Dab2/Dcaf11/Rnf19a/Agap3/Prkn/Spsb3/Axin1/Wac/Tbl1x/Faf2/Ankzf1/Klhl20/Spopl/Itch/Sdcbp/Rnf19b/Nub1/Tmub1/Dvl1/Rchy1/Rnf34/Fbxl14/Kctd13/Fbxl19/Psmd10/Erlin2/Amfr/Wwp2/Fbxo22/Smarcc1/Trib1/Fbxl2/Znrf1/Ogt/Fbxo33/Rnf126/Ube2r2/Man1b1/Topors/Anapc10/Bbs7/Edem2/Usp5/Ube2h/Wfs1/Ufl1/Fbxl4/Hecw2/Nhlrc1/Hectd3/Tmem67/Ecpas/Styx/Epm2a/Gsk3a/Birc2/Spop/Sh3rf2/Cd2ap/Aup1/Rnf121/Fam122a/Ube2d3/Ccdc47/Hspa1b/Hspa1a,84,grey
GO:0016570,histone modification,0.037087291,0.018397243,5.38E-10,2.24E-07,1.92E-07,Pwp1/Ppp5c/Brd8/Hdac9/Ctr9/Ctcf/Hdac5/Kansl3/Eya4/Ehmt2/Kdm6b/Sirt1/Usp15/Tcf3/Yeats4/Srebf1/Mbip/Vrk1/Mta1/Ube2e1/Bap1/Brd1/Bcl6/Naa50/Kansl2/Kdm4b/Epc1/Wac/Men1/Pcgf6/Sirt7/Ldb1/Tbl1x/Usp16/Ing5/Rnf2/Bmi1/Mrgbp/Lmna/Pole3/Mier1/Nelfa/Kdm2b/Actl6b/Smarcad1/Prmt3/Eed/Brcc3/Msl3/Ash2l/Carm1/Smarca4/Ogt/Atm/Jdp2/Pim3/Ehmt1/Kdm1a/Arid5a/Atg5/Phb/Supt3/Hlcs/Phf8/Leo1/Mier2/Zmpste24/Epop/Kmt5b/Taf9b/Msl3l2/Pygo2/Tada3/Rlf/Msl1/Kdm3a/Smyd3/Sphk2/Atxn7l3/Pcgf1/Mta2/Noc2l,82,grey
GO:0022613,ribonucleoprotein complex biogenesis,0.036635007,0.018914261,4.73E-09,1.38E-06,1.18E-06,Pwp1/Ipo4/Bud23/Lsm2/Mettl16/Exosc10/Ddx27/Srsf1/Nol11/Aatf/Ddx39b/Xab2/Ltv1/Sirt1/Ddx21/Sf3a2/Xpo1/Ddx52/Ftsj3/Eral1/Eif2s1/Nufip1/Drosha/Utp23/Rrp36/Luc7l/Wdr46/Rbfa/Limd1/Gnl3l/Exosc7/Nop16/Sf3b1/Wdr75/Nop58/Eif2d/Tfb2m/Aar2/Exosc9/Gar1/Psip1/Nsun4/Gnl2/Sf3a3/Nol9/Zcchc4/G3bp2/Isy1/Strap/Pop4/Rrp8/Dkc1/Ybey/Coil/Atm/Exosc1/Mrps2/Ythdc1/Surf6/Tfb1m/Wdr36/Tsr1/Efl1/Ramac/Prpf18/Mybbp1a/Gemin8/Nup88/Utp4/Ago4/Rps2/Esf1/Prkaa1/Traf7/Utp18/Ddx49/Abce1/Eif4b/Mrps9/Nol10/Noc2l,81,grey
GO:0007346,regulation of mitotic cell cycle,0.036182723,0.021240844,1.54E-06,0.000145062,0.000124084,Fbxo7/Tpra1/Cdkn1b/Klf4/Map3k20/Pkn2/Vps4b/Nanog/Chfr/Fbxw5/Aatf/Sirt1/Tcf3/Rad50/Id2/Zfp36l1/Slf1/Fam107a/Ecd/Hes1/Hsf1/Donson/Cdkn1a/E4f1/Aif1/Psmg2/Pdgfrb/Incenp/Rad9a/Ctdsp1/Prkcq/Abl1/Atf2/Rae1/Ints3/Nbn/Sdcbp/Anp32b/Brinp1/Rint1/Mepce/Mad2l1/Tgfa/Mbd4/Ercc2/Anapc15/Sh2b1/Rbl2/Nae1/Kank2/Topbp1/Rfwd3/Ino80/Ccnd3/Atm/Ythdc2/Becn1/Brsk1/Pim3/Btg1/Cep85/Heca/Ints13/Hecw2/Zmpste24/Dact1/Lsm11/Kcna5/Cradd/Zfp830/Gigyf2/Dcun1d3/Foxc1/Tmod3/Hmgb1/Zfyve19/Hspa1b/Hspa1a/Nup62/Chmp1b,80,grey
