"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","module"
"GO:0050808","synapse organization",0.0778642936596218,0.0171444436732144,2.59074288218991e-54,1.52568848332164e-50,9.3512182558202e-51,"Cttnbp2/Pdgfb/Sez6/Fmr1/Efnb2/Ncan/Cacnb3/Ppfia3/Igf1r/Mef2c/Ephb3/Neurl1a/Chrd/Homer1/Gabra1/Ptprs/Pten/Prrt1/Tnr/Ppfibp1/Wasf1/Psen1/Actr2/Rock2/Nrcam/Myh10/Numb/Ctnnd2/Ywhaz/Wnt7b/Nptxr/Arc/Ptk2/Shank3/Trem2/Nrxn1/Slc1a1/Baiap2/Farp1/Nptx1/Arhgef9/Cnksr2/Myo5b/Snca/Epha4/Ngef/Actr3/Abl2/Abi2/Lrp4/Itpka/Epha7/Tmeff1/Ptprd/Unc13b/Nfia/Lrp8/Epha5/Cabp1/Actb/Wasl/Ptn/Add2/Plxnd1/Erc1/Grin2b/Atp2b2/Slc8a2/Itgam/Cdkl5/Arhgef7/Gpm6a/Sorbs2/Egln1/Kirrel3/Nptn/Bsn/Ppp1r9a/Camkv/Arhgap44/Gabrb3/Nrxn2/Vhl/Myo5a/Unc13a/Tpbg/Pdzrn3/Palm/Lrrk2/Pcdh8/Slitrk2/C1qa/Apbb1/Syn1/Shank2/Lzts3/Zfp365/Opa1/Neurod2/Srcin1/Shank1/Clstn1/Magi2/Dgkz/Lrfn2/Erc2/Igsf21/Dlgap3/Cux2/Sipa1l1/Synpo/Lrfn4/Npas4/Slitrk4/Bdnf/Cdk5r1/Elfn1/Rapgef4/Oxtr/Grm5/C1ql3/Lrrc4/Lrrc4c/Prkca/Igfn1/Il1rapl1/Lrrtm4/Shisa7/Tanc2/Ppfia2/Camk2b/Septin11/Grin2a/Lrrtm1/Pclo/Kalrn/Nlgn1/Syngap1/Sptbn2/Prnp",140,"turquoise"
"GO:0007409","axonogenesis",0.0661846496106785,0.0171097383216492,1.53524868180017e-38,2.26026987178029e-35,1.38535992891915e-35,"Lhx2/Bcl11a/Efnb2/Ifrd1/Braf/Tiam1/Etv1/Ulk2/Igf1r/Mef2c/Apc/Ephb3/D130043K22Rik/Nfib/Ptprs/Pten/Tnr/Top2b/Pitpna/Ndel1/Scn1b/Arhgef25/Stxbp5/Nr2e1/Psen1/Adcy1/Nrcam/Myh10/Nin/Numb/Arhgef28/Fezf2/Trio/Matn2/Wnt7b/Ptk2/Twf2/Tiam2/Smad4/Csf1r/Mark2/Bhlhe22/Rnf165/Nptx1/Unc5a/Myo5b/Creb1/Klf7/Trak2/Epha4/Actr3/Plxna2/Kif5c/Stxbp1/Nr4a2/Olfm1/Zeb2/Lrp4/Map1a/Ttl/Skil/Dclk1/Epha7/Nr4a3/Dab1/Stmn1/Epha5/Ulk1/Actb/Rnf6/Plxna4/Plxnd1/Nova2/Cdkl5/Cdh11/Thy1/Dscaml1/Nptn/Cck/Trak1/Mgll/Pip5k1c/Tbr1/Arx/Brsk1/Prdm8/Slitrk2/Apbb1/Egr2/Sema7a/Lmtk2/Nrn1/Sipa1l1/Rtn4r/Plppr4/Rtn4rl1/Slitrk4/Bcl11b/Bdnf/Nog/Cdk5r1/Tenm2/Omg/Lrrc4c/Prkca/Robo2/Map1b/Brsk2/Cntn1/Slit3/Chn1/Cxcl12/Ext1/Kalrn/Cntn4/Lgi1/Bmpr2/Syngap1/Kif5a",119,"turquoise"
"GO:0034765","regulation of ion transmembrane transport",0.0578420467185762,0.0172832650794753,3.6683607142718e-28,1.5430697318819e-25,9.45775104453984e-26,"Fmr1/Calm1/Cacnb3/Cacna1e/Mef2c/Homer1/Pten/Prrt1/Kcnq2/Stac2/Kcnab3/Scn1b/Calm3/Gopc/Psen1/Jsrp1/Tspan13/Fkbp1b/Grin2c/Mink1/Vamp2/Ryr2/Dapk1/Crhbp/Cacna2d3/Kcnv1/Fgf12/Arc/Shank3/Dlg1/Clcn2/Ifngr2/Scn8a/Trem2/Nrxn1/Diaph1/Nedd4l/Kcnip2/Jph3/Snca/Cnih3/Rgs7/Atp1b1/Kcnj3/Stk39/Bpifa1/Chrna4/Kcnab1/Kcnc4/Kcnq5/Hpca/Kcnab2/Tesc/Cabp1/Coro1a/Cx3cl1/Tmem38a/Trpc6/Thy1/Tpcn1/Ank2/Fkbp1a/Myo5a/Adrb1/Neto2/Kcnh3/Wnk2/Shank1/Ptpn3/Cacna2d1/Kcns1/Kcna2/Kcnd3/Sestd1/Hecw2/Kcnj4/Prkce/Dmd/Gsg1l/Kcna1/Grm5/Kcnb1/Gpd1l/Prkca/Plcb1/Kcnf1/Cemip/Actn2/Kcnn2/Per2/Kcnq3/Grin2a/Ptk2b/Kcnh7/Hspa2/Kcnma1/Nlgn1/Cacng3/Kcng1/Grk6/Scn2a/Prnp/Kcnip3/Kcnj11",104,"turquoise"
"GO:0016358","dendrite development",0.0556173526140156,0.011001596446172,1.50741144419901e-43,4.43857299744398e-40,2.72048096955705e-40,"Sez6/Fmr1/Bcl11a/Mef2c/Ephb3/Neurl1a/Bbs1/Nsmf/D130043K22Rik/Git1/Ptprs/Pten/Nr2e1/Psen1/Sgk1/Actr2/Rock2/Mink1/Numb/Plk2/Fezf2/Mapk8/Ctnnd2/Matn2/Arc/Shank3/Dgkg/Spire1/Nedd4l/Camk2a/Parp6/Baiap2/Farp1/Myo5b/Klf7/Trak2/Epha4/Ngef/Actr3/Srgap2/Abl2/Mark1/Abi2/Lrp4/Map1a/Itpka/Dclk1/Ppp3ca/Ptprd/Mpdz/Dab1/Lrp8/Mfsd2a/Epha5/Wasl/Ptn/Mef2a/Cdkl5/Trpc6/Ss18l2/Trak1/Ppp1r9a/Arhgap44/Grn/Tpbg/Palm/Lrrk2/Lzts1/Lzts3/Zfp365/Opa1/Srcin1/Shank1/Ppp1r9b/Camk1d/Camsap2/Cux2/Sipa1l1/Hecw2/Fmn1/Bdnf/Cdk5r1/Rapgef4/Clip1/Rap2a/Il1rapl1/Map1b/Tanc2/Ppfia2/Phactr1/Camk2b/Abi1/Kalrn/Btbd3/Rapgef2/Nlgn1/Syngap1/Celsr2/Arid1b/Lst1",100,"turquoise"
"GO:0050890","cognition",0.0556173526140156,0.0124592212119109,2.945673775814e-38,3.46941457315373e-35,2.12646639521394e-35,"Ccnd2/Comt/Braf/Lamb1/Cacna1e/Cic/Mef2c/Kit/Chrd/Git1/Pten/Prrt1/Ttbk1/Tnr/Crhr1/Vip/Psen1/Sgk1/Igf1/Btg2/Adcy1/Gria1/Amph/Plk2/Jph4/Ctnnd2/Arc/Shank3/Synj1/Trem2/Nrxn1/Rin1/Slc1a1/Jph3/Creb1/Abl2/Abi2/Nr4a2/Meis2/Map1a/Snap25/Chrna4/Kcnab1/Brinp1/B4galt2/Mfsd2a/Prkcz/Ptn/Grin2b/Kras/Slc8a2/Tmod2/Nptn/Ptgs2/Cck/Chrm1/Gabrb3/Nrxn2/Hrh2/Tbr1/Tpbg/Adrb1/Brsk1/Ndrg4/Apbb1/Shank2/Slc24a2/Camk4/Sobp/Neurod2/Egr1/Shank1/Adora1/Cux2/Synpo/Tafa2/Npas4/Camk2n1/Atxn1/Bdnf/Nog/Oxtr/Grm5/Prkca/Plcb1/Rgs14/Jun/Shisa7/Thra/Grin2a/Nptx2/Csmd1/Ppp1r1b/Kalrn/Syngap1/Gpr88/Syt11/Slc17a7/Scn2a/Prnp",100,"turquoise"
"GO:0006887","exocytosis",0.0539488320355951,0.0143680155479975,1.79536350513736e-30,1.05728956817539e-27,6.48031732538525e-28,"Fer/Fmr1/Braf/Grik5/Ppfia3/Kit/Napa/Stx1a/Rala/Syn2/Git1/Tmem167/Abr/Crhr1/Rab3d/Gipc1/Stxbp5/Psen1/Adcy1/Exoc7/Vamp2/Myh10/Rab15/Trim9/Crhbp/Ppp3cb/Dmtn/Ywhaz/Syngr1/Myh9/Stxbp5l/Synj1/Slc4a8/Rab12/Nrxn1/Camk2a/Syt7/Apba1/Cplx2/Myo5b/Snca/Nppc/Stxbp1/Snap25/Rasgrp1/Chrna4/Pex5l/Prss12/Nr4a3/Unc13b/Atp2a2/Erc1/D6Wsu163e/Apba2/Coro1a/Itgam/Stx1b/Cdk16/Syp/Smpd3/Vps4a/Nsf/Myo5a/Unc13a/Pip5k1c/Syt1/Lrrk2/Srcin1/Nrn1/Cplx3/Rab11fip2/Erc2/Scamp5/Rims1/Syt16/Prkce/Stxbp6/Rapgef4/Kcnb1/Prkca/Il1rapl1/Rap1b/Prkcb/Brsk2/Ppfia2/Vsnl1/Syt17/Exoc5/Pclo/Ncs1/Nlgn1/Rab3ip/Sptbn2/Syt11/Septin5/Prkcg/Rab26",97,"turquoise"
"GO:0050767","regulation of neurogenesis",0.0539488320355951,0.0157909349621712,4.62702229993062e-27,1.60285496025244e-24,9.82418542814991e-25,"Lhx2/Fmr1/Bcl11a/Ifrd1/Braf/Tiam1/Ulk2/Kit/Neurl1a/D130043K22Rik/Nf2/Rnf112/Ptprs/Pten/Tnr/Ndel1/Nr2e1/Psen1/Sgk1/Igf1/Actr2/Id2/Nr1d1/Nin/Numb/Fezf2/Mapk8/Wnt7b/Hes1/Ptk2/Shank3/Synj1/Twf2/Tiam2/Trem2/Parp6/Baiap2/Myo5b/Trak2/Epha4/Actr3/Plxna2/Zeb2/Lrp4/Itpka/E2f1/Skil/Arhgef2/Ppp3ca/Epha7/Brinp1/Ptprd/Dab1/Lrp8/Ski/Ulk1/Rnf6/Flt1/Plxna4/Ptn/Bhlhe40/Plxnd1/Cdkl5/Il34/Cx3cl1/Trpc6/Thy1/Nptn/Ss18l2/Trak1/Prkci/Zfp365/Egr2/Opa1/Sema7a/Hey1/S100a10/Cux2/Rtn4r/Atxn1/Bdnf/Nog/Cdk5r1/Sorl1/Lingo1/Grm5/Rgs14/Il1rapl1/Robo2/Map1b/Per2/Camk2b/Cxcl12/Kalrn/Rapgef2/Bmpr2/Syngap1",97,"turquoise"
"GO:0007611","learning or memory",0.0528364849833148,0.0111751232039981,1.11471764676332e-38,2.1881907405964e-35,1.34118133710576e-35,"Ccnd2/Comt/Braf/Lamb1/Cacna1e/Cic/Mef2c/Kit/Chrd/Git1/Pten/Prrt1/Ttbk1/Tnr/Crhr1/Vip/Psen1/Sgk1/Igf1/Btg2/Adcy1/Gria1/Amph/Plk2/Jph4/Ctnnd2/Arc/Shank3/Synj1/Trem2/Nrxn1/Rin1/Slc1a1/Jph3/Creb1/Abl2/Abi2/Nr4a2/Meis2/Map1a/Snap25/Kcnab1/Brinp1/B4galt2/Prkcz/Ptn/Grin2b/Kras/Slc8a2/Tmod2/Nptn/Ptgs2/Cck/Gabrb3/Nrxn2/Hrh2/Tbr1/Tpbg/Adrb1/Brsk1/Ndrg4/Apbb1/Shank2/Slc24a2/Camk4/Neurod2/Egr1/Shank1/Cux2/Synpo/Tafa2/Npas4/Camk2n1/Atxn1/Bdnf/Nog/Oxtr/Grm5/Prkca/Plcb1/Rgs14/Jun/Shisa7/Thra/Grin2a/Nptx2/Csmd1/Ppp1r1b/Kalrn/Syngap1/Gpr88/Syt11/Slc17a7/Scn2a/Prnp",95,"turquoise"
"GO:0042391","regulation of membrane potential",0.0528364849833148,0.0162768098840841,8.76777787353791e-25,2.15139349571936e-22,1.31862764598077e-22,"Sez6/Fmr1/Jup/Cacnb3/Grik5/Akt2/Mef2c/Stx1a/Tusc2/Gabra1/Pten/Kcnq2/Scn1b/Psen1/Gria1/Nrcam/Fkbp1b/Grin2c/Ryr2/Rgs7bp/Bnip3l/Fgf12/Shank3/Dlg1/Cxadr/Slc4a8/Scn8a/Trem2/Nrxn1/Nedd4l/Oga/Kcnip2/Baiap2/Snca/Parp1/Cnih3/Rgs7/Atp1b1/Chrna4/Pex5l/Kcnc4/Ppp3ca/Unc13b/Kcnab2/Prkcz/Gabrd/Gabra4/Atp2a2/Ptn/Grin2b/Slc8a2/Stx1b/Cx3cl1/Cck/Ank2/Ppp1r9a/Gabrb3/Adrb1/Lrrk2/Pank2/Kcnh3/Shank1/Ptpn3/Tmem135/Cacna2d1/Kcna2/Kcnd3/Rims1/Adora1/Cux2/Prkce/Dmd/Npas4/Atxn1/Kcna1/Bdnf/Rapgef4/Kcnb1/Gpd1l/Actn2/Jun/Kcnn2/Kcnmb4/Kcnq3/Grin2a/Ptk2b/Kcnh7/Pclo/Kcnma1/Nlgn1/Insyn1/Gpr88/Slc17a7/Scn2a/Kcnj11",95,"turquoise"
"GO:0048167","regulation of synaptic plasticity",0.0522803114571746,0.0131186228916499,9.98242293889115e-32,7.34831108589125e-29,4.50391161282339e-29,"Fmr1/Braf/Ppfia3/Mef2c/Kit/Neurl1a/Nsmf/Chrd/Pten/Prrt1/Tnr/Crhr1/Gipc1/Nr2e1/Psen1/Adcy1/Gria1/Grin2c/Vamp2/Cyp46a1/Plk2/Jph4/Ctnnd2/Syngr1/Arc/Shank3/Camk2a/Syt7/Rin1/Slc1a1/Abhd6/Jph3/Baiap2/Hras/Cplx2/Snca/Creb1/Epha4/Stxbp1/Slc4a10/Map1a/Snap25/Itpka/Unc13b/Ncdn/Prkcz/Ptn/Erc1/Grin2b/Kras/Atp2b2/Slc8a2/Syp/Nptn/Ptgs2/Ppp1r9a/Mgll/Unc13a/Hrh2/Adrb1/Brsk1/Lzts1/Syn1/Shank2/Slc24a2/Neurod2/Egr1/Erc2/Iqsec2/Rims1/Atf4/Adora1/Sipa1l1/Synpo/Npas4/Bdnf/Nog/Grm5/Kcnb1/Rgs14/Nrgn/Shisa7/Kcnn2/Camk2b/Grin2a/Ptk2b/Lrrtm1/Kalrn/Rapgef2/Mapk1/Nlgn1/Syngap1/Prkcg/Prnp",94,"turquoise"
