"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","module"
"GO:0034660","ncRNA metabolic process",0.0567536889897843,0.0201206376561827,1.28646849299536e-47,6.57998184588726e-44,5.23484608558328e-44,"C1d/Snd1/Ell2/Trmt1/Pih1d1/Farsa/Nob1/Wars2/Emg1/Utp20/Hnrnpa2b1/Bud23/Rsl1d1/Cdkal1/Vars/Dus3l/Gtpbp3/Mettl16/Cars/Trnt1/Naf1/Tsen15/Tsr3/Macroh2a1/Mtrex/Utp25/Exosc10/Ddx27/Rrp7a/Nol11/Rars/Dalrd3/Hars2/Trmt11/Qrsl1/Sirt1/Macroh2a2/Pes1/Znhit3/Elac2/Ddx52/Ftsj3/Dtd2/Snapc1/Nol8/Spin1/Fars2/Riok1/Nsun2/Ints9/Elp3/Dcaf13/Utp23/Parn/Tarbp2/Rpp14/Riok2/Rrp36/Bysl/Wdr4/Thada/Wdr46/Riok3/Rpp21/Lars/Srfbp1/Tcof1/Rpp30/Pdcd11/Trub1/Tsr2/Pa2g4/Exosc7/Wdr75/Imp4/Mterf4/Dars/Iars2/Elp4/Nat10/Zc3h8/Dtd1/Exosc9/Exosc8/Ints3/Gatb/Tars2/Rars2/Nol6/Elp1/Nsun4/Ebna1bp2/Mrto4/Ago3/Utp11/Nol9/Mtor/Ints11/Zcchc4/Dhx37/Mrpl1/Gatc/Mrm2/Ddx54/Pop7/Mepce/Bms1/Ddx47/Thumpd3/Pop4/Mphosph10/Ftsj1/Dkc1/Eri1/Frg1/Mphosph6/Dus2/Ice2/Mto1/Dis3l/Qars/Gtf3c1/Fam207a/Ybey/Trmt13/Rpap2/Usp36/Ints14/Exosc1/Ice1/Tut7/Tsen34/Trmt10b/Wdr18/Ints6l/Snapc4/Abt1/Elac1/Tfb1m/Srrt/Trmt6/Ints7/Rpl10a/Iars/Nop2/Wdr36/Tsr1/Rpf2/Polr3k/Ctu1/Trub2/Mars/Rc3h1/Tbl3/Chd7/Utp4/Rrp9/Ago1/Nop53/Utp15/Tdrkh/Tsen2/Ago4/Trmt10c/Esf1/Tyw3/Cd3eap/Rps8/Ankrd16/Tyw5/Exd1/Sephs2/Polr1a/Rpp38/Fbll1/Pusl1/Trmt1l/Ddx10/Utp18/Tprkb/Ddx17/Tyw1/Las1l/Mtfmt/Taf1b/Rpl26/Rrs1/Exosc5/Nol10/Rps7/Krr1/Lin28b/Rpl7l1/Lyar/Ell/Top1/Tut1/Ints5/Znhit6/Rnf113a2",200,"grey"
"GO:0022613","ribonucleoprotein complex biogenesis",0.054483541430193,0.0189142610943559,2.16268918517248e-47,6.57998184588726e-44,5.23484608558328e-44,"C1d/Crnkl1/Sf3a1/Ipo4/Snrpd1/Pih1d1/Snrnp200/Nob1/Ruvbl2/Ppan/Emg1/Utp20/Srpk1/Bud23/Rsl1d1/Lsm2/Prpf31/Rpl10/Mettl16/Pten/Naf1/Tsr3/Prpf3/Mtrex/Utp25/Gtf3a/Eif3d/Srsf6/Exosc10/Ddx27/Rrp7a/Nol11/G3bp1/Aatf/Ddx39b/Ltv1/Snrpf/Sirt1/Cnot2/Xpo1/Pes1/Znhit3/Ddx52/Ftsj3/Prpf8/Eif2s1/Nol8/Riok1/Mterf3/Nufip1/Brix1/Dcaf13/Utp23/Rrn3/Tarbp2/Noct/Prmt5/Riok2/Rrp36/Bysl/Snrpc/Polr2d/Wdr46/Riok3/Srfbp1/Rpp30/Mrpl11/Pdcd11/Tsr2/Pa2g4/Clns1a/Exosc7/Nop16/Fastkd2/Sf3b1/Wdr75/Imp4/Mterf4/Cdc73/Tsc1/Nat10/Nop56/Exosc9/Exosc8/Nmd3/Khdc4/Nol6/Psip1/Nsun4/Ebna1bp2/Mrto4/Ago3/Gnl2/Sf3a3/Utp11/Nol9/Zcchc4/Dhx37/Mrpl1/Mrm2/Ddx54/Rpl6/Pop7/Isy1/Bms1/Ddx47/Strap/Pop4/Mphosph10/LTO1/Rbmx/Dkc1/Eri1/Frg1/Cnot7/Heatr3/Nudt21/Mphosph6/Rsl24d1/Dhx30/Fam207a/Ybey/Scaf11/Noc4l/Usp36/Coil/Lsm3/Exosc1/Cnot6l/Wdr18/Mrps2/Surf6/Abt1/Cnot1/Rps27l/Tfb1m/Rbmxl1/Gemin5/Rpl10a/Nop2/Wdr36/Tsr1/Rpf2/Efl1/Pak1ip1/Rpl12/Edc3/Prpf18/Rc3h1/Mybbp1a/Nup88/Tbl3/Eif4h/Snrpd2/Chd7/Utp4/Rrp9/Ago1/Nop53/Utp15/Ago4/Dhx9/Gemin7/Cirbp/Esf1/Rps8/Isg20l2/Rpp38/Prkaa1/Fbll1/Zfp622/Traf7/Ddx10/Utp18/Srsf12/Ddx17/Cpsf6/Usp39/Las1l/Eif4b/Rpl26/Rrs1/Exosc5/Nol10/Rps7/Krr1/Rpl7l1/Lyar/Ptges3/Znhit6/Rbis/Taf9",192,"grey"
"GO:0006397","mRNA processing",0.0505107832009081,0.0193020249892288,3.3395720950601e-37,5.08032404961018e-34,4.04176106978458e-34,"Snrnp27/Zmat2/Crnkl1/Sf3a1/Snrpd1/Cdk12/Supt5/Paf1/Ess2/Snrnp200/Srpk1/Hnrnpa2b1/Ddx39/Ctr9/Ptbp1/Lsm2/Hnrnph1/Prpf31/Rnmt/Cdk9/Sugp1/Tsen15/Hnrnpl/Prpf3/Mtrex/Srsf6/Dhx40/Cwc25/Ddx39b/Snrpf/Papolg/Prpf8/Eftud2/Pnn/Zc3h14/Srsf5/Snrnp48/Ddx41/Ddx46/Hnrnpk/Smn1/Ecd/Tdrd3/Rbm26/Rnf219/Pabpn1/Hsf1/Ncbp2/Tra2b/App/Dyrk1a/Son/Scaf4/Noct/Prmt5/Ppil1/Hnrnpll/Snrpc/Mtpap/Polr2d/Nelfe/Iws1/Dhx16/Rbm27/Sf1/Smndc1/Pdcd11/Clns1a/Cpeb1/Sf3b1/Ppil3/Khdrbs2/Cdc73/Cstf3/Xrn2/Cstf1/Zfp64/Raly/Rbm39/Rprd1b/Dhx36/Khdc4/Rprd2/Mettl14/Rngtt/Rnf20/Smu1/Psip1/Khdrbs1/Sf3a3/Srsf4/Dhx15/Rest/Brdt/Zfp326/Tfip11/Zcchc8/Cpsf4/Rbm28/Isy1/Ddx47/Strap/Rbm10/Rbmx/Gpkow/Rbm3/Cstf2/Nono/Rbm41/Frg1/Nudt21/Dcps/Bud13/Sltm/Syncrip/Scaf11/Coil/Cpsf1/Srsf2/Lsm3/Thoc5/Rnps1/Cnot6l/Tsen34/Rbm42/Rbmxl1/Gemin5/Srrt/Dhx38/Prpf18/Cpeb3/Prkrip1/Zc3h10/Trub2/Rprd1a/Virma/Snrpd2/Pcf11/Tardbp/Cir1/Cpsf2/Hnrnpf/Tsen2/Rbm7/Safb2/Alkbh5/Dhx9/Pde12/Zrsr1/Gemin7/Cirbp/Zfp830/Scaf8/Rbm15/Plcb1/Pcbp1/Cstf2t/Srsf12/Ddx17/Cpsf6/Usp39/Jmjd6/Hnrnpa3/Hnrnpm/Akap17b/Wtap/Snrpa/Nup98/Prpf38a/Prpf4/Htatsf1/Srsf3/Tut1/Snrnp40/Rbm15b/Casc3/Usp49/Rnf113a2",178,"grey"
"GO:0010498","proteasomal protein catabolic process",0.0456867196367764,0.0197759586385179,1.5384830642251e-26,1.17020868072622e-23,9.30984685838321e-24,"Akt1/Rmnd5a/Shh/Cul3/Sgta/Ufd1/Cbfa2t3/Ubqln4/Ube2g2/Ppp2cb/Ubxn11/Chfr/Fbxw5/Ube2i/Nfe2l2/Kctd5/Tnfaip1/Derl2/H13/Ubb/Ubxn6/Hsp90b1/Sirt1/Mdm2/Fzr1/Erlec1/Ube2b/Xbp1/Rnft1/Ube2g1/Fbxl20/Mta1/Caml/Ercc8/Fbxl3/Dcaf11/Psme1/Rnf19a/Derl1/Bfar/Sdf2l1/Gsk3b/Usp25/Ube2j2/Agap3/Prkn/Fbxl17/Ubr2/Trem2/Axin1/Cul2/Wac/Csnk1a1/Ddb1/Syvn1/Kat5/Erlin1/Btrc/Arih1/Tbl1x/Rnf41/Get4/Faf2/Ankzf1/Klhl20/Spopl/Tor1a/Dnajc10/Ubr1/Nsfl1c/Itch/Ubxn2b/Alad/Plaa/Plk3/Nub1/Tmub1/Ube4b/Dvl1/Rnf4/Anapc4/Clock/Rchy1/Fbxl14/Det1/Fbxl19/Ophn1/Erlin2/Amfr/Wwp2/Cul5/Nedd4/Fbxo22/Gclc/Armc8/Trib1/Hspa13/Senp1/Vhl/Pomt2/Ogt/Tmub2/Trim13/Rnf126/Lrrk2/Man1b1/Tmtc3/Topors/Siah1a/Anapc10/Bbs7/Uggt1/Edem2/Usp5/Smurf1/Rnf122/Fbxl5/Klhl42/Ankib1/Ufl1/Cop1/Psme4/Nop53/Ubac2/Bag2/Hecw2/Edem3/Nhlrc1/Ubr3/Hectd3/Usp14/Socs4/Bag5/Ubqln2/Ecpas/Commd1/Ltn1/Rnf103/Ubxn8/Fbxo31/Zfand2a/Arntl/Fbxo6/Epm2a/Pcbp2/Birc2/Spop/Ube4a/Psma3/Arrb2/Cd2ap/Arih2/Cdc26/Sco1/Rnf121/Fam122a/Ddi2/Ccdc47/Taf9/Hspa1b/Hspa1a",161,"grey"
"GO:0034470","ncRNA processing",0.0442678774120318,0.0147781128823783,3.18895891544444e-41,6.46827166682647e-38,5.14597264986982e-38,"C1d/Trmt1/Pih1d1/Nob1/Emg1/Utp20/Hnrnpa2b1/Bud23/Rsl1d1/Cdkal1/Dus3l/Gtpbp3/Mettl16/Trnt1/Naf1/Tsen15/Tsr3/Mtrex/Utp25/Exosc10/Ddx27/Rrp7a/Nol11/Trmt11/Sirt1/Pes1/Znhit3/Elac2/Ddx52/Ftsj3/Nol8/Fars2/Riok1/Nsun2/Ints9/Elp3/Dcaf13/Utp23/Parn/Tarbp2/Rpp14/Riok2/Rrp36/Bysl/Wdr4/Thada/Wdr46/Riok3/Rpp21/Srfbp1/Rpp30/Pdcd11/Trub1/Tsr2/Pa2g4/Exosc7/Wdr75/Imp4/Mterf4/Elp4/Nat10/Exosc9/Exosc8/Ints3/Nol6/Elp1/Nsun4/Ebna1bp2/Mrto4/Ago3/Utp11/Nol9/Ints11/Zcchc4/Dhx37/Mrpl1/Mrm2/Ddx54/Pop7/Bms1/Ddx47/Thumpd3/Pop4/Mphosph10/Ftsj1/Dkc1/Eri1/Frg1/Mphosph6/Dus2/Mto1/Fam207a/Ybey/Trmt13/Usp36/Ints14/Exosc1/Tut7/Tsen34/Trmt10b/Wdr18/Ints6l/Abt1/Elac1/Tfb1m/Srrt/Trmt6/Ints7/Rpl10a/Nop2/Wdr36/Tsr1/Rpf2/Polr3k/Ctu1/Trub2/Tbl3/Chd7/Utp4/Rrp9/Ago1/Nop53/Utp15/Tsen2/Ago4/Trmt10c/Esf1/Tyw3/Rps8/Ankrd16/Tyw5/Sephs2/Rpp38/Fbll1/Pusl1/Trmt1l/Ddx10/Utp18/Tprkb/Ddx17/Tyw1/Las1l/Mtfmt/Rpl26/Rrs1/Exosc5/Nol10/Rps7/Krr1/Lin28b/Rpl7l1/Lyar/Tut1/Ints5/Znhit6/Rnf113a2",156,"grey"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",0.0388762769580023,0.0169754416199914,2.33101266878221e-22,1.28947382632179e-19,1.02586863767745e-19,"Akt1/Rmnd5a/Shh/Cul3/Sgta/Cbfa2t3/Ubqln4/Ube2g2/Ppp2cb/Ubxn11/Chfr/Fbxw5/Ube2i/Nfe2l2/Kctd5/Tnfaip1/Derl2/Hsp90b1/Sirt1/Mdm2/Fzr1/Erlec1/Ube2b/Ube2g1/Fbxl20/Mta1/Caml/Ercc8/Fbxl3/Dcaf11/Rnf19a/Derl1/Bfar/Gsk3b/Ube2j2/Agap3/Prkn/Fbxl17/Ubr2/Axin1/Cul2/Wac/Csnk1a1/Ddb1/Syvn1/Kat5/Erlin1/Btrc/Arih1/Tbl1x/Faf2/Ankzf1/Klhl20/Spopl/Dnajc10/Ubr1/Nsfl1c/Itch/Ubxn2b/Plaa/Plk3/Nub1/Tmub1/Ube4b/Dvl1/Rnf4/Anapc4/Clock/Rchy1/Fbxl14/Det1/Fbxl19/Erlin2/Amfr/Wwp2/Cul5/Nedd4/Fbxo22/Gclc/Armc8/Trib1/Hspa13/Senp1/Ogt/Tmub2/Trim13/Rnf126/Lrrk2/Man1b1/Topors/Siah1a/Anapc10/Bbs7/Edem2/Usp5/Smurf1/Rnf122/Fbxl5/Klhl42/Ankib1/Ufl1/Cop1/Nop53/Hecw2/Edem3/Nhlrc1/Ubr3/Hectd3/Usp14/Socs4/Bag5/Ubqln2/Ecpas/Commd1/Ltn1/Rnf103/Ubxn8/Fbxo31/Zfand2a/Arntl/Fbxo6/Epm2a/Pcbp2/Birc2/Spop/Ube4a/Psma3/Arrb2/Cd2ap/Arih2/Cdc26/Rnf121/Fam122a/Ccdc47/Taf9/Hspa1b/Hspa1a",137,"grey"
"GO:0009896","positive regulation of catabolic process",0.0380249716231555,0.0181818181818182,5.1851602473475e-18,2.10344667367397e-15,1.67344224403868e-15,"Gnai3/Mid2/Sox9/Hnrnpd/Akt1/Tsc2/Supt5/Ier3/Ikbkg/Sgta/Eif2ak4/Cbfa2t3/Nprl2/Mettl16/Pten/Chfr/Sirt1/Supv3l1/Tbk1/Apc2/Mdm2/Fzr1/Xbp1/Cnot8/Rnft1/Gga3/Hif1a/Entpd5/Sptlc1/Prxl2c/Lpcat1/Prkcd/Wnt5a/Mtdh/Rnf19a/Hsf1/Ptk2/Gsk3b/App/Prkn/Trem2/Axin1/Wac/Csnk1a1/Ddb1/Kat5/Acsl5/Arih1/Rnf41/Atg4b/Tsc1/Itch/Dhx36/Sec22b/Mettl14/Oaz3/Map3k7/Plk3/Nub1/Dvl1/Htt/Rchy1/Ulk1/Zc3hav1/Det1/Hdac6/Adam9/Cnot7/Wwp2/Vps11/Ldlr/Nedd4/Fbxo22/Gclc/Snx1/Trib1/Flcn/Tpcn1/Idua/Rhbdd3/Nsf/Cnot6l/Becn1/Trim13/Lrrk2/Cnot1/Tmtc3/Bbs7/Larp1/Tob1/Mylip/Edem2/Sesn1/Usp5/Smurf1/Rab3gap2/Cpeb3/Fbxl5/Ythdf2/Lrp1/Ankib1/Rc3h1/Dxo/Ambra1/Oaz2/Cop1/Nop53/Bag2/Sgsm3/Hecw2/Dact1/Irgm1/Ythdf3/Gigyf2/Socs4/Smcr8/Ubqln2/Amer1/Prkaa1/Nrd1/Zfand2a/Epm2a/Abcd2/Fto/Upf1/Egln2/Arih2/Hmgb1/Polr2g/Nanos1/Fam122a/Plekhn1/Hspa1b/Hspa1a",134,"grey"
"GO:0042254","ribosome biogenesis",0.0377412031782066,0.0126669538991814,5.35698338145752e-35,6.5194487752338e-32,5.18668769922592e-32,"C1d/Ipo4/Pih1d1/Nob1/Ppan/Emg1/Utp20/Bud23/Rsl1d1/Rpl10/Mettl16/Pten/Naf1/Tsr3/Mtrex/Utp25/Gtf3a/Exosc10/Ddx27/Rrp7a/Nol11/Aatf/Ltv1/Sirt1/Xpo1/Pes1/Znhit3/Ddx52/Ftsj3/Nol8/Riok1/Mterf3/Brix1/Dcaf13/Utp23/Rrn3/Riok2/Rrp36/Bysl/Wdr46/Riok3/Srfbp1/Rpp30/Mrpl11/Pdcd11/Tsr2/Pa2g4/Exosc7/Nop16/Fastkd2/Wdr75/Imp4/Mterf4/Tsc1/Nat10/Nop56/Exosc9/Exosc8/Nmd3/Nol6/Nsun4/Ebna1bp2/Mrto4/Gnl2/Utp11/Nol9/Zcchc4/Dhx37/Mrpl1/Mrm2/Ddx54/Rpl6/Pop7/Bms1/Ddx47/Pop4/Mphosph10/LTO1/Dkc1/Eri1/Frg1/Heatr3/Mphosph6/Rsl24d1/Dhx30/Fam207a/Ybey/Noc4l/Usp36/Exosc1/Wdr18/Mrps2/Surf6/Abt1/Rps27l/Tfb1m/Rpl10a/Nop2/Wdr36/Tsr1/Rpf2/Efl1/Pak1ip1/Rpl12/Mybbp1a/Nup88/Tbl3/Chd7/Utp4/Rrp9/Nop53/Utp15/Esf1/Rps8/Isg20l2/Rpp38/Fbll1/Zfp622/Traf7/Ddx10/Utp18/Ddx17/Las1l/Rpl26/Rrs1/Exosc5/Nol10/Rps7/Krr1/Rpl7l1/Lyar/Znhit6/Rbis",133,"grey"
"GO:0008380","RNA splicing",0.0377412031782066,0.0156828953037484,5.30939438641211e-24,3.58974053792419e-21,2.85589529627009e-21,"Snrnp27/Zmat2/Crnkl1/Sf3a1/Snrpd1/Cdk12/Ess2/Snrnp200/Srpk1/Hnrnpa2b1/Polr2a/Ddx39/Ptbp1/Lsm2/Hnrnph1/Prpf31/Sugp1/Tsen15/Hnrnpl/Prpf3/Mtrex/Srsf6/Dhx40/Cwc25/Ddx39b/Snrpf/Clk4/Prpf8/Eftud2/Pnn/Srsf5/Snrnp48/Ddx41/Ddx46/Hnrnpk/Smn1/Ecd/Rnf219/Ncbp2/Tra2b/Dyrk1a/Son/Prmt5/Ppil1/Hnrnpll/Snrpc/Iws1/Dhx16/Sf1/Smndc1/Clns1a/Sf3b1/Clk1/Ppil3/Khdrbs2/Zfp64/Raly/Rbm39/Khdc4/Mettl14/Smu1/Psip1/Khdrbs1/Sf3a3/Srsf4/Dhx15/Rest/Brdt/Zfp326/Tfip11/Zcchc8/Rbm28/Isy1/Ddx47/Strap/Rbm10/Rbmx/Gpkow/Rbm3/Nono/Rbm41/Frg1/Dcps/Bud13/Syncrip/Scaf11/Coil/Srsf2/Lsm3/Thoc5/Rnps1/Tsen34/Rbm42/Rbmxl1/Gemin5/Dhx38/Prpf18/Prkrip1/Zc3h10/Virma/Snrpd2/Pik3r1/Tardbp/Cir1/Hnrnpf/Tsen2/Rbm7/Dhx9/Zrsr1/Gemin7/Cirbp/Zfp830/Scaf8/Rbm15/Srsf12/Ddx17/Usp39/Jmjd6/Hnrnpa3/Hnrnpm/Akap17b/Wtap/Snrpa/Nup98/Prpf38a/Prpf4/Htatsf1/Srsf3/Snrnp40/Rbm15b/Casc3/Usp49/Rnf113a2",133,"grey"
"GO:0016569","covalent chromatin modification",0.0368898978433598,0.0191296854803964,1.89963612639069e-14,3.79890409785393e-12,3.02229986524762e-12,"Daxx/Pih1d1/Paf1/Brd8/Ruvbl2/Trim28/Ctr9/Kmt2b/Rbm14/Ezh1/Cdk9/Dmap1/Kansl3/Brms1l/Rnf168/Macroh2a1/Suz12/Kansl1/Trim37/Hdac2/Sirt1/Usp15/Tcf3/Yeats4/Jade2/Ube2b/Xbp1/Per1/Kat2a/Mta1/Prkcd/Eny2/Brd1/Bcl6/Map3k12/Prmt5/Chd1/Satb1/Ubr2/Wac/Ring1/Iws1/Smad4/Cxxc1/Mbd1/Ddb1/Jak2/Kat5/Men1/Ldb1/Tbl1x/Kdm5c/Usp16/Jade1/Uimc1/Ppm1f/Ing5/Cdc73/Elk4/Rbbp5/Bmi1/Ntmt1/Wdr5/Kat14/Mrgbp/Lef1/Lmna/Rnf20/Mier1/Hdac1/Padi2/Rest/Ing3/Actl6b/Prmt3/Eed/Kat8/Hdac6/Msl3/Hcfc1/Ash2l/Brd7/Carm1/Flcn/Usp36/Ogt/Sirt6/Pphln1/Lrrk2/Kdm1a/Kdm6a/Arid5a/Ubr5/Atg5/Setd1b/Kdm3b/Phb/Supt3/Wdr70/Baz2a/Dcaf1/Hlcs/Prkd2/Mettl8/Kdm5b/Setd1a/Usp22/Asxl1/Zmpste24/Tet1/Taf9b/Msl3l2/Pygo2/Kmt2d/Tada3/Rlf/Fbll1/Taf7/BC004004/Msl1/Kdm2a/Nsd3/Smyd3/Per2/Brpf3/Msl2/Mta2/Taf9/Usp49/Prmt1",130,"grey"
