"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000015305",0.829729946353797,0.473768206598794,"Sash1","10","SAM and SH3 domain containing 1","red"
"ENSMUSG00000015653",0.833325257984139,0.23599640552892,"Steap2","5","six transmembrane epithelial antigen of prostate 2","red"
"ENSMUSG00000015714",0.819386247716461,0.215577854157432,"Cers2","3","ceramide synthase 2","red"
"ENSMUSG00000017734",0.836044684531138,0.420876718860149,"Dbndd2","2","dysbindin (dystrobrevin binding protein 1) domain containing 2","red"
"ENSMUSG00000021756",0.814929646423271,0.389073815865607,"Il6st","13","interleukin 6 signal transducer","red"
"ENSMUSG00000021972",0.830889615755314,0.260057597108989,"Hmbox1","14","homeobox containing 1","red"
"ENSMUSG00000022412",0.81721871557439,0.306327535476369,"Mief1","15","mitochondrial elongation factor 1","red"
"ENSMUSG00000023169",0.851667165333604,0.348533854164139,"Slc38a1","15","solute carrier family 38, member 1","red"
"ENSMUSG00000026131",0.819664263917208,0.418454708668052,"Dst","1","dystonin","red"
"ENSMUSG00000026442",0.863173935808586,0.275446682917402,"Nfasc","1","neurofascin","red"
"ENSMUSG00000027254",0.903756409669337,0.248518232658461,"Map1a","2","microtubule-associated protein 1 A","red"
"ENSMUSG00000027665",0.838277284464649,0.525854423642835,"Pik3ca","3","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","red"
"ENSMUSG00000029461",0.853360519319078,0.259512360316017,"Fam168a","7","family with sequence similarity 168, member A","red"
"ENSMUSG00000029822",0.869735550571406,0.51058779090596,"Osbpl3","6","oxysterol binding protein-like 3","red"
"ENSMUSG00000030313",0.812315426854553,0.36676538345968,"Dennd5b","6","DENN/MADD domain containing 5B","red"
"ENSMUSG00000032186",0.826001130223068,0.478962494052268,"Tmod2","9","tropomodulin 2","red"
"ENSMUSG00000033228",0.872827931130056,0.346032968938366,"Scaf11","15","SR-related CTD-associated factor 11","red"
"ENSMUSG00000034312",0.835921974783694,0.270187922498546,"Iqsec1","6","IQ motif and Sec7 domain 1","red"
"ENSMUSG00000034636",0.812401919657801,0.275159058209614,"Zyg11b","4","zyg-ll family member B, cell cycle regulator","red"
"ENSMUSG00000040724",0.909122910241379,0.254805840024396,"Kcna2","3","potassium voltage-gated channel, shaker-related subfamily, member 2","red"
"ENSMUSG00000045962",0.837241035544461,0.278211360129952,"Wnk1","6","WNK lysine deficient protein kinase 1","red"
"ENSMUSG00000048279",0.802622005652612,0.28956771333659,"Sacs","14","sacsin","red"
"ENSMUSG00000052727",0.842151879341626,0.220494858124496,"Map1b","13","microtubule-associated protein 1B","red"
"ENSMUSG00000060206",0.823729102314036,0.573407694053644,"Zfp462","4","zinc finger protein 462","red"
"ENSMUSG00000069601",0.886837449521585,0.431020539074279,"Ank3","10","ankyrin 3, epithelial","red"
"ENSMUSG00000079470",0.803962853633349,0.295307426862419,"Utp14b","1","UTP14B small subunit processome component","red"
"ENSMUSG00000090100",0.87710227375445,0.282256409588479,"Ttbk2","2","tau tubulin kinase 2","red"
"ENSMUSG00000092083",0.869778834083475,0.356510613259107,"Kcnb2","1","potassium voltage gated channel, Shab-related subfamily, member 2","red"
"ENSMUSG00000004633",0.856879124931014,0.315933594804458,"Chn2","6","chimerin 2","lightcyan"
"ENSMUSG00000022629",0.802084815498747,0.59858085823492,"Kif21a","15","kinesin family member 21A","lightcyan"
"ENSMUSG00000025905",0.827277384128781,0.457510720418559,"Oprk1","1","opioid receptor, kappa 1","lightcyan"
"ENSMUSG00000026787",0.930855951987322,0.377965789066517,"Gad2","2","glutamic acid decarboxylase 2","lightcyan"
"ENSMUSG00000037771",0.912075448158093,0.367055625887253,"Slc32a1","2","solute carrier family 32 (GABA vesicular transporter), member 1","lightcyan"
"ENSMUSG00000038805",0.88417731876125,0.34018550619169,"Six3","17","sine oculis-related homeobox 3","lightcyan"
"ENSMUSG00000039419",0.921154842020362,0.409934714386284,"Cntnap2","6","contactin associated protein-like 2","lightcyan"
