"ensgene","kTotal","kWithin","kOut","kDiff","symbol","module"
"ENSMUSG00000000339",154.48889793026,50.3970056974441,104.091892232816,-53.6948865353715,"Rtca","blue"
"ENSMUSG00000000399",298.726715134426,108.227498835303,190.499216299123,-82.2717174638199,"Ndufa9","blue"
"ENSMUSG00000001089",357.929764594576,143.047298355119,214.882466239456,-71.8351678843368,"Luzp1","blue"
"ENSMUSG00000001100",204.144543021262,76.6439339625713,127.500609058691,-50.8566750961194,"Poldip2","blue"
"ENSMUSG00000001119",164.91718287322,31.9501512389981,132.967031634222,-101.016880395224,"Col6a1","green"
"ENSMUSG00000001435",132.995362565722,39.5863412208118,93.4090213449104,-53.8226801240986,"Col18a1","turquoise"
"ENSMUSG00000001472",246.584069554671,48.6726875351588,197.911382019512,-149.238694484353,"Tcf25","brown"
"ENSMUSG00000001525",139.208432182822,42.3062574304495,96.9021747523727,-54.5959173219232,"Tubb5","brown"
"ENSMUSG00000001986",243.037682038323,29.332293765509,213.705388272814,-184.373094507305,"Gria3","black"
"ENSMUSG00000002032",159.589816937116,52.2444713662197,107.345345570896,-55.1008742046768,"Tmem25","brown"
"ENSMUSG00000002107",169.063933262949,39.1270494458692,129.93688381708,-90.809834371211,"Celf2","green"
"ENSMUSG00000002504",303.237559595924,38.4974344767023,264.740125119222,-226.24269064252,"Slc9a3r2","brown"
"ENSMUSG00000002578",239.813019905677,59.6805236145168,180.13249629116,-120.451972676643,"Ikzf4","turquoise"
"ENSMUSG00000002768",121.046640023825,35.4493401015533,85.5972999222714,-50.1479598207181,"Mea1","brown"
"ENSMUSG00000002797",96.1916995551128,35.4183382081613,60.7733613469514,-25.3550231387901,"Ggct","blue"
"ENSMUSG00000002812",161.593153416704,37.2813009841894,124.311852432514,-87.0305514483248,"Flii","blue"
"ENSMUSG00000002844",221.14578228117,90.4768455398109,130.668936741359,-40.1920912015481,"Adprh","blue"
"ENSMUSG00000003072",273.890565884919,120.255535149079,153.63503073584,-33.379495586761,"Atp5d","blue"
"ENSMUSG00000003131",193.59490263252,43.7936926380395,149.80120999448,-106.007517356441,"Pafah1b2","brown"
"ENSMUSG00000003469",168.90295423633,45.3175979988005,123.58535623753,-78.2677582387295,"Phyhip","green"
"ENSMUSG00000003657",112.359618590604,37.8867050941394,74.472913496465,-36.5862084023256,"Calb2","red"
"ENSMUSG00000004535",206.433366841069,77.0771049488719,129.356261892197,-52.2791569433255,"Tax1bp1","blue"
"ENSMUSG00000005506",242.882560271061,61.7569964450698,181.125563825991,-119.368567380921,"Celf1","green"
"ENSMUSG00000005575",151.702166343966,55.2330353445732,96.4691309993933,-41.2360956548201,"Ube2m","blue"
"ENSMUSG00000005873",195.386165913369,52.6031706365631,142.782995276805,-90.1798246402424,"Reep5","brown"
"ENSMUSG00000006435",229.267245618894,49.2759378207481,179.991307798146,-130.715369977398,"Neurl1a","green"
