"ensgene","kTotal","kWithin","kOut","kDiff","symbol","module"
"ENSMUSG00000000439",120.244658017735,23.518784624956,96.7258733927788,-73.2070887678228,"Mkrn2","pink"
"ENSMUSG00000000594",134.139276335869,30.0160431699723,104.123233165897,-74.1071899959244,"Gm2a","magenta"
"ENSMUSG00000000948",115.794114057487,44.8449031369557,70.9492109205308,-26.1043077835751,"Gm38393","turquoise"
"ENSMUSG00000001496",188.208977267255,86.5496838045423,101.659293462712,-15.10960965817,"Nkx2-1","turquoise"
"ENSMUSG00000001521",173.344753303554,26.9667911959205,146.377962107633,-119.411170911713,"Tulp3","pink"
"ENSMUSG00000001924",101.288813699835,30.4511546886973,70.8376590111377,-40.3865043224404,"Uba1","blue"
"ENSMUSG00000001998",163.427138538569,25.1986827728275,138.228455765741,-113.029772992914,"Ap4e1","pink"
"ENSMUSG00000002028",166.077181454008,72.35136778348,93.7258136705276,-21.3744458870476,"Kmt2a","turquoise"
"ENSMUSG00000002475",135.502024464333,50.4339409039986,85.0680835603343,-34.6341426563356,"Abhd3","blue"
"ENSMUSG00000003363",169.901517814163,39.0727956148797,130.828722199283,-91.7559265844034,"Pld3","blue"
"ENSMUSG00000003429",250.066630467828,30.8589892254529,219.207641242375,-188.348652016922,"Rps11","magenta"
"ENSMUSG00000003526",72.4998745767331,39.8048756185292,32.6949989582038,7.10987666032538,"Prodh","yellow"
"ENSMUSG00000003872",114.004689226506,27.2996073974374,86.7050818290687,-59.4054744316313,"Lin7b","red"
"ENSMUSG00000004127",156.562906996623,47.7391829613997,108.823724035223,-61.0845410738235,"Trmt10a","turquoise"
"ENSMUSG00000004892",81.8966527338066,31.4535590610237,50.4430936727829,-18.9895346117593,"Bcan","yellow"
"ENSMUSG00000005732",110.323427034444,25.5549964726491,84.7684305617947,-59.2134340891456,"Ranbp1","red"
"ENSMUSG00000005873",201.145667705163,29.2061023353636,171.9395653698,-142.733463034436,"Reep5","red"
"ENSMUSG00000005881",133.317934056286,50.8856296184625,82.4323044378231,-31.5466748193605,"Ergic3","blue"
"ENSMUSG00000006315",129.326351255961,40.9959856616638,88.3303655942968,-47.334379932633,"Tmem147","blue"
"ENSMUSG00000006373",234.798947382572,66.1564019501935,168.642545432379,-102.486143482185,"Pgrmc1","blue"
"ENSMUSG00000006442",297.26835064253,56.4559367839733,240.812413858556,-184.356477074583,"Srm","brown"
"ENSMUSG00000006651",131.089829569173,27.2198102518805,103.870019317292,-76.6502090654119,"Aplp1","brown"
"ENSMUSG00000006699",235.750744672075,75.7325686572959,160.018176014779,-84.2856073574827,"Cdc42","blue"
"ENSMUSG00000007207",83.0978963372844,25.1455416421544,57.95235469513,-32.8068130529756,"Stx1a","black"
"ENSMUSG00000007833",194.619970184533,84.8489813195993,109.770988864934,-24.9220075453346,"Aldh16a1","turquoise"
"ENSMUSG00000009013",205.207346109843,62.3418098096087,142.865536300234,-80.5237264906253,"Dynll1","blue"
"ENSMUSG00000010517",159.010863794078,43.3729991249477,115.63786466913,-72.2648655441821,"Faf1","blue"
"ENSMUSG00000013275",92.0473983603241,37.455157335961,54.5922410243631,-17.1370836884021,"Slc41a1","yellow"
"ENSMUSG00000013353",201.316245988473,81.5024164912994,119.813829497174,-38.3114130058741,"4931406B18Rik","turquoise"
"ENSMUSG00000013701",101.2391304519,30.517191341592,70.7219391103077,-40.2047477687157,"Timm23","blue"
"ENSMUSG00000014402",113.506753399345,35.3902693859895,78.1164840133552,-42.7262146273658,"Tsg101","blue"
"ENSMUSG00000015120",111.512695324883,34.3449828107237,77.1677125141595,-42.8227297034358,"Ube2i","blue"
"ENSMUSG00000015478",117.390091093196,31.4206699224995,85.9694211706962,-54.5487512481968,"Rnf5","blue"
"ENSMUSG00000015653",88.5308873853483,29.1217447926899,59.4091425926584,-30.2873977999686,"Steap2","turquoise"
"ENSMUSG00000016427",231.045030958978,75.2219166648569,155.823114294121,-80.6011976292637,"Ndufa1","blue"
"ENSMUSG00000016756",99.3064571880929,34.1656321385248,65.1408250495681,-30.9751929110432,"Cmah","turquoise"
