"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction"
"GO:0090407","organophosphate biosynthetic process",0.0892857142857143,0.0167279794544319,0.00243028328687152,0.179435916014014,0.151359748568314,"Eno1/Nfs1/Hpca/Dip2a/Cmpk1",5,"Up"
"GO:0006261","DNA-templated DNA replication",0.0714285714285714,0.00513639203165128,0.000199447561934191,0.146242227295259,0.123359844813632,"Eme2/Ddx21/Ssbp1/Alyref",4,"Up"
"GO:0009165","nucleotide biosynthetic process",0.0714285714285714,0.00746165058652044,0.000817149689815775,0.15771236943007,0.133035264696863,"Eno1/Hpca/Dip2a/Cmpk1",4,"Up"
"GO:1901293","nucleoside phosphate biosynthetic process",0.0714285714285714,0.0076351773443465,0.000890024658183237,0.15771236943007,0.133035264696863,"Eno1/Hpca/Dip2a/Cmpk1",4,"Up"
"GO:0099003","vesicle-mediated transport in synapse",0.0714285714285714,0.00881515929756368,0.00151175606341874,0.179435916014014,0.151359748568314,"Syp/Gipc1/Hpca/Syt5",4,"Up"
"GO:0006260","DNA replication",0.0714285714285714,0.00961338238356355,0.00207311273632734,0.179435916014014,0.151359748568314,"Eme2/Ddx21/Ssbp1/Alyref",4,"Up"
"GO:0016079","synaptic vesicle exocytosis",0.0535714285714286,0.00475463316443396,0.0024245313890851,0.179435916014014,0.151359748568314,"Syp/Gipc1/Syt5",3,"Up"
"GO:0098760","response to interleukin-7",0.0357142857142857,0.000589990976608593,0.000495176841857535,0.146242227295259,0.123359844813632,"Eno1/Gipc1",2,"Up"
"GO:0098761","cellular response to interleukin-7",0.0357142857142857,0.000589990976608593,0.000495176841857535,0.146242227295259,0.123359844813632,"Eno1/Gipc1",2,"Up"
"GO:0009112","nucleobase metabolic process",0.0357142857142857,0.00114527660165197,0.00188448750911716,0.179435916014014,0.151359748568314,"Ttr/Cmpk1",2,"Up"
"GO:0030808","regulation of nucleotide biosynthetic process",0.0357142857142857,0.00128409800791282,0.0023652165873957,0.179435916014014,0.151359748568314,"Eno1/Hpca",2,"Up"
"GO:1900371","regulation of purine nucleotide biosynthetic process",0.0357142857142857,0.00128409800791282,0.0023652165873957,0.179435916014014,0.151359748568314,"Eno1/Hpca",2,"Up"
"GO:0031297","replication fork processing",0.0357142857142857,0.00138821406260845,0.00275975198214783,0.188087712014075,0.158657806261131,"Eme2/Alyref",2,"Up"
"GO:0140014","mitotic nuclear division",0.087719298245614,0.00975220378982439,0.000235493915119124,0.0399162186126915,0.0347663385215338,"Ube2c/Kif18a/Prc1/Cdc23/Ube2s",5,"Down"
"GO:0000280","nuclear division",0.087719298245614,0.0154438814465191,0.00185961021476125,0.136397549936149,0.118799915407824,"Ube2c/Kif18a/Prc1/Cdc23/Ube2s",5,"Down"
"GO:0048285","organelle fission",0.087719298245614,0.0172832650794753,0.00302309917521537,0.162288879932421,0.141350817640255,"Ube2c/Kif18a/Prc1/Cdc23/Ube2s",5,"Down"
"GO:0000070","mitotic sister chromatid segregation",0.0701754385964912,0.00558756160199903,0.000294529440098149,0.0399381920773091,0.0347854770305393,"Ube2c/Kif18a/Prc1/Cdc23",4,"Down"
"GO:0000819","sister chromatid segregation",0.0701754385964912,0.00659401679739016,0.000550687065305796,0.062227638379555,0.0541992006379915,"Ube2c/Kif18a/Prc1/Cdc23",4,"Down"
"GO:0098813","nuclear chromosome segregation",0.0701754385964912,0.00961338238356355,0.00221293960073398,0.136397549936149,0.118799915407824,"Ube2c/Kif18a/Prc1/Cdc23",4,"Down"
"GO:0031145","anaphase-promoting complex-dependent catabolic process",0.0526315789473684,0.000624696328173804,5.86395600944503e-06,0.00397576217440373,0.00346282033820912,"Ube2c/Cdc23/Ube2s",3,"Down"
"GO:0070979","protein K11-linked ubiquitination",0.0526315789473684,0.00107586589852155,3.17175288648481e-05,0.0107522422851835,0.00936501773325251,"Ube2c/Cdc23/Ube2s",3,"Down"
"GO:0051261","protein depolymerization",0.0526315789473684,0.00433816894565142,0.00196570675525288,0.136397549936149,0.118799915407824,"Sh3bp1/Tmod1/Kif18a",3,"Down"
"GO:0046488","phosphatidylinositol metabolic process",0.0526315789473684,0.00510168668008607,0.00311173368601987,0.162288879932421,0.141350817640255,"Pip5k1b/Pigs/Inpp5d",3,"Down"
"GO:0010992","ubiquitin recycling",0.0350877192982456,0.000381758867217325,0.00020905415929641,0.0399162186126915,0.0347663385215338,"Ube2c/Ube2s",2,"Down"
"GO:0010458","exit from mitosis",0.0350877192982456,0.000971749843825918,0.00140607209317111,0.136188125595716,0.11861751041639,"Ube2c/Ube2s",2,"Down"
"GO:0090162","establishment of epithelial cell polarity",0.0350877192982456,0.0012146873047824,0.0021936963779097,0.136397549936149,0.118799915407824,"Fermt1/Sh3bp1",2,"Down"
"GO:0007080","mitotic metaphase plate congression",0.0350877192982456,0.00166585687513015,0.0040908805733865,0.198115502054003,0.172555188095475,"Kif18a/Cdc23",2,"Down"
