"symbol","reg"
"Cstf2t","Up"
"Jag2","Up"
"Exoc6","Up"
"6430548M08Rik","Up"
"Cfap100","Up"
"Syp","Up"
"Tubb3","Up"
"Srsf2","Up"
"Eno1","Up"
"Ube2q1","Up"
"Ube2m","Up"
"Smim8","Up"
"Slc39a11","Up"
"Ttr","Up"
"1110051M20Rik","Up"
"Pld3","Up"
"Eme2","Up"
"Acat2","Up"
"Pgam5","Up"
"Galk2","Up"
"Triqk","Up"
"Hsp90aa1","Up"
"Tagln3","Up"
"Gipc1","Up"
"Rheb","Up"
"Slc25a22","Up"
"Tm9sf1","Up"
"Fdxr","Up"
"Nfs1","Up"
"Rap2b","Up"
"Spryd3","Up"
"Slc25a34","Up"
"Tbc1d19","Up"
"Afap1l1","Up"
"Ap2a1","Up"
"Gtpbp10","Up"
"Hpca","Up"
"Tsen34","Up"
"Bex3","Up"
"Thg1l","Up"
"Med30","Up"
"Bex4","Up"
"Syt5","Up"
"Ddx21","Up"
"Ttc30b","Up"
"Myef2","Up"
"Dpy30","Up"
"Tceal1","Up"
"Ssbp1","Up"
"Tubb4a","Up"
"Alyref","Up"
"Dip2a","Up"
"Pet100","Up"
"Cmpk1","Up"
"Kctd5","Up"
"Cbx4","Up"
"Kbtbd8","Up"
"Egfl6","Up"
"Rasgrp2","Down"
"Pip5k1b","Down"
"Lrrc25","Down"
"Phykpl","Down"
"Zkscan3","Down"
"Olfr127","Down"
"Tspan15","Down"
"Gulp1","Down"
"Sntb2","Down"
"Anxa4","Down"
"Ddt","Down"
"Fermt1","Down"
"Vmn2r27","Down"
"Sell","Down"
"Rhno1","Down"
"0610030E20Rik","Down"
"Sh3bp1","Down"
"5430437J10Rik","Down"
"Dhx16","Down"
"Teddm2","Down"
"5430403G16Rik","Down"
"Vmn2r124","Down"
"Tmod1","Down"
"Six6","Down"
"Phkg1","Down"
"Ccdc171","Down"
"Olfr128","Down"
"Sult1a1","Down"
"Gm11127","Down"
"Rhag","Down"
"Sfta2","Down"
"Ube2c","Down"
"Ap4e1","Down"
"Carf","Down"
"Kif18a","Down"
"Zfp426","Down"
"Prc1","Down"
"Omg","Down"
"Zfp41","Down"
"Cdc23","Down"
"Tulp3","Down"
"Tbp","Down"
"Osmr","Down"
"Mpeg1","Down"
"Arhgap31","Down"
"Kyat3","Down"
"Pigs","Down"
"Olfr961","Down"
"Dhtkd1","Down"
"Inpp5d","Down"
"Crybg2","Down"
"Gm45871","Down"
"Olfr380","Down"
"Pclaf","Down"
"Olfr410","Down"
"Olfr916","Down"
"Sipa1l2","Down"
"Tnfrsf10b","Down"
"Ube2s","Down"
"Tmtc2","Down"
