"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction"
"GO:0070997","neuron death",0.0756302521008403,0.0152009439855626,8.84011844740049e-05,0.0256489722381006,0.0222930505808882,"Ndnf/Egln3/Epha7/Slc9a1/Ccl12/Pla2g3/Nqo1/Foxq1/Isl1",9,"Up"
"GO:0043523","regulation of neuron apoptotic process",0.0672268907563025,0.00982161449295481,2.39894193465662e-05,0.0256489722381006,0.0222930505808882,"Ndnf/Egln3/Epha7/Ccl12/Pla2g3/Nqo1/Foxq1/Isl1",8,"Up"
"GO:0051402","neuron apoptotic process",0.0672268907563025,0.0110363017977372,5.47078366583305e-05,0.0256489722381006,0.0222930505808882,"Ndnf/Egln3/Epha7/Ccl12/Pla2g3/Nqo1/Foxq1/Isl1",8,"Up"
"GO:1901214","regulation of neuron death",0.0672268907563025,0.0136044978135629,0.000230481235571112,0.0408866956050694,0.0355370642046705,"Ndnf/Egln3/Epha7/Ccl12/Pla2g3/Nqo1/Foxq1/Isl1",8,"Up"
"GO:0030099","myeloid cell differentiation",0.0672268907563025,0.0152356493371278,0.000489679110280674,0.0531288477401835,0.0461774483196184,"Prkca/Nckap1l/Pla2g3/Lilrb4a/Adgrf5/Wasf2/Runx1/Prdm16",8,"Up"
"GO:1902105","regulation of leukocyte differentiation",0.0588235294117647,0.0112098285555633,0.000399739354547073,0.0477570958285355,0.0415085385495629,"Prkca/Nckap1l/Pla2g3/Lilrb4a/Runx1/Nfkbiz/Prdm16",7,"Up"
"GO:0030900","forebrain development",0.0588235294117647,0.0138127299229541,0.00135562958648794,0.0850436006060189,0.0739164623163563,"Ndnf/Sox1/Pou3f4/Isl1/Sun2/Syne2/Igf2bp1",7,"Up"
"GO:1903706","regulation of hemopoiesis",0.0588235294117647,0.013951551329215,0.00143524640866626,0.0850436006060189,0.0739164623163563,"Prkca/Nckap1l/Pla2g3/Lilrb4a/Runx1/Nfkbiz/Prdm16",7,"Up"
"GO:0002683","negative regulation of immune system process",0.0588235294117647,0.0155479975012147,0.00263928817723572,0.109395801795219,0.0950824118845177,"Nckap1l/Ccl12/Lilrb4a/Adgrf5/Runx1/Prdm16/Tap1",7,"Up"
"GO:1902107","positive regulation of leukocyte differentiation",0.0504201680672269,0.00655931144582495,0.000138135731367607,0.0311726300452901,0.0270939908191202,"Prkca/Nckap1l/Pla2g3/Lilrb4a/Runx1/Nfkbiz",6,"Up"
"GO:1903708","positive regulation of hemopoiesis",0.0504201680672269,0.00655931144582495,0.000138135731367607,0.0311726300452901,0.0270939908191202,"Prkca/Nckap1l/Pla2g3/Lilrb4a/Runx1/Nfkbiz",6,"Up"
"GO:0045637","regulation of myeloid cell differentiation",0.0504201680672269,0.00770458804747692,0.000328883101222716,0.0445307719055557,0.0387043481228417,"Prkca/Nckap1l/Pla2g3/Lilrb4a/Runx1/Prdm16",6,"Up"
"GO:0098657","import into cell",0.0504201680672269,0.00832928437565073,0.000497020239814617,0.0531288477401835,0.0461774483196184,"Slc29a1/Slc9a1/Kcnj8/Lrrc8a/Kcnj6/Slc6a11",6,"Up"
"GO:0042063","gliogenesis",0.0504201680672269,0.012146873047824,0.00338464826306881,0.114187539079165,0.0992471963698259,"Sox1/Ndrg1/Ccl12/Zcchc24/Sun2/Syne2",6,"Up"
"GO:0030048","actin filament-based movement",0.0420168067226891,0.00447699035191227,0.000202057154933862,0.0408866956050694,0.0355370642046705,"Kcnj8/Wipf3/Wasf2/Sun2/Syne2",5,"Up"
"GO:0002761","regulation of myeloid leukocyte differentiation",0.0420168067226891,0.00478933851599917,0.000276294628993422,0.0430236306398216,0.0373944018155333,"Prkca/Pla2g3/Lilrb4a/Runx1/Prdm16",5,"Up"
"GO:0043524","negative regulation of neuron apoptotic process",0.0420168067226891,0.00659401679739016,0.00117698472959162,0.0850436006060189,0.0739164623163563,"Ndnf/Ccl12/Pla2g3/Foxq1/Isl1",5,"Up"
"GO:0021953","central nervous system neuron differentiation",0.0420168067226891,0.00718400777399875,0.00171678366560649,0.0850436006060189,0.0739164623163563,"Ndnf/Sox1/Prkca/Pou3f4/Isl1",5,"Up"
"GO:0001666","response to hypoxia",0.0420168067226891,0.00749635593808565,0.00206682271905072,0.0976213242416748,0.0848485116241876,"Ndnf/Egln3/Slc9a1/Limd1/Acaa2",5,"Up"
"GO:0060047","heart contraction",0.0420168067226891,0.0082598736725203,0.00313876738444212,0.114187539079165,0.0992471963698259,"Prkca/Slc9a1/Kcnj8/Gjc1/Isl1",5,"Up"
"GO:0002573","myeloid leukocyte differentiation",0.0420168067226891,0.00839869507878115,0.00336991175101505,0.114187539079165,0.0992471963698259,"Prkca/Pla2g3/Lilrb4a/Runx1/Prdm16",5,"Up"
"GO:0036293","response to decreased oxygen levels",0.0420168067226891,0.00843340043034636,0.00342956173502171,0.114187539079165,0.0992471963698259,"Ndnf/Egln3/Slc9a1/Limd1/Acaa2",5,"Up"
"GO:0003015","heart process",0.0420168067226891,0.00867633789130284,0.00386859043879438,0.119318255241157,0.103706607602902,"Prkca/Slc9a1/Kcnj8/Gjc1/Isl1",5,"Up"
"GO:1901215","negative regulation of neuron death",0.0420168067226891,0.00905809675852016,0.00463780095070432,0.138520201924713,0.120396163998934,"Ndnf/Ccl12/Pla2g3/Foxq1/Isl1",5,"Up"
"GO:0050730","regulation of peptidyl-tyrosine phosphorylation",0.0420168067226891,0.00923162351634622,0.00502112313819645,0.14028980434667,0.121934230941131,"Prkca/Epha7/Vps25/Lilrb4a/Isl1",5,"Up"
"GO:1903522","regulation of blood circulation",0.0420168067226891,0.00923162351634622,0.00502112313819645,0.14028980434667,0.121934230941131,"Prkca/Slc9a1/Tbxa2r/Gjc1/Isl1",5,"Up"
"GO:0002274","myeloid leukocyte activation",0.0420168067226891,0.00930103421947664,0.00518056884588885,0.14028980434667,0.121934230941131,"Plpp6/Ndrg1/Pla2g3/Lilrb4a/Adgrf5",5,"Up"
"GO:0048738","cardiac muscle tissue development",0.0420168067226891,0.00937044492260707,0.00534357305586851,0.142799958900907,0.124115955882154,"Slc9a1/Gjc1/Hspg2/Asb2/Isl1",5,"Up"
"GO:0014706","striated muscle tissue development",0.0420168067226891,0.0100645519539113,0.00717847844882366,0.15386408901095,0.133732450839028,"Slc9a1/Gjc1/Hspg2/Asb2/Isl1",5,"Up"
"GO:0046638","positive regulation of alpha-beta T cell differentiation",0.0336134453781513,0.0018393836329562,6.9257506420381e-05,0.0256489722381006,0.0222930505808882,"Nckap1l/Lilrb4a/Runx1/Nfkbiz",4,"Up"
"GO:0046637","regulation of alpha-beta T cell differentiation",0.0336134453781513,0.00253349066426043,0.000241575749512966,0.0408866956050694,0.0355370642046705,"Nckap1l/Lilrb4a/Runx1/Nfkbiz",4,"Up"
"GO:0046635","positive regulation of alpha-beta T cell activation",0.0336134453781513,0.00267231207052127,0.000296568601160759,0.0430236306398216,0.0373944018155333,"Nckap1l/Lilrb4a/Runx1/Nfkbiz",4,"Up"
"GO:0045582","positive regulation of T cell differentiation",0.0336134453781513,0.0036787672659124,0.0009931040014345,0.0850436006060189,0.0739164623163563,"Nckap1l/Lilrb4a/Runx1/Nfkbiz",4,"Up"
"GO:0071456","cellular response to hypoxia",0.0336134453781513,0.00371347261747762,0.0010284137145137,0.0850436006060189,0.0739164623163563,"Ndnf/Egln3/Slc9a1/Acaa2",4,"Up"
"GO:0045639","positive regulation of myeloid cell differentiation",0.0336134453781513,0.00392170472686888,0.00125901398669809,0.0850436006060189,0.0739164623163563,"Prkca/Nckap1l/Pla2g3/Runx1",4,"Up"
"GO:0046634","regulation of alpha-beta T cell activation",0.0336134453781513,0.00399111542999931,0.0013433004580365,0.0850436006060189,0.0739164623163563,"Nckap1l/Lilrb4a/Runx1/Nfkbiz",4,"Up"
"GO:0035710","CD4-positive, alpha-beta T cell activation",0.0336134453781513,0.00402582078156452,0.00138688727571655,0.0850436006060189,0.0739164623163563,"Nckap1l/Lilrb4a/Runx1/Nfkbiz",4,"Up"
"GO:0045621","positive regulation of lymphocyte differentiation",0.0336134453781513,0.00423405289095579,0.00166934876896137,0.0850436006060189,0.0739164623163563,"Nckap1l/Lilrb4a/Runx1/Nfkbiz",4,"Up"
"GO:0046632","alpha-beta T cell differentiation",0.0336134453781513,0.00447699035191227,0.00204670532563174,0.0976213242416748,0.0848485116241876,"Nckap1l/Lilrb4a/Runx1/Nfkbiz",4,"Up"
"GO:0036294","cellular response to decreased oxygen levels",0.0336134453781513,0.0045811064066079,0.00222510828418114,0.0982433679385195,0.0853891668780727,"Ndnf/Egln3/Slc9a1/Acaa2",4,"Up"
"GO:0071453","cellular response to oxygen levels",0.0336134453781513,0.00513639203165128,0.00336036132040383,0.114187539079165,0.0992471963698259,"Ndnf/Egln3/Slc9a1/Acaa2",4,"Up"
"GO:0045580","regulation of T cell differentiation",0.0336134453781513,0.0057957937113903,0.00515589225547098,0.14028980434667,0.121934230941131,"Nckap1l/Lilrb4a/Runx1/Nfkbiz",4,"Up"
"GO:0007596","blood coagulation",0.0336134453781513,0.00596932046921635,0.00571737932726831,0.146987309033949,0.127755431470073,"Prkca/Tbxa2r/Lilrb4a/Entpd2",4,"Up"
"GO:0007599","hemostasis",0.0336134453781513,0.00607343652391199,0.00607312109089125,0.148608541392773,0.129164541146793,"Prkca/Tbxa2r/Lilrb4a/Entpd2",4,"Up"
"GO:0050817","coagulation",0.0336134453781513,0.00607343652391199,0.00607312109089125,0.148608541392773,0.129164541146793,"Prkca/Tbxa2r/Lilrb4a/Entpd2",4,"Up"
"GO:0045766","positive regulation of angiogenesis",0.0336134453781513,0.00635107933643368,0.0070930547676253,0.15386408901095,0.133732450839028,"Prkca/Tbxa2r/Isl1/Runx1",4,"Up"
"GO:1904018","positive regulation of vasculature development",0.0336134453781513,0.00635107933643368,0.0070930547676253,0.15386408901095,0.133732450839028,"Prkca/Tbxa2r/Isl1/Runx1",4,"Up"
"GO:0046631","alpha-beta T cell activation",0.0336134453781513,0.00645519539112931,0.00750295480412674,0.155578418608053,0.135222476874604,"Nckap1l/Lilrb4a/Runx1/Nfkbiz",4,"Up"
"GO:2001185","regulation of CD8-positive, alpha-beta T cell activation",0.0252100840336134,0.000624696328173804,5.35627036611033e-05,0.0256489722381006,0.0222930505808882,"Nckap1l/Lilrb4a/Runx1",3,"Up"
"GO:0043374","CD8-positive, alpha-beta T cell differentiation",0.0252100840336134,0.000659401679739016,6.34141468031266e-05,0.0256489722381006,0.0222930505808882,"Nckap1l/Lilrb4a/Runx1",3,"Up"
"GO:0031290","retinal ganglion cell axon guidance",0.0252100840336134,0.000728812382869438,8.651567576327e-05,0.0256489722381006,0.0222930505808882,"Epha7/Zic2/Isl1",3,"Up"
