"symbol","logFCStatus","P.ValueStatus","adj.P.ValStatus","entrez","contrast","regStatus","logFCCort","P.ValueCort","adj.P.ValCort","regCort"
"Sgk1",0.944264346369354,0.000114453133797413,0.0194051214364326,20393,"DOM-DES","up",1.11275969783389,0.00617984506072862,0.999676795804969,"up"
"Pvalb",1.44382007600996,0.000263719608023266,0.0297660140203184,19293,"DOM-DES","up",1.80060521234297,0.0239801486239563,0.999676795804969,"up"
"Clgn",0.79163361930922,0.000505736540686022,0.0406301779564897,12745,"DOM-DES","up",0.713312119929438,0.0419189609938476,0.999676795804969,"up"
"Chd7",0.49606134892186,0.000692265369975121,0.0451551532025585,320790,"DOM-DES","up",0.527677825370035,0.0142138697961139,0.999676795804969,"up"
"Slc4a4",0.374915182443947,0.000864945010977913,0.0505127886411101,54403,"DOM-DES","up",0.363870424055583,0.0302645368228231,0.999676795804969,"up"
"Olfr167",-0.894350546343834,0.000914872944260957,0.0520278306578965,258937,"DOM-DES","down",-0.907303044559884,0.0286908364566757,0.999676795804969,"down"
"Ankrd29",0.837952857136347,0.00102092873788476,0.0553635069858648,225187,"DOM-DES","up",0.885807672714652,0.0323824845317743,0.999676795804969,"up"
"Enpp4",0.532413220674923,0.00141723307535415,0.0628718729303872,224794,"DOM-DES","up",0.525667650111604,0.0283210414946108,0.999676795804969,"up"
"Stxbp2",-0.355785912020832,0.00162254654457585,0.066420823272249,20911,"DOM-DES","down",-0.363309542313366,0.0301906315999558,0.999676795804969,"down"
"Sla",1.43040878016223,0.00163478397070339,0.0664773560222337,20491,"DOM-DES","up",1.34870266833477,0.0386499192192295,0.999676795804969,"up"
"Col6a2",-0.840359793923817,0.0018595083817541,0.0715818675445628,12834,"DOM-DES","down",-0.882106145376737,0.0474576332172315,0.999676795804969,"down"
"Nefm",0.729064379027877,0.00227474623905856,0.0762564474712661,18040,"DOM-DES","up",0.790905805102777,0.0234753087446736,0.999676795804969,"up"
"Dcp1b",-0.52009483447326,0.00370819268415227,0.0939986606279934,319618,"DOM-DES","down",-0.529200557648711,0.0427174590245708,0.999676795804969,"down"
"Bhlhb9",-0.318695261598421,0.00438304552386824,0.0991835517651496,70237,"DOM-DES","down",-0.357416742268204,0.0249296708739127,0.999676795804969,"down"
"P3h3",-0.474064326887568,0.00452352610852516,0.0994607220364483,14789,"DOM-DES","down",-0.503441435576659,0.0377451856758719,0.999676795804969,"down"
"Tbc1d22a",-0.373293124607838,0.0046239709487912,0.0995099168071126,223754,"DOM-DES","down",-0.393420430355273,0.0440415748027433,0.999676795804969,"down"
"Clpx",0.369082733819544,0.00476877953459178,0.100672466652523,270166,"DOM-DES","up",0.442201188371982,0.0201523326345131,0.999676795804969,"up"
"Irx2",1.81528825025231,0.00492332487809763,0.101934675559613,16372,"DOM-DES","up",2.05924486752289,0.0357912645209303,0.999676795804969,"up"
"Rasgef1a",-0.351939139036831,0.00500608887257231,0.102580908827447,70727,"DOM-DES","down",-0.354586508783881,0.046315826817837,0.999676795804969,"down"
"Pou3f2",0.527639340811366,0.00605125564007403,0.110935009661364,18992,"DOM-DES","up",0.597009094047326,0.0257423894719136,0.999676795804969,"up"
"Hebp2",0.807562046806163,0.00661523535531747,0.115322311865833,56016,"DOM-DES","up",0.909999157482504,0.0435031794977088,0.999676795804969,"up"
"Dmrtc1a",-0.754455057599119,0.0069126975936179,0.117014938976025,70887,"DOM-DES","down",-0.958544892531833,0.0172014919491994,0.999676795804969,"down"
"Syt6",0.527372148810532,0.00696444517305199,0.117253355035218,54524,"DOM-DES","up",0.595946511349232,0.0326880880770499,0.999676795804969,"up"
"Ccnd1",-0.527344402932929,0.00698950200540029,0.117253355035218,12443,"DOM-DES","down",-0.589940877174171,0.0435781940611908,0.999676795804969,"down"
