"symbol","reg"
"Mog","Up"
"Lpar1","Up"
"Ttyh2","Up"
"Mal","Up"
"Tprn","Up"
"Cttnbp2nl","Up"
"Anxa5","Up"
"Ugt8a","Up"
"Cryab","Up"
"Adssl1","Up"
"Ermn","Up"
"Mobp","Up"
"Bcas1","Up"
"Serpinb1a","Up"
"Desi1","Up"
"Slc44a1","Up"
"Syt2","Up"
"Cnp","Up"
"Mag","Up"
"Mbp","Up"
"Chrm2","Up"
"Cldn11","Up"
"Enpp2","Up"
"Rhobtb3","Up"
"Rdx","Up"
"Carhsp1","Up"
"Pllp","Up"
"Rhog","Up"
"Nefh","Up"
"Efhd1","Up"
"Tcf7l2","Up"
"Rcbtb1","Up"
"Plp1","Up"
"Gng11","Up"
"Cntn2","Up"
"Mtus1","Up"
"Clic4","Up"
"Arrdc3","Up"
"Myrf","Up"
"Rnf152","Up"
"Asap1","Up"
"Rcan2","Up"
"Tmem229a","Up"
"Syndig1l","Up"
"Pip4k2a","Up"
"Cerk","Up"
"As3mt","Up"
"Olig1","Up"
"Scn4b","Up"
"Sgk1","Up"
"Ankrd40","Up"
"Gprc5b","Up"
"Cmtm5","Up"
"Tmem104","Up"
"Gjc2","Up"
"Tmem88b","Up"
"Irf3","Up"
"Luzp1","Up"
"Nap1l3","Up"
"Tubb4a","Up"
"Bmp2k","Up"
"S100a13","Up"
"Car2","Up"
"Bmpr1b","Up"
"Qdpr","Up"
"Ubxn2a","Up"
"Mdk","Up"
"Opalin","Up"
"Pvalb","Up"
"Cyp2j12","Up"
"Efcab14","Up"
"Stk39","Up"
"Col11a2","Up"
"S100b","Up"
"Lrrc8a","Up"
"Aif1l","Up"
"Phlda3","Up"
"Tlk2","Up"
"Fndc5","Up"
"Prr18","Up"
"Smox","Up"
"Elovl1","Up"
"Trf","Up"
"Vsir","Up"
"Slc10a4","Up"
"Tmem50b","Up"
"Rorc","Up"
"G6pdx","Up"
"Ctsz","Up"
"Paqr4","Up"
"Otud7b","Up"
"Inpp5f","Up"
"Clgn","Up"
"Tle4","Up"
"Hapln2","Up"
"Gab1","Up"
"Ndrg2","Up"
"Cmc1","Up"
"Gjb1","Up"
"Gsn","Up"
"Wwp1","Up"
"Chchd3","Up"
"Plekhb1","Up"
"Ufsp1","Up"
"Ctsd","Up"
"Dlx5","Up"
"Gm2a","Up"
"Myh14","Up"
"Scn1a","Up"
"Kcnab3","Up"
"Kctd9","Up"
"Slc18a2","Up"
"Chd7","Up"
"Cdc42ep1","Up"
"Msi2","Up"
"Sncg","Up"
"Ccdc91","Up"
"Itgb4","Up"
"Kcna1","Up"
"Sirt2","Up"
"Fth1","Up"
"Cdr1","Up"
"Slc4a4","Up"
"Nxt2","Up"
"Arsg","Up"
"Epb41l3","Up"
"Ankrd29","Up"
"Lhx8","Up"
"Bmp2","Up"
"Sat1","Up"
"Taf13","Up"
"Cd59a","Up"
"Phgdh","Up"
"Rrbp1","Up"
"Slc5a7","Up"
"Msrb1","Up"
"Map4","Up"
"Sv2a","Up"
"Slc18a3","Up"
"Supt16","Up"
"Ank1","Up"
"Npc2","Up"
"Hsd17b12","Up"
"Th","Up"
"Adgre1","Up"
"Pmp22","Up"
"Megf10","Up"
"Enpp4","Up"
"Bcat1","Up"
"Pdzd7","Up"
"Pogk","Up"
"Ltc4s","Up"
"Postn","Up"
"Sla","Up"
"Olig2","Up"
"Col11a1","Up"
"Adipor2","Up"
"Rgs3","Up"
"Slc25a33","Up"
"Aamdc","Up"
"Lypd6","Up"
"Secisbp2l","Up"
"Ldhb","Up"
"Hcn2","Up"
"Tex2","Up"
"Ckb","Up"
"Nat8l","Up"
"Ugp2","Up"
"Ttc1","Up"
"Fundc2","Up"
"Ccni","Up"
"Nefm","Up"
"Chchd10","Up"
"Fignl2","Up"
"Sox10","Up"
"Rgs8","Up"
"Clip3","Up"
"Gpm6b","Up"
"Extl2","Up"
"Adcy2","Up"
"Sh3bgrl2","Up"
"Pnpla2","Up"
"Kyat1","Up"
"Lap3","Up"
"Ahcyl1","Up"
"Lhfp","Up"
"Vamp1","Up"
"Vamp1","Up"
"Grb14","Up"
"Lgi2","Up"
"Nrtn","Up"
"Efcab2","Up"
"Smndc1","Up"
"Glrx","Up"
"Dctd","Up"
"Ebf4","Up"
"Drd2","Up"
"Zfp182","Up"
"Ifitm10","Up"
"Sec23b","Up"
"Gal3st1","Up"
"Josd2","Up"
"Skor1","Up"
"Ankrd34b","Up"
"Ephx2","Up"
"Grin2d","Up"
"Plekhf1","Up"
"Rab11fip5","Up"
"Bcan","Up"
"Dnm2","Up"
"Tpd52","Up"
"Aplp2","Up"
"Fam131c","Up"
"Clpx","Up"
"Pcp4","Up"
"Dexi","Up"
"Sipa1","Up"
"Irx2","Up"
"Mmp15","Up"
"Ttll7","Up"
"Laptm4b","Up"
"Anapc13","Up"
"Acsbg1","Up"
"Hexb","Up"
"Cnksr3","Up"
"Atp5j","Up"
"Elovl7","Up"
"Enho","Up"
"Coro6","Up"
"Ghitm","Up"
"Ddit3","Up"
"Snapc5","Up"
"Ddah1","Up"
"Pnkd","Up"
"Plin3","Up"
"Vegfb","Up"
"Patj","Up"
"Ppp1cc","Up"
"Ppp1cc","Up"
"Akap12","Up"
"Scg3","Up"
"Ngfr","Up"
"Tph2","Up"
"Manea","Up"
"Emilin2","Up"
"Rit2","Up"
"Ranbp6","Up"
"Apln","Up"
"Hebp2","Up"
"Pkm","Up"
"Sparcl1","Up"
"Ntrk1","Up"
"Map4k2","Up"
"Syt6","Up"
"Asb13","Up"
"Ano4","Up"
"Fam98a","Up"
"Rp9","Up"
"Nat9","Up"
"Metrn","Up"
"Epha8","Up"
"Ppargc1a","Up"
"Vdac2","Up"
"Pmepa1","Up"
"Ccdc146","Up"
"Arhgap23","Up"
"Chchd5","Up"
"Ift27","Up"
"Hip1r","Up"
"Rom1","Up"
"Evi5","Up"
"Gatad2a","Up"
"Sptssb","Up"
"3110082J24Rik","Up"
"Fam20a","Up"
"P2ry1","Up"
"Kat14","Up"
"Aco2","Up"
"Il11ra1","Up"
"Ccdc159","Up"
"Nefl","Up"
"Cplx1","Up"
"Ndufa10","Up"
"Man2a1","Up"
"S100a1","Up"
"Rimkla","Up"
"Vmp1","Up"
"Mpped2","Up"
"Cpt2","Up"
"Slc48a1","Up"
"Sema6c","Up"
"Klhdc8a","Up"
"Bcor","Up"
"Gclm","Up"
"Atp5b","Up"
"Lfng","Up"
"Tyrobp","Up"
"Tcp11l1","Up"
"Gpr146","Up"
"Gng5","Up"
"Fnta","Up"
"Ccdc28b","Up"
"Frmd5","Up"
"Nrip3","Up"
"Nfe2l3","Up"
"Zbtb4","Up"
"Triqk","Up"
"Hsp90aa1","Up"
"Higd1a","Up"
"Hpf1","Up"
"Pcp4l1","Up"
"Osbpl1a","Up"
"Lzts2","Up"
"Rnh1","Up"
"Golm1","Up"
"Rps20","Up"
"Bag1","Up"
"Ddx25","Up"
"Trpc3","Up"
"Khk","Up"
"Sorbs3","Up"
"Mmgt1","Up"
"Cend1","Up"
"Ttc9c","Up"
"Ccdc85c","Up"
"Glul","Up"
"Timm8a1","Up"
"Bend5","Up"
"Hsd17b11","Up"
"Pitrm1","Up"
"Gatad1","Up"
"Nop14","Up"
"Plod1","Up"
"Acadvl","Up"
"R3hcc1","Up"
"Sema7a","Up"
"Rhoq","Up"
"Ctps2","Up"
"Ado","Up"
"Ap5s1","Up"
"Ttll5","Up"
"Pdcd2","Up"
"Mdga1","Up"
"Angel1","Up"
"Slc6a3","Up"
"Lpin1","Up"
"Vwc2","Up"
"Atp1b1","Up"
"Ric3","Up"
"Atp2b2","Up"
"Esrrb","Up"
"Hibadh","Up"
"Gabra1","Up"
"Glrx5","Up"
"Arx","Up"
"Klf15","Up"
"Ppp2cb","Up"
"Ctsa","Up"
"Slc2a8","Up"
"Pou3f1","Up"
"Glrx3","Up"
"Eif1ad","Up"
"Mia3","Up"
"Tmem119","Up"
"Cmc2","Up"
"Cox20","Up"
"Jam2","Up"
"Kat6a","Up"
"Parva","Up"
"Kdr","Up"
"Pgm2","Up"
"Ampd3","Up"
"Stmn4","Up"
"Ubtd1","Up"
"Brsk1","Up"
"Tmub1","Up"
"Laptm5","Up"
"Ufc1","Up"
"C1qb","Up"
"Ldhd","Up"
"Fgf18","Up"
"Uchl5","Up"
"Npm1","Up"
"Sars","Up"
"Cd59b","Up"
"Dusp3","Up"
"Rfk","Up"
"Gtf3c6","Up"
"Ppm1k","Up"
"Tmx2","Up"
"Plekho1","Up"
"Hcn3","Up"
"Ctss","Up"
"Ptn","Up"
"Strip2","Up"
"Lamtor4","Up"
"Cd63","Up"
"Smc2","Up"
"Trnp1","Up"
"Ctsl","Up"
"Cyb5a","Up"
"Slc25a19","Up"
"Arrdc2","Up"
"Nars","Up"
"Slc39a6","Up"
"Zfp536","Up"
"Mtch2","Up"
"Diras1","Up"
"Mrpl18","Up"
"Kirrel","Up"
"Gusb","Up"
"Inpp5j","Up"
"Shox2","Up"
"Zfp971","Up"
"Slc25a5","Up"
"Pyurf","Up"
"Mrps18a","Up"
"Bckdhb","Up"
"Anks1","Up"
"Parl","Up"
"Eif5a2","Up"
"Bag3","Up"
"Hcfc1r1","Up"
"Pacsin3","Up"
"Pold4","Up"
"Ap3m1","Up"
"Gpr37l1","Up"
"Tmem229b","Up"
"S100a10","Up"
"B3glct","Up"
"Prdx6","Up"
"Mdh1","Up"
"Npas1","Up"
"Nudt19","Up"
"Cox5a","Up"
"Ndufs2","Up"
"Lysmd1","Up"
"Mad2l1bp","Up"
"Vcan","Up"
"Gdnf","Up"
"Slc39a13","Up"
"Abca8a","Up"
"Thpo","Up"
"Ak6","Up"
"Ak6","Up"
"Fah","Up"
"Relt","Up"
"Zic1","Up"
"Immp2l","Up"
"Lhfpl5","Up"
"Dbi","Up"
"Icam5","Down"
"Rprml","Down"
"Lhx9","Down"
"Slc16a7","Down"
"Rreb1","Down"
"Hpcal1","Down"
"C2cd4c","Down"
"Rasal1","Down"
"Vmn2r121","Down"
"Nell2","Down"
"Col23a1","Down"
"Ahdc1","Down"
"Grhl1","Down"
"Myh7","Down"
"Dusp18","Down"
"Fbxo41","Down"
"Ccnd2","Down"
"C2cd2l","Down"
"Zfp423","Down"
"Mfsd4a","Down"
"Krt77","Down"
"Bdnf","Down"
"Grid1","Down"
"Mast3","Down"
"Spint2","Down"
"Gabrb3","Down"
"Cort","Down"
"Ppp3ca","Down"
"Atp2b4","Down"
"Ripor2","Down"
"Msh3","Down"
"Lmtk3","Down"
"Kcnip3","Down"
"Fank1","Down"
"Cap2","Down"
"Kctd4","Down"
"Pkp2","Down"
"Gda","Down"
"Numbl","Down"
"Ppp3r1","Down"
"Pip5k1b","Down"
"D430019H16Rik","Down"
"Ikzf4","Down"
"Arhgap6","Down"
"Olfr167","Down"
"Shisa7","Down"
"Camk2d","Down"
"Camk1g","Down"
"Slc15a5","Down"
"Neurl1b","Down"
"Nrp2","Down"
"Iqgap2","Down"
"Lrrtm1","Down"
"Vmn1r44","Down"
"Axin2","Down"
"Rfx3","Down"
"Plxnc1","Down"
"Plat","Down"
"Otof","Down"
"Col5a1","Down"
"Cdkl4","Down"
"Cdk17","Down"
"Ildr2","Down"
"Cx3cl1","Down"
"Stxbp2","Down"
"N6amt1","Down"
"Exd2","Down"
"Kcnip2","Down"
"Doc2b","Down"
"Col6a2","Down"
"Npy1r","Down"
"Ptpre","Down"
"Trp53i11","Down"
"Dnah5","Down"
"Stxbp5","Down"
"Paqr9","Down"
"P4ha3","Down"
"Pip5k1a","Down"
"Rfx2","Down"
"Gpd1l","Down"
"Tfdp1","Down"
"Matn2","Down"
"Nek10","Down"
"Prkce","Down"
"Nrxn1","Down"
"Lhx4","Down"
"Olfr129","Down"
"Krba1","Down"
"Zkscan7","Down"
"Map2k1","Down"
"Slc31a2","Down"
"Cdh13","Down"
"Kcnh3","Down"
"Mcm10","Down"
"Aloxe3","Down"
"Irf1","Down"
"Atp6v1c2","Down"
"Dpyd","Down"
"Jph4","Down"
"Nhsl2","Down"
"Wnt4","Down"
"Armc8","Down"
"Slc25a37","Down"
"Gria2","Down"
"Myzap","Down"
"Sh3rf1","Down"
"Dnal1","Down"
"Vmn1r5","Down"
"Olfr160","Down"
"Grk3","Down"
"Hpcal4","Down"
"Dcp1b","Down"
"Efna3","Down"
"Fam184b","Down"
"Smpdl3b","Down"
"Arntl","Down"
"Eml4","Down"
"Dlg4","Down"
"Cadm1","Down"
"Bhlhb9","Down"
"Drc1","Down"
"P3h3","Down"
"Vmn1r234","Down"
"Nol4","Down"
"Gna11","Down"
"Tbc1d22a","Down"
"Dennd1b","Down"
"Cd3d","Down"
"Pkd2","Down"
"Tigd4","Down"
"Tnrc6c","Down"
"Ccdc30","Down"
"Ssbp4","Down"
"Lcorl","Down"
"Lcorl","Down"
"Rhpn1","Down"
"Pcgf2","Down"
"Setd1a","Down"
"Magee2","Down"
"Hmgb1","Down"
"Adamtsl2","Down"
"Fxyd5","Down"
"Ttc26","Down"
"Zfp791","Down"
"Ewsr1","Down"
"Fbxo25","Down"
"Ly6h","Down"
"Sstr2","Down"
"Trh","Down"
"Cacna1h","Down"
"Slc15a1","Down"
"4930523C07Rik","Down"
"Nos1","Down"
"Scarb1","Down"
"Fads3","Down"
"Dmrtc1a","Down"
"Sirpa","Down"
"Ccnd1","Down"
"Tbc1d32","Down"
"Clec7a","Down"
"Adgrb3","Down"
"Ccdc6","Down"
"St6galnac1","Down"
"Il1rapl1","Down"
"Olfr1023","Down"
"Olfr1318","Down"
"Kdm2b","Down"
"Ubtfl1","Down"
"Pign","Down"
"Snrnp40","Down"
"Negr1","Down"
"Plppr4","Down"
"Camkv","Down"
"Esyt3","Down"
"Adal","Down"
"Trim7","Down"
"Nr2f1","Down"
"Slit1","Down"
"Acvr1b","Down"
"Olfr66","Down"
"Vmn1r236","Down"
"Plagl1","Down"
"Bcl7c","Down"
"Slitrk3","Down"
"Dhx40","Down"
"Olfr1138","Down"
"Gpm6a","Down"
"Lrp1b","Down"
"Dclk3","Down"
"Clcn7","Down"
"Prdm10","Down"
"Zfp831","Down"
"Zmat1","Down"
"Orai2","Down"
"Pcdh20","Down"
"Arxes1","Down"
"Trim25","Down"
"Meaf6","Down"
"Abhd18","Down"
"Olfr31","Down"
