Name	Description	pvalue	qvalue	phenotype	genes
GO:0034329	cell junction assembly	5.86095579185818e-08	0.00017286734872407	-1	Gabrb3,Hdac7,Bdnf,Lrrtm1,Cadm1,Slitrk3,Bhlhb9,Cdh22,Nrxn1,Negr1,Arhgap6,Wnt4,Il1rapl1,Gpm6a,Fbf1,Efnb1,Pkp2,Rock2,Sipa1l1,Rhpn1,Pip5k1a,Adgrb3
GO:0007409	axonogenesis	5.64296788294914e-06	0.00280947356736474	-1	Stxbp5,Plxnc1,Bdnf,Numbl,Slitrk3,Fzd3,Sema6b,Matn2,Rhoh,Lhx4,Slit1,Map2k1,Stk25,Plppr4,Nrp2,Efnb1,Sipa1l1,Efna3,Arhgef28,Olfr160
GO:0022407	regulation of cell-cell adhesion	9.56656149480585e-06	0.00381207160762643	-1	Spint2,Sirpa,Adamts18,Sox12,Il4ra,Cx3cl1,Irf1,Tgfb1,Slamf1,Hmgb1,Prkg1,Ildr2,Rhoh,Scrib,Wnt4,Map2k1,Malt1,Ripor2,Efnb1
GO:0050808	synapse organization	2.0254733263729e-05	0.00451424057039509	-1	Gabrb3,Shisa7,Ppfia2,Bdnf,Lrrtm1,Cadm1,Slitrk3,Bhlhb9,Nrxn1,Negr1,Il1rapl1,Gpm6a,Nrp2,Efnb1,Rock2,Dlg4,Sipa1l1,Camkv,Adgrb3
GO:0034765	regulation of ion transmembrane transport	2.26192611393423e-05	0.00451424057039509	-1	Atp2b4,Nos1,Cacna1b,Fxyd5,Cacna1h,Hap1,Camk2d,Cx3cl1,Tgfb1,Prkce,Nrxn1,Kcnh3,Kcnip3,Gpd1l,Slc31a2,Kcnip2,Pkd2,Cacna2d1,Dlg4
GO:0043087	regulation of GTPase activity	2.25094423945369e-06	0.00172508068896191	-1	Rasal1,Dennd1b,Tbc1d22a,Plxnc1,Rgs16,Rab11fip2,Cx3cl1,Prkg1,Sgsm2,Scrib,Iqgap2,Arhgap6,Wnt4,Map2k1,Ripor2,Sipa1l1,Pip5k1a
GO:1990778	protein localization to cell periphery	5.71520318842933e-06	0.00280947356736474	-1	Atp2b4,Adcy6,Rab11fip2,Camk2d,Fam126a,Tgfb1,Ankrd39,Nrxn1,Kcnip3,Scrib,Lin7c,Tub,Map2k1,Pkp2,Rock2,Dlg4,Pip5k1a
GO:0044782	cilium organization	1.06242166216286e-05	0.00381207160762643	-1	Armc2,Mak,Dnal1,Hap1,Rfx2,Ttc26,Dnah5,Tbc1d32,Ccdc103,Rfx3,Rsph9,Zfp423,Tub,Fbf1,Pkd2,Rsph1,Drc1
GO:0031346	positive regulation of cell projection organization	5.65627942721218e-05	0.006040652464454	-1	Plxnc1,Hap1,Bdnf,Fig4,Numbl,Cx3cl1,P3h1,Bhlhb9,Rreb1,Negr1,Il1rapl1,Plk5,Gpm6a,Map2k1,Stk25,Ripor2,Dlg4
GO:0010959	regulation of metal ion transport	6.14413259232474e-05	0.006040652464454	-1	Atp2b4,Nos1,Cacna1b,Fxyd5,Hap1,Camk2d,Cx3cl1,Tgfb1,Slc30a10,Prkce,Jph4,Kcnip3,Gpd1l,Slc31a2,Kcnip2,Pkd2,Cacna2d1
GO:0045785	positive regulation of cell adhesion	0.00015630665886949	0.00843259678775056	-1	Sirpa,Cdh13,Sox12,Il4ra,Cx3cl1,Col26a1,Irf1,Tgfb1,Slamf1,Hmgb1,Prkce,Rreb1,Rhoh,Ppp3ca,Wnt4,Malt1,Efnb1
GO:1904062	regulation of cation transmembrane transport	3.21803448751006e-05	0.00499553054515411	-1	Atp2b4,Nos1,Fxyd5,Hap1,Camk2d,Cx3cl1,Tgfb1,Prkce,Nrxn1,Kcnip3,Gpd1l,Slc31a2,Kcnip2,Pkd2,Cacna2d1,Dlg4
GO:0003012	muscle system process	0.00013265800906473	0.00843259678775056	-1	Atp2b4,Nos1,Sulf1,Myh7,Cacna1h,Camk2d,Sstr2,Prkg1,Ankrd39,Ppp3ca,Gpd1l,Map2k1,Pkp2,Cacna2d1,Rock2,Npy1r
