Name	Description	pvalue	qvalue	phenotype	genes
GO:0042063	gliogenesis	6.70805078838834e-16	5.34525731243155e-13	1	Mdk,Tcf7l2,Phgdh,Olig2,Ndufs2,Bag1,Gpr37l1,Cnp,Hexb,Olig1,Mal,Mag,Bmp2,Ppp1cc,Metrn,Sox10,Pmp22,Trf,Ptn,P2ry1,Opalin,Enpp2,Sirt2,Dbi,Itgb4,Myrf,Gjc2,Plp1,Pou3f1,Klf15,Cntn2,Vcan
GO:0007272	ensheathment of neurons	4.05362060795016e-18	6.46019115835426e-15	1	Tcf7l2,Olig2,Ngfr,Hexb,Bcas1,S100b,Pllp,Ugt8a,Mal,Mag,Gal3st1,Cldn11,Sox10,Mbp,Pmp22,Trf,Ptn,Sirt2,Jam2,Itgb4,Lpin1,Myrf,Plp1,Pou3f1,Cntn2,Epb41l3
GO:0008366	axon ensheathment	4.05362060795016e-18	6.46019115835426e-15	1	Tcf7l2,Olig2,Ngfr,Hexb,Bcas1,S100b,Pllp,Ugt8a,Mal,Mag,Gal3st1,Cldn11,Sox10,Mbp,Pmp22,Trf,Ptn,Sirt2,Jam2,Itgb4,Lpin1,Myrf,Plp1,Pou3f1,Cntn2,Epb41l3
GO:0022604	regulation of cell morphogenesis	1.91614620510951e-11	1.01791065071431e-08	1	Sgk1,Mdk,Syt2,S100a13,Rhoq,Dnm2,Rdx,Lpar1,Myh14,Hexb,Ermn,S100b,Postn,Ptn,Kdr,P2ry1,Enpp2,Strip2,Cdc42ep1,Plekho1,Rhobtb3,Parva,Rhog,S100a10,Cntn2,Epb41l3
GO:0042552	myelination	3.10698849820664e-17	3.3010390079192e-14	1	Tcf7l2,Olig2,Ngfr,Hexb,Bcas1,S100b,Pllp,Ugt8a,Mal,Mag,Gal3st1,Sox10,Mbp,Pmp22,Trf,Ptn,Sirt2,Jam2,Itgb4,Lpin1,Myrf,Plp1,Pou3f1,Cntn2,Epb41l3
GO:0050767	regulation of neurogenesis	4.52316723703133e-08	9.01062525903347e-06	1	Sgk1,Mdk,Olig2,Sema7a,Bag1,Gpr37l1,Chd7,Nefl,Mag,Bmp2,Ppp1cc,Man2a1,Metrn,Sox10,Mbp,Trf,Shox2,Ptn,Kdr,Enpp2,Sirt2,Gjc2,S100a10,Drd2,Sema6c
GO:0007409	axonogenesis	2.08063209656535e-07	2.88336566974823e-05	1	Nefh,Sema7a,Dnm2,Ngfr,Cnp,Epha8,Hsp90aa1,Nefl,Aplp2,Nefm,Mag,Bmpr1b,Metrn,Mbp,Pmp22,Shox2,Gdnf,Ntrk1,Dlx5,Brsk1,Rhog,Cntn2,Drd2,Arx,Sema6c
GO:0034765	regulation of ion transmembrane transport	2.51250476640911e-07	3.33678264591526e-05	1	Kcnab3,S100a1,Scn4b,Hcn2,Stk39,G6pdx,Dnm2,Chd7,Vmp1,Kcna1,Ahcyl1,Grin2d,Ppargc1a,Scn1a,Cnksr3,Ctss,Atp1b1,Dbi,Cd63,Glrx,Gjc2,Plp1,Hcn3,Clic4,Drd2
GO:0010001	glial cell differentiation	2.29649798127926e-12	1.46395702890813e-09	1	Mdk,Tcf7l2,Phgdh,Olig2,Bag1,Gpr37l1,Cnp,Olig1,Mal,Mag,Bmp2,Metrn,Sox10,Pmp22,Ptn,Opalin,Enpp2,Sirt2,Itgb4,Myrf,Plp1,Pou3f1,Klf15,Cntn2
GO:0010720	positive regulation of cell development	2.48060050905585e-08	5.2710584852078e-06	1	Sgk1,Mdk,Olig2,Sema7a,Dnm2,Bag1,Nefl,Mag,Bmp2,Ppp1cc,Tyrobp,Man2a1,Metrn,Sox10,Trf,Shox2,Ptn,Kdr,Enpp2,Sirt2,Gjc2,S100a10,Drd2
