"Name","Description","pvalue","qvalue","phenotype","genes"
"GO:0042063","gliogenesis",9.20319928712453e-12,5.71809303076342e-09,-1,"Mal,Tspan2,Fa2h,Mag,Enpp2,Ndrg1,Plp1,Cntn2,Myrf,Gjc2,Arhgef10,Cd9,Il33,Qk,Aspa,Cntnap2,Erbb3,Nkx6-2,Dab2ip,Abcc8"
"GO:0014003","oligodendrocyte development",4.32704877576282e-09,1.1068259695874e-06,-1,"Mal,Fa2h,Mag,Plp1,Cntn2,Myrf,Cntnap2,Nkx6-2"
"GO:0051271","negative regulation of cellular component movement",1.73545887976749e-06,0.000331774770455954,-1,"Sema6d,Clic4,Cd9,Il33,Srgap1,Ctnna1,Padi2,Tnfaip6,Plxnb3,Dpysl3,Gna12,Dab2ip,Abcc8"
"GO:0007264","small GTPase mediated signal transduction",2.39065982785027e-06,0.000424387056658232,-1,"Lpar1,Erbin,Rhobtb3,Rhog,Iqsec3,Usp8,Arhgef10,Srgap1,Cdc42ep2,Dock10,Abca1,Gna12,Dennd4b,Dab2ip,Adcyap1r1"
"GO:0022604","regulation of cell morphogenesis",3.88884728169591e-06,0.000643992257903456,-1,"Lpar1,Ermn,Enpp2,Rhobtb3,Rhog,Cntn2,Plxnb3,Cdc42ep2,Gna12,Myo10,Epb41l2,Lims1,Cux1"
"GO:0040013","negative regulation of locomotion",4.14598997040768e-06,0.000643992257903456,-1,"Sema6d,Clic4,Sema3c,Il33,Srgap1,Ctnna1,Padi2,Tnfaip6,Plxnb3,Dpysl3,Gna12,Dab2ip,Abcc8"
"GO:0014015","positive regulation of gliogenesis",4.43405602115724e-06,0.000648223298201377,-1,"Mag,Enpp2,Gjc2,Il33,Qk,Aspa,Nkx6-2"
"GO:0045687","positive regulation of glial cell differentiation",5.19445365055479e-06,0.000692871196303839,-1,"Mag,Enpp2,Il33,Qk,Aspa,Nkx6-2"
"GO:2000146","negative regulation of cell motility",7.32126831330802e-06,0.000841370074565499,-1,"Sema6d,Clic4,Il33,Srgap1,Ctnna1,Padi2,Tnfaip6,Plxnb3,Dpysl3,Gna12,Dab2ip,Abcc8"
"GO:0051962","positive regulation of nervous system development",7.44796042287968e-06,0.000841370074565499,-1,"Mag,Enpp2,Gjc2,Ephb1,Il33,Slitrk6,Qk,Aspa,Flrt3,Plxnb3,Flrt2,Nkx6-2,Cux1"
"GO:0045685","regulation of glial cell differentiation",1.18004976662826e-05,0.00122197258728479,-1,"Mag,Enpp2,Cntn2,Il33,Qk,Aspa,Nkx6-2"
"GO:0050767","regulation of neurogenesis",2.07250162378402e-05,0.00206028477210698,-1,"Mag,Mbp,Sema6d,Enpp2,Gjc2,Sema3c,Il33,Qk,Aspa,Ctnna1,Plxnb3,Nkx6-2,Abcc8,Cux1"
"GO:0007265","Ras protein signal transduction",2.28637077048429e-05,0.00218547424660462,-1,"Lpar1,Erbin,Rhog,Iqsec3,Usp8,Arhgef10,Srgap1,Cdc42ep2,Abca1,Gna12,Dennd4b,Dab2ip"
"GO:0060326","cell chemotaxis",5.0896943382895e-05,0.00451758207996298,-1,"Lpar1,Enpp2,Rhog,Ednrb,Mtus1,Ephb1,Padi2,Oxsr1,Pde4d,Tnfaip6,Plxnb3"
"GO:0016358","dendrite development",5.54335625014094e-05,0.00475058588260717,-1,"Lpar1,Ephb1,Klhl1,Cntnap2,Elavl4,Dock10,Dip2a,Strn,Cpeb3,Dab2ip,Cux1"
"GO:0043087","regulation of GTPase activity",0.000117401339594197,0.00884161284790749,-1,"Rhog,Iqsec3,Arhgef10,Tbc1d9,Chn2,Plxnb3,Wdr41,Dock10,Dab2ip,Tbc1d8,Lims1"
"GO:0007409","axonogenesis",0.000190821320477984,0.0130718426238984,-1,"Mag,Mbp,Sema6d,Rhog,Cntn2,Sema3c,Ephb1,Slitrk6,Flrt3,Cntnap2,Kif5b,Plxnb3,Flrt2"
"GO:0050808","synapse organization",0.000194610448212633,0.0130718426238984,-1,"Ndrg1,Cntn2,Ephb1,Iqsec3,Slitrk6,Ppfibp2,Flrt3,Cntnap2,Flrt2,Unc13c,Dock10,Dip2a,Dab2ip"
"GO:0010720","positive regulation of cell development",0.00025853843798172,0.0156022476340249,-1,"Mag,Enpp2,Gjc2,Il33,Qk,Aspa,Plxnb3,Nkx6-2,Lims1,Runx1,Cux1"
"GO:0007611","learning or memory",0.000294515069110328,0.0166351693341982,-1,"Cntn2,Ptchd1,Oprk1,Meis2,Pde4d,Cntnap2,Elavl4,Nts,Cpeb3,Abcc8"
"GO:0007422","peripheral nervous system development",0.000346768858500594,0.0181464129286905,-1,"Fa2h,Ndrg1,Ednrb,Arhgef10,Erbb3"
"GO:0007015","actin filament organization",0.000355408848795127,0.0181464129286905,-1,"Lpar1,Ermn,Rhobtb3,Rhog,Arhgef10,Ctnna1,Cdc42ep2,Dpysl3,Wipf1,Arhgef10l,Kank4,Pik3ca"
"GO:0001654","eye development",0.000636897965797655,0.027769457012895,-1,"Cryab,Olfm3,Clic4,Ephb1,Slitrk6,Meis2,Dzank1,Cep290,Meis1,Pbx3,Mab21l1"
"GO:0150063","visual system development",0.000675085270949875,0.0281857446780113,-1,"Cryab,Olfm3,Clic4,Ephb1,Slitrk6,Meis2,Dzank1,Cep290,Meis1,Pbx3,Mab21l1"
"GO:0050890","cognition",0.00068683771895647,0.0281857446780113,-1,"Cntn2,Ptchd1,Oprk1,Meis2,Pde4d,Cntnap2,Elavl4,Nts,Cpeb3,Abcc8"
