"symbol","logFCStatus","P.ValueStatus","adj.P.ValStatus","entrez","contrast","regStatus","logFCCort","P.ValueCort","adj.P.ValCort","regCort"
"Zfp710",-0.496086594223405,0.00067795575310137,0.964858709547307,209225,"CON-SUB","down",0.595205487607612,0.0190255657860787,0.998219107886468,"up"
"Esyt2",0.385614198918122,0.00253861481799546,0.964858709547307,52635,"CON-SUB","up",-0.46838400963506,0.0429885760416499,0.998219107886468,"down"
"Prkcd",0.640159516879629,0.00320591984356862,0.964858709547307,18753,"CON-SUB","up",-0.850594152625319,0.0363905768395598,0.998219107886468,"down"
"Whrn",0.634563557381215,0.00760046785404092,0.964858709547307,73750,"CON-SUB","up",-0.929548636022942,0.0314912348679909,0.998219107886468,"down"
"Sft2d2",0.586180681390029,0.0113947930522835,0.964858709547307,108735,"CON-SUB","up",-1.00610570179791,0.0147319837747084,0.998219107886468,"down"
"Rnd2",0.218912041518136,0.0119457319457852,0.964858709547307,11858,"CON-SUB","up",-0.325442051508688,0.0326081271734892,0.998219107886468,"down"
"Pop4",0.562028486716585,0.0147577779846395,0.964858709547307,66161,"CON-SUB","up",-1.00394259890673,0.0164620101559112,0.998219107886468,"down"
"Osgin2",0.448228477684536,0.0156932962903682,0.964858709547307,209212,"CON-SUB","up",-0.847960086014788,0.0136156181727497,0.998219107886468,"down"
"Cdk5r2",-0.374298257581428,0.0168096803833777,0.964858709547307,12570,"CON-SUB","down",0.598887970082168,0.0239189466621835,0.998219107886468,"up"
"Supt3",0.339883158425231,0.0170815723502049,0.964858709547307,109115,"CON-SUB","up",-0.512369990635887,0.0450398961239748,0.998219107886468,"down"
"Ptov1",-0.343656327024133,0.0184076206207319,0.964858709547307,84113,"CON-SUB","down",0.539713483382251,0.0358023196040997,0.998219107886468,"up"
"Tmem50a",-0.233217618330919,0.020060103178157,0.964858709547307,71817,"CON-SUB","down",0.413598751686756,0.0178229223666076,0.998219107886468,"up"
"Zbtb16",0.552278365033303,0.0213265727061024,0.964858709547307,235320,"CON-SUB","up",-1.02762515425782,0.0158772807557955,0.998219107886468,"down"
"Mrpl52",-0.335855811915655,0.0232679728854518,0.964858709547307,68836,"CON-SUB","down",0.496663928722582,0.0495735243917025,0.998219107886468,"up"
"Rps26",-0.33533192763147,0.0236838030523772,0.964858709547307,27370,"CON-SUB","down",0.55859994193133,0.0257620252368406,0.998219107886468,"up"
"Mtor",0.238502908150118,0.0245488374557488,0.964858709547307,56717,"CON-SUB","up",-0.369272812480371,0.0442210401785314,0.998219107886468,"down"
"Mrpl33",-0.283371842189934,0.0249117224519538,0.964858709547307,66845,"CON-SUB","down",0.638101146310983,0.00169537956195353,0.998219107886468,"up"
"Phlda1",-0.276042660679213,0.0302990302898091,0.964858709547307,21664,"CON-SUB","down",0.555176343496647,0.0107091610415331,0.998219107886468,"up"
"Smim10l2a",0.245713459368614,0.0374448441671148,0.964858709547307,320237,"CON-SUB","up",-0.512809509039818,0.0114022433520053,0.998219107886468,"down"
"Igf2r",0.271347677417973,0.0398899444810287,0.964858709547307,16004,"CON-SUB","up",-0.602328627159312,0.0076454050876701,0.998219107886468,"down"
"Cep295",-0.256155101938456,0.0433123344325291,0.964858709547307,319675,"CON-SUB","down",0.537384566265142,0.0132972536286805,0.998219107886468,"up"
"H2-T10",-1.1939950325589,0.0452734292120048,0.964858709547307,15024,"CON-SUB","down",1.98698513581142,0.014121954671332,0.998219107886468,"up"
"Dusp1",-0.471167658712939,0.0457111387096828,0.964858709547307,19252,"CON-SUB","down",0.910826701759142,0.0109788338627883,0.998219107886468,"up"
"Rps6ka1",0.388161566450584,0.0476678084810612,0.964858709547307,20111,"CON-SUB","up",-0.726210122838681,0.0348968220563824,0.998219107886468,"down"
"Zfp710",-0.336481865980968,0.0142999719468707,0.999712399328831,209225,"CON-ASC","down",0.595205487607612,0.0190255657860787,0.998219107886468,"up"
"Ttc25",-0.468531007279565,0.0167335946130791,0.999712399328831,74407,"CON-ASC","down",0.627729328210263,0.0486136693645077,0.998219107886468,"up"
"Ap1s1",-0.342156130676475,0.0252154382885855,0.999712399328831,11769,"CON-ASC","down",0.694726964288163,0.00625191565097995,0.998219107886468,"up"
"Olfr1254",-0.397607876522275,0.028040156902063,0.999712399328831,258468,"CON-ASC","down",0.590305208508542,0.0423008205037552,0.998219107886468,"up"
"Prrt1",-0.276695143036768,0.0299919499403264,0.999712399328831,260297,"CON-ASC","down",0.477327189123268,0.0264164076755196,0.998219107886468,"up"
"Hgsnat",0.278874631352786,0.0466922782446646,0.999712399328831,52120,"CON-ASC","up",-0.483329508738143,0.0489746373680271,0.998219107886468,"down"
"Rgmb",0.306388977710227,0.0221025027681226,0.41302611369432,68799,"SUB-ASC","up",-0.489348307478804,0.0411948341473792,0.998219107886468,"down"
"Sphkap",0.367474127825242,0.0411739304782788,0.459239526879234,77629,"SUB-ASC","up",-0.643725386438858,0.0456646177912589,0.998219107886468,"down"
"P4ha1",NA,NA,NA,18451,NA,NA,0.850033940447647,0.000136107344957246,0.998219107886468,"up"
"Hspb1",NA,NA,NA,15507,NA,NA,1.81167011785392,0.000278652807922539,0.998219107886468,"up"
"Ube4a",NA,NA,NA,140630,NA,NA,-0.741511175989114,0.000496623510951179,0.998219107886468,"down"
"Dok7",NA,NA,NA,231134,NA,NA,-1.06514609957793,0.000659919908274018,0.998219107886468,"down"
"Irak2",NA,NA,NA,108960,NA,NA,1.02638808500414,0.000737651511096397,0.998219107886468,"up"
