"symbol","reg"
"Cbln2","Up"
"Golga7b","Up"
"Qrfpr","Up"
"Rai2","Up"
"Kcnip4","Up"
"Coa3","Up"
"Ctxn2","Up"
"Stmn1","Up"
"Rph3a","Up"
"Scg2","Up"
"Inpp4b","Up"
"Scg5","Up"
"Itpk1","Up"
"Bok","Up"
"Gng3","Up"
"Hrh2","Up"
"Atp6v1g2","Up"
"Synpr","Up"
"Foxp4","Up"
"Tmem121","Up"
"Yjefn3","Up"
"Cux2","Up"
"Tmem65","Up"
"Cdh12","Up"
"Pld5","Up"
"C1ql1","Up"
"Cxxc5","Up"
"Kcna6","Up"
"Flot2","Up"
"Klhl29","Up"
"Gtf3a","Up"
"Adss","Up"
"Snap91","Up"
"Rgs13","Up"
"Mcrip1","Up"
"Ypel3","Up"
"Pcdh10","Up"
"Tmem40","Up"
"Snrpn","Up"
"Bloc1s6","Up"
"Zbtb34","Up"
"Rab3a","Up"
"Ccdc149","Up"
"Dysf","Up"
"Stk39","Up"
"Dach2","Up"
"Ntng1","Up"
"Tbr1","Up"
"Pbx1","Up"
"Hs3st2","Up"
"Vstm2a","Up"
"Syt1","Up"
"Tceal3","Up"
"Atp6v0b","Up"
"Brinp1","Up"
"Taf7","Up"
"Sim1","Up"
"Bcl2l1","Up"
"Prickle1","Up"
"Dhps","Up"
"Psmc1","Up"
"Tceal6","Up"
"Cdk18","Up"
"Pde4d","Up"
"Acbd4","Up"
"Wdr75","Up"
"Mrps18a","Up"
"Scoc","Up"
"Neurod6","Up"
"Plpp4","Up"
"Map1lc3a","Up"
"Ccl27a","Up"
"Ccl27a","Up"
"Ccl27a","Up"
"Crtac1","Up"
"Rasgrp1","Up"
"Psmc3","Up"
"Runx1t1","Up"
"Ndufb7","Up"
"Rab3c","Up"
"Babam1","Up"
"Plekho1","Up"
"Yaf2","Up"
"Sostdc1","Up"
"Stoml2","Up"
"Avpi1","Up"
"Nabp2","Up"
"Cyp26b1","Up"
"Cck","Up"
"Tmem97","Up"
"Ifitm10","Up"
"Adap1","Up"
"Atp6v1e1","Up"
"Map2k2","Up"
"Lhfpl3","Up"
"Arl6ip4","Up"
"Panx1","Up"
"Pou3f1","Up"
"Gm19410","Up"
"Eif3k","Up"
"Sox4","Up"
"Rorb","Up"
"Tmem60","Up"
"Ccl19","Up"
"Abcf2","Up"
"Arhgef25","Up"
"0610012G03Rik","Up"
"Egr1","Up"
"Col11a1","Up"
"Zfp850","Up"
"Prelid1","Up"
"Phlda1","Up"
"Tuba1a","Up"
"Dcakd","Up"
"Lin37","Up"
"Cycs","Up"
"Fis1","Up"
"Scn1b","Up"
"Lrrk2","Up"
"Klhdc8a","Up"
"Pcp4","Up"
"Selenow","Up"
"Rasl10a","Up"
"Cyth2","Up"
"Ptov1","Up"
"Pfdn6","Up"
"Scand1","Up"
"Flrt2","Up"
"Tmem50a","Up"
"Mid1","Up"
"Fstl4","Up"
"Hmga1","Up"
"Dkkl1","Up"
"Syn1","Up"
"Gpr26","Up"
"Lrrc4","Up"
"Mrpl28","Up"
"Rpl21","Up"
"Cep295","Up"
"Chrm3","Up"
"Dohh","Up"
"Sec61g","Up"
"Edf1","Up"
"Eef2","Up"
"Abi3bp","Up"
"Kcnd2","Up"
"Haghl","Up"
"Zfp771","Up"
"Ier2","Up"
"Zeb2","Up"
"Mark4","Up"
"Lpl","Down"
"Zbtb20","Down"
"Atp6v1c2","Down"
"Sox9","Down"
"Dock4","Down"
"Htr4","Down"
"Pald1","Down"
"Etfdh","Down"
"Tenm2","Down"
"Rassf8","Down"
"Nrip1","Down"
"Axdnd1","Down"
"Fam214a","Down"
"Ssr3","Down"
"Atp11a","Down"
"Gtpbp2","Down"
"Cdh13","Down"
"Cd34","Down"
"Susd6","Down"
"Slc39a11","Down"
"Vmn2r101","Down"
"Npr3","Down"
"Ttc8","Down"
"Map7","Down"
"Nebl","Down"
"Olfr1161","Down"
"Pcdh17","Down"
"Osgin2","Down"
"Sufu","Down"
"Mapkapk5","Down"
"1700066M21Rik","Down"
"Adgrl2","Down"
"Cebpa","Down"
"Stat3","Down"
"Dpy19l4","Down"
"Slc39a8","Down"
"Styx","Down"
"Mr1","Down"
"Il10ra","Down"
"Fcgr3","Down"
"Alox12b","Down"
"Prkcd","Down"
"Kcnk13","Down"
"Synm","Down"
"Adar","Down"
"Atxn2l","Down"
"Alms1","Down"
"Col5a2","Down"
"Shisa2","Down"
"Itpr1","Down"
"Vmac","Down"
"Slc18a1","Down"
"Sox5","Down"
"Gpc4","Down"
"Agap1","Down"
"Igf1r","Down"
"Fermt3","Down"
"Map3k2","Down"
"Fgf15","Down"
"Whrn","Down"
"Rfx3","Down"
"Fxyd5","Down"
"Rmnd5a","Down"
"Csad","Down"
"Prelp","Down"
"Fkbp15","Down"
"Pop4","Down"
"Bmp1","Down"
"Tmem143","Down"
"Mob1b","Down"
"Msh5","Down"
"Ltk","Down"
"Cmtm4","Down"
"Adnp2","Down"
"Irak1","Down"
"Fam227a","Down"
"Slc9a2","Down"
"Cyfip1","Down"
"Rreb1","Down"
