"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction"
"GO:0050803","regulation of synapse structure or activity",0.0833333333333333,0.00940515027417228,1.47164723325686e-05,0.0214037449197785,0.0175718034650758,"St8sia2/Gpc6/Bdnf/Six4/Slc17a8/Lzts3/Pik3r1",7,"Up"
"GO:0050807","regulation of synapse organization",0.0714285714285714,0.00912750746165059,0.000122400717976646,0.0613635599456251,0.0503775586619668,"St8sia2/Gpc6/Bdnf/Six4/Lzts3/Pik3r1",6,"Up"
"GO:0018209","peptidyl-serine modification",0.0714285714285714,0.0126327479697369,0.000692472867183448,0.117625402349505,0.096566767186429,"Atp2b4/Rps6ka2/Bdnf/Stk4/Sgk3/Mgat5b",6,"Up"
"GO:0060537","muscle tissue development",0.0714285714285714,0.0171097383216492,0.00321192718119768,0.151174276812409,0.124109341196077,"Tshz3/Nr4a1/Bdnf/Ryr1/Six4/Flnb",6,"Up"
"GO:0050808","synapse organization",0.0714285714285714,0.0171444436732144,0.00324396513536026,0.151174276812409,0.124109341196077,"St8sia2/Gpc6/Bdnf/Six4/Lzts3/Pik3r1",6,"Up"
"GO:0051963","regulation of synapse assembly",0.0595238095238095,0.00419934753939057,2.84624267550247e-05,0.0214037449197785,0.0175718034650758,"St8sia2/Gpc6/Bdnf/Six4/Pik3r1",5,"Up"
"GO:0007416","synapse assembly",0.0595238095238095,0.00669813285208579,0.000257442903077552,0.0967985315571595,0.079468559292097,"St8sia2/Gpc6/Bdnf/Six4/Pik3r1",5,"Up"
"GO:1901888","regulation of cell junction assembly",0.0595238095238095,0.0076351773443465,0.000469027412373461,0.117569538034947,0.0965209043358016,"St8sia2/Gpc6/Bdnf/Six4/Pik3r1",5,"Up"
"GO:0007611","learning or memory",0.0595238095238095,0.0111751232039981,0.00253777436130609,0.151174276812409,0.124109341196077,"Hrh1/Bdnf/Hrh2/Btbd9/Kmt2a",5,"Up"
"GO:0018105","peptidyl-serine phosphorylation",0.0595238095238095,0.0117651141806066,0.0031637083534657,0.151174276812409,0.124109341196077,"Atp2b4/Rps6ka2/Bdnf/Stk4/Sgk3",5,"Up"
