"symbol","logFCStatus","P.ValueStatus","adj.P.ValStatus","entrez","contrast","regStatus","logFCCort","P.ValueCort","adj.P.ValCort","regCort"
"Ly6a",0.939472290373326,0.00271613595902248,0.480594976733572,110454,"CON-SUB","up",1.26921914888023,0.0234229194664888,0.279038938536603,"up"
"Zfp536",0.635901258309384,0.00367887850676721,0.480594976733572,243937,"CON-SUB","up",0.810868381261671,0.0298888772250641,0.298730630043101,"up"
"Limd1",0.540833938222437,0.00555219991787667,0.500935639165498,29806,"CON-SUB","up",0.693790185496948,0.0455633969257482,0.342012523100677,"up"
"Cdc14a",0.642047045920437,0.00668259510573643,0.507800269137849,229776,"CON-SUB","up",0.846599275553862,0.0380468067157333,0.323013114094473,"up"
"Shc2",-0.346168103791416,0.0109482871254331,0.53452018768776,216148,"CON-SUB","down",-0.519767052113869,0.0275077325553546,0.292557020733233,"down"
"Sult2b1",-0.692121803870799,0.0128054163908892,0.538971314297189,54200,"CON-SUB","down",-1.07365667924602,0.0321393266742116,0.306211892288939,"down"
"Mylk",0.83576744933786,0.0130715069164587,0.542683001432759,107589,"CON-SUB","up",1.17649105448022,0.0390343359528558,0.32466974194685,"up"
"Cped1",1.37395820824854,0.0162977771544368,0.562310521364953,214642,"CON-SUB","up",2.16605173843797,0.0323301843612813,0.306329315448619,"up"
"Vstm4",1.4905932861575,0.0164197059725054,0.564163956656436,320736,"CON-SUB","up",2.40290345840511,0.0272263096484762,0.292421286625966,"up"
"Cytl1",2.06335748407357,0.0173447829461494,0.564163956656436,231162,"CON-SUB","up",2.80480949335096,0.0365429488389095,0.319212163499191,"up"
"Serpina3i",1.76373995888946,0.0188297870482632,0.56755114774274,628900,"CON-SUB","up",3.96290176535441,0.000767522750193086,0.114629235326372,"up"
"Stmn1",-0.215204840050324,0.0219335393124576,0.596598790649536,16765,"CON-SUB","down",-0.328115807756793,0.048582045446497,0.349923358863155,"down"
"Sh3bgr",0.72347139298984,0.0264329211155285,0.618446724282922,50795,"CON-SUB","up",1.13559292029859,0.0373271947089447,0.321390013579892,"up"
"Thbs1",0.836027893734767,0.0300656288784488,0.621615108713035,21825,"CON-SUB","up",1.47580706677358,0.0151689735368319,0.248626386213235,"up"
"Syne2",0.526956973141095,0.0308064645829306,0.621615108713035,319565,"CON-SUB","up",0.893237217392161,0.0309534379527576,0.301431231746527,"up"
"Cgnl1",0.673121483808107,0.0310273348151876,0.621615108713035,68178,"CON-SUB","up",1.16273476161752,0.0271702802647043,0.292421286625966,"up"
"Agtrap",0.386013610562159,0.03139944573765,0.621615108713035,11610,"CON-SUB","up",0.60235326240077,0.0434261402257779,0.33632903681544,"up"
"Prkacb",-0.243715232075047,0.0321358847848749,0.621615108713035,18749,"CON-SUB","down",-0.468363604486683,0.0146336617404124,0.246445804449982,"down"
"Anxa3",0.583513468671974,0.0326875056963278,0.624492523492928,11745,"CON-SUB","up",0.927702904556203,0.0402969521523716,0.327931765167605,"up"
"C4b",0.778427600683651,0.0358258355828685,0.636192746566755,12268,"CON-SUB","up",1.37734981410689,0.0229592339953198,0.277790187459786,"up"
"Ifit3",1.03057671651969,0.0377012264920941,0.642660748455386,15959,"CON-SUB","up",1.94539252433619,0.0160355509553014,0.25305149576922,"up"
"Slc7a6",-0.32585428949728,0.0396939176420031,0.650266168734251,330836,"CON-SUB","down",-0.583834835591663,0.0272940916550873,0.292421286625966,"down"
"Lrrc6",-0.479580028029917,0.0427030894265551,0.656683152310143,54562,"CON-SUB","down",-0.865261496878786,0.0336351447386325,0.310283757172063,"down"
"Elfn1",-0.290999131272394,0.0483052447346226,0.659591212038822,243312,"CON-SUB","down",-0.50092153752608,0.0491793467481697,0.351265211871002,"down"
"Fxyd7",-0.507295737046262,0.0483739181348517,0.659591212038822,57780,"CON-SUB","down",-0.961356055980984,0.0291828451587401,0.29685532554291,"down"
"Epas1",0.246702126595626,0.0486636387110305,0.659591212038822,13819,"CON-SUB","up",0.517988163020601,0.0116654866734438,0.231350176652339,"up"
"Tubb2a",-0.301104635590454,0.00188113552776085,0.986983539221594,22151,"CON-ASC","down",-0.426551067007297,0.0109777931103792,0.227255355457603,"down"
"Zkscan3",0.302331733854663,0.00282408514998912,0.986983539221594,72739,"CON-ASC","up",0.385824963081077,0.0295732371955077,0.298117053739864,"up"
"Tuba1a",-0.251428705749186,0.00351673153756183,0.986983539221594,22142,"CON-ASC","down",-0.312358013598161,0.0374613628734137,0.321398957922261,"down"
"Sntb2",0.363284100127095,0.00492438681548354,0.986983539221594,20650,"CON-ASC","up",0.681700335496841,0.00146960027812179,0.145362420825628,"up"
"Tubb3",-0.349226912291734,0.00627645572919848,0.986983539221594,22152,"CON-ASC","down",-0.588671558352779,0.00801345790824648,0.207007480187044,"down"
"Slc7a8",-0.482442765106565,0.00666083474670784,0.986983539221594,50934,"CON-ASC","down",-0.701182343771606,0.0213093701287125,0.270294495717961,"down"
"Psip1",-0.251227796905036,0.00690251223753971,0.986983539221594,101739,"CON-ASC","down",-0.380245283874133,0.016867127577547,0.255909485158335,"down"
"Ap3b2",-0.22869502471075,0.00900692789372983,0.986983539221594,11775,"CON-ASC","down",-0.432243476933991,0.00312395756133252,0.170491883429597,"down"
"Ube2m",-0.331103078843265,0.00907033812094478,0.986983539221594,22192,"CON-ASC","down",-0.504911031852119,0.0261339574060215,0.288274718481604,"down"
"Tubb4b",-0.248156229096236,0.00915101275941407,0.986983539221594,227613,"CON-ASC","down",-0.352673417388761,0.0301259042198807,0.299883032393783,"down"
"Ly6a",0.811543796886475,0.00941129339590827,0.986983539221594,110454,"CON-ASC","up",1.26921914888023,0.0234229194664888,0.279038938536603,"up"
