"symbol","reg"
"Lrba","Up"
"Dennd1a","Up"
"Naa40","Up"
"Zfp780b","Up"
"Fam187b","Up"
"Tspan15","Up"
"Milr1","Up"
"Thumpd2","Up"
"Dgkb","Up"
"Mzf1","Up"
"Olfr646","Up"
"Dhcr7","Up"
"Bop1","Up"
"Man1c1","Up"
"Smpd3","Up"
"Clic1","Up"
"Olfr147","Up"
"Sox2","Up"
"Tnfrsf25","Up"
"Unc13a","Up"
"Pop1","Up"
"Efnb3","Up"
"Sfxn2","Up"
"Egr3","Up"
"Atp2c1","Up"
"Actn1","Up"
"Tyk2","Up"
"Gm5316","Up"
"Olfr73","Up"
"Dapk1","Up"
"Lpl","Up"
"Kcnip2","Up"
"Fam107b","Up"
"Slc7a8","Up"
"Cad","Up"
"Vegfd","Up"
"Cdh9","Up"
"Adtrp","Up"
"Slc35d1","Up"
"Wipf3","Up"
"Rsph3b","Up"
"Zfp516","Up"
"Tesc","Up"
"Myo9b","Up"
"Pitpnm2","Up"
"Uck1","Up"
"Lpcat4","Up"
"Chst11","Up"
"Dclk3","Up"
"Mdm2","Up"
"Pced1b","Up"
"Ptpn5","Up"
"Lrrc7","Up"
"Alkbh1","Up"
"Alkbh1","Up"
"Baiap2","Up"
"Afap1l1","Up"
"Car12","Up"
"Hinfp","Up"
"Kcnn2","Up"
"Ctdsp2","Up"
"Ikzf1","Up"
"Vipr1","Up"
"Rnf150","Up"
"Acvr1c","Up"
"Btnl10","Up"
"Sec13","Up"
"Zfp512b","Up"
"Fhod1","Up"
"Ivns1abp","Up"
"Arhgap33","Up"
"Adamtsl1","Up"
"Stn1","Up"
"Grin2b","Up"
"Plppr4","Up"
"Dock8","Up"
"Cemip","Up"
"Tacc1","Up"
"Arhgap17","Up"
"Ano2","Up"
"Rhobtb2","Up"
"Olfr806","Up"
"Dnase2a","Up"
"Slc37a1","Up"
"Rin1","Up"
"Lrrc40","Up"
"Foxg1","Up"
"Ski","Up"
"Foxo1","Up"
"Olfr1094","Up"
"Mtmr12","Up"
"Erc2","Up"
"Peli1","Up"
"Slc26a10","Up"
"Irf5","Up"
"Ptpre","Up"
"Igfbp4","Up"
"Gas7","Up"
"Icam5","Up"
"Jade3","Up"
"Ddn","Up"
"Kcnj4","Up"
"Foxf2","Up"
"Rad21","Down"
"Omg","Down"
"Cab39l","Down"
"Slc24a3","Down"
"Ptpn21","Down"
"Pafah1b3","Down"
"Cib2","Down"
"Gas2","Down"
"Efcab2","Down"
"Plch1","Down"
"Col8a1","Down"
"Ggt1","Down"
"Socs5","Down"
"Prkra","Down"
"Ret","Down"
"Taf3","Down"
"Snta1","Down"
"Morn4","Down"
"Tmem17","Down"
"Ngf","Down"
"Tmx4","Down"
"Fhod3","Down"
"Rai2","Down"
"Sp8","Down"
"Mrpl50","Down"
"Icam2","Down"
"Iqcd","Down"
"Igsf21","Down"
"Eif1a","Down"
"Ddx24","Down"
"Mc4r","Down"
"Ttc12","Down"
"Cdo1","Down"
"Zscan29","Down"
"Oat","Down"
"Klhl4","Down"
"Gap43","Down"
"Nqo2","Down"
"Bud31","Down"
"Btbd3","Down"
"Pink1","Down"
"Psmb10","Down"
"Cct8","Down"
"Ctps2","Down"
"Hipk2","Down"
"Rev3l","Down"
"Kif21a","Down"
"Hecw1","Down"
"Kcnip4","Down"
"Nap1l5","Down"
"Mea1","Down"
"Pcbd1","Down"
"Wasf3","Down"
"Scx","Down"
"Zwint","Down"
"Dscam","Down"
"Nsmce4a","Down"
"Tspan17","Down"
"Tmf1","Down"
"Tspyl4","Down"
"Vsnl1","Down"
"Olfm2","Down"
"Cacybp","Down"
"Hivep1","Down"
"Gnas","Down"
"Coasy","Down"
"Sh3bp5","Down"
"Crhr2","Down"
"Grik1","Down"
"Pfdn4","Down"
"Zfp748","Down"
"Stmn1","Down"
"Surf2","Down"
"Plekha7","Down"
"Slc6a3","Down"
"Nap1l3","Down"
"Cd200","Down"
"Ctxn2","Down"
"Tagln","Down"
"Slc17a6","Down"
