"symbol","reg"
"Fam120c","Up"
"Kif26b","Up"
"Rspo1","Up"
"Dnmt1","Up"
"Ino80c","Up"
"Gli1","Up"
"Pde8b","Up"
"Dzip3","Up"
"Plek","Up"
"Sema5a","Up"
"Scn5a","Up"
"Arhgap1","Up"
"Fgfr1","Up"
"Zfp941","Up"
"Gar1","Up"
"Heyl","Up"
"Pcdh7","Up"
"Brca2","Up"
"Usp29","Up"
"Coro2a","Up"
"Pgr15l","Up"
"Htr2c","Up"
"Fzd8","Up"
"Amotl1","Up"
"Sorcs3","Up"
"Rif1","Up"
"Hes5","Up"
"Plag1","Up"
"Alcam","Up"
"Kmt2e","Up"
"Sypl","Up"
"Ogfod1","Up"
"Vps4b","Up"
"N4bp2l1","Up"
"Plekha7","Up"
"N4bp2","Up"
"Pitpnm3","Up"
"Plod3","Up"
"Gabrq","Up"
"Cers4","Up"
"Slc7a11","Up"
"Cacng4","Up"
"Rtl1","Up"
"Gnb4","Up"
"Clmn","Up"
"Grik4","Up"
"Dync2h1","Up"
"Exoc1","Up"
"Ankrd35","Up"
"Glra3","Up"
"Mbip","Up"
"Cntn5","Up"
"Cep70","Up"
"Tmem215","Up"
"Zfp383","Up"
"Nalcn","Up"
"Akap11","Up"
"Exoc3l","Up"
"Gm5124","Up"
"Pnmal2","Up"
"Tspyl5","Up"
"Slit2","Up"
"Ulk1","Up"
"Wrnip1","Up"
"Naga","Up"
"Camk2g","Up"
"Camk1d","Up"
"Mta3","Up"
"Gm11100","Up"
"Epc2","Up"
"Rcc1l","Up"
"Brd4","Up"
"Myo15","Up"
"Tekt2","Up"
"Ctc1","Up"
"AI467606","Up"
"Cdh2","Up"
"Adgrl3","Up"
"Mdm1","Up"
"Apba1","Up"
"Abca8b","Up"
"Akap17b","Up"
"Ldlrad3","Up"
"Crtc3","Up"
"Ppm1m","Up"
"Ppp1r13b","Up"
"Mfsd4b4","Up"
"Dnajc6","Up"
"Zfp704","Up"
"Sema4a","Up"
"Ccdc85a","Up"
"Oprd1","Up"
"Zbtb7c","Up"
"Zfp60","Up"
"Rictor","Up"
"Neil1","Up"
"Ldb2","Up"
"Atad5","Up"
"Lrrc23","Up"
"Zfp300","Up"
"Fnbp1l","Up"
"Zdhhc22","Up"
"Timeless","Up"
"Ltbp4","Up"
"Nr2f2","Up"
"Per3","Up"
"Slc17a5","Up"
"Adamts18","Up"
"Zscan18","Up"
"Dpp10","Up"
"Ppil6","Up"
"St8sia2","Up"
"Lrfn5","Up"
"Zc3h14","Up"
"Ccdc112","Up"
"Galnt9","Down"
"Tmem42","Down"
"Ppp1r14b","Down"
"Cebpd","Down"
"Arl4d","Down"
"Dio2","Down"
"Sec14l2","Down"
"Acp6","Down"
"Arc","Down"
"Apold1","Down"
"Igf1","Down"
"Nfkbia","Down"
"Cyp2s1","Down"
"C1ql2","Down"
"Htra1","Down"
"Pygm","Down"
"Pex16","Down"
"Ctla2a","Down"
"Tbata","Down"
"Cbr3","Down"
"Sdhaf1","Down"
"Mt1","Down"
"Cbln1","Down"
"Tekt4","Down"
"Mt3","Down"
"2310011J03Rik","Down"
"Gpd1","Down"
"Gpr3","Down"
"Fbxw19","Down"
"Trib1","Down"
"Smim3","Down"
"Panx2","Down"
"Cenpf","Down"
"Prelid3b","Down"
"Ptrh1","Down"
"Chrna4","Down"
"Ascc1","Down"
"Olfr1198","Down"
"Dhrs1","Down"
"Fam107a","Down"
"Il18","Down"
"Tnfaip8l1","Down"
"Ifrd1","Down"
"Pacrg","Down"
"Tspan5","Down"
"Gtf2h2","Down"
"Nadk","Down"
"Mfsd2a","Down"
"Gmppb","Down"
"Pop5","Down"
"Akt2","Down"
"Usf2","Down"
"Cdc34","Down"
"Creb3","Down"
"Ndufaf1","Down"
"Tuba4a","Down"
"Lamtor5","Down"
"Crcp","Down"
"Cdkn1a","Down"
"Tm2d2","Down"
"Txn2","Down"
"Atf4","Down"
"Aurkaip1","Down"
"Ppp1r1b","Down"
"Smim7","Down"
"Ppp1r3g","Down"
"Adat2","Down"
"Uqcr11","Down"
"Atat1","Down"
"Pvalb","Down"
"Rgs2","Down"
"Rnf144b","Down"
"Rnaseh2c","Down"
"Cyp7b1","Down"
"Pex5l","Down"
"Ciart","Down"
"Btbd2","Down"
"Drg1","Down"
"Cep83","Down"
"Pno1","Down"
"2310009B15Rik","Down"
"Ndfip2","Down"
"Rasl10b","Down"
"Commd3","Down"
"Nt5c3","Down"
"Mark4","Down"
"Rbm45","Down"
"Timm8a1","Down"
"Cdk5","Down"
"Fbxo36","Down"
"Fastk","Down"
"Tmem35b","Down"
"Scn1b","Down"
"Cndp2","Down"
"Gpx4","Down"
"Gtf3a","Down"
"Trir","Down"
"Mpc2","Down"
