SampleName,region,batch,post_idbatch,AggGiven70min,AggRec70min,pre_idbatch,pre_idbatchcage,time,Postds,Postrank,Preds,Prerank,wt_d4,wt_d8,wt_12,post_Ncort,condition1
A1.AMYB10.3.2.trim.sam.counts,AMY,10,3-2Batch10,0,69,2Batch1,2Batch10Cage3,1 hr,-2.41746411483254,4,-3.57777777777778,4,36.3,36.2,35.1,0.6273630814696635,SUB
A1.PFCB14.5.4.trim.sam.counts,PFC,14,5-4Batch14,23,0,4Batch1,4Batch14Cage5,1 hr,3,1,5.21818181818182,1,41.7,40.6,40.8,0.05649720291130214,CDOM
A2.AMYB12.4.3.trim.sam.counts,AMY,12,4-3Batch12,0,61,3Batch1,3Batch12Cage4,1 hr,-2.29166666666667,4,4.61190476190476,1,42.9,42.6,41.8,0.4088941017746193,DES
A3.AMYB11.4.4.trim.sam.counts,AMY,11,4-4Batch11,77,0,4Batch1,4Batch11Cage4,1 hr,3.1875,1,5.504329004329,1,35.2,35.3,35.6,0.5467847117083998,DOM
A3.PFCB9.2.2.trim.sam.counts,PFC,9,2-2Batch9,8,0,2Batch9,2Batch9Cage2,1 hr,3.08333333333333,1,3.97069597069597,1,41.3,42.3,42.9,0.11178379359714764,CDOM
A4.AMYB13.1.2.trim.sam.counts,AMY,13,1-2Batch13,62,0,2Batch1,2Batch13Cage1,1 hr,2.75,1,-2.94444444444444,4,35.5,38.5,36.7,0.04393844930560219,ASC
A4.PFCB12.3.1.trim.sam.counts,PFC,12,3-1Batch12,0,27,1Batch1,1Batch12Cage3,1 hr,-1.91666666666667,4,-2.82142857142857,4,38.3,35.8,38.8,0.030686417924673262,CSUB
A5.AMYB11.5.4.trim.sam.counts,AMY,11,5-4Batch11,0,41,4Batch1,4Batch11Cage5,1 hr,-2.15277777777778,4,-2.70744680851064,3,35,33.5,35.5,0.9159146784702663,CSUB
A6.AMYB13.5.1.trim.sam.counts,AMY,13,5-1Batch13,0,45,1Batch1,1Batch13Cage5,1 hr,-2.7,4,-5.02857142857143,4,35.5,35.7,36.8,0.18268988895313812,CSUB
A6.PFCB14.4.2.trim.sam.counts,PFC,14,4-2Batch14,0,32,2Batch1,2Batch14Cage4,1 hr,-1.12380952380952,4,5.82678271907158,1,42.7,41.2,40.4,0.19700786328610184,DES
