"symbol","reg"
"Dnmt1","Up"
"Rspo1","Up"
"Ppp1r13b","Up"
"Zbtb7c","Up"
"Arhgap1","Up"
"Fgfr1","Up"
"Zfp941","Up"
"Adamts18","Up"
"Neil1","Up"
"Nr2f2","Up"
"Dync2h1","Up"
"Zfp704","Up"
"Mdm1","Up"
"Dzip3","Up"
"Sema5a","Up"
"Mbip","Up"
"Pgr15l","Up"
"Kif26b","Up"
"Cdh2","Up"
"Glra3","Up"
"Plekha7","Up"
"Gm11100","Up"
"Ccdc112","Up"
"Tmem215","Up"
"Akap11","Up"
"Cers4","Up"
"Camk1d","Up"
"Exoc3l","Up"
"Plek","Up"
"Rictor","Up"
"Scn5a","Up"
"Plag1","Up"
"Brca2","Up"
"Lrrc23","Up"
"Ccdc85a","Up"
"Cacng4","Up"
"Abca8b","Up"
"Ltbp4","Up"
"Lrfn5","Up"
"Alcam","Up"
"Ankrd35","Up"
"Oprd1","Up"
"Pcdh7","Up"
"Gnb4","Up"
"Dpp10","Up"
"Camk2g","Up"
"Ogfod1","Up"
"St8sia2","Up"
"Amotl1","Up"
"Brd4","Up"
"Adgrl3","Up"
"Zscan18","Up"
"Coro2a","Up"
"Sorcs3","Up"
"Myo15","Up"
"Zfp60","Up"
"Cep70","Up"
"Dnajc6","Up"
"Hes5","Up"
"Per3","Up"
"Nalcn","Up"
"Pde8b","Up"
"Slit2","Up"
"Ldlrad3","Up"
"Tekt2","Up"
"Kmt2e","Up"
"Rcc1l","Up"
"Mfsd4b4","Up"
"Htr2c","Up"
"Zc3h14","Up"
"Ppm1m","Up"
"Zfp383","Up"
"Timeless","Up"
"Naga","Up"
"Fam120c","Up"
"Zfp300","Up"
"Fnbp1l","Up"
"Gar1","Up"
"Slc7a11","Up"
"Wrnip1","Up"
"Cntn5","Up"
"Tspyl5","Up"
"Epc2","Up"
"Gli1","Up"
"Usp29","Up"
"Pitpnm3","Up"
"Fzd8","Up"
"Apba1","Up"
"Crtc3","Up"
"Ulk1","Up"
"Ino80c","Up"
"Ldb2","Up"
"Akap17b","Up"
"Vps4b","Up"
"Mta3","Up"
"Rif1","Up"
"Heyl","Up"
"Zdhhc22","Up"
"AI467606","Up"
"Sypl","Up"
"Clmn","Up"
"N4bp2l1","Up"
"Slc17a5","Up"
"Ctc1","Up"
"Plod3","Up"
"Gabrq","Up"
"Sema4a","Up"
"Pnmal2","Up"
"N4bp2","Up"
"Grik4","Up"
"Rtl1","Up"
"Atad5","Up"
"Gm5124","Up"
"Ppil6","Up"
"Exoc1","Up"
"Pvalb","Down"
"Nfkbia","Down"
"Apold1","Down"
"Ppp1r14b","Down"
"Timm8a1","Down"
"Htra1","Down"
"Panx2","Down"
"Pygm","Down"
"Arl4d","Down"
"Fastk","Down"
"Mt1","Down"
"Prelid3b","Down"
"Rbm45","Down"
"Cebpd","Down"
"Ptrh1","Down"
"Uqcr11","Down"
"Smim3","Down"
"Tuba4a","Down"
"Galnt9","Down"
"Acp6","Down"
"Ndufaf1","Down"
"Tspan5","Down"
"Igf1","Down"
"Cbln1","Down"
"Smim7","Down"
"Ppp1r1b","Down"
"Aurkaip1","Down"
"Mfsd2a","Down"
"Dhrs1","Down"
"Pex5l","Down"
"Cndp2","Down"
"Mt3","Down"
"Fbxo36","Down"
"Ndfip2","Down"
"Ascc1","Down"
"Rnf144b","Down"
"Ciart","Down"
"Ppp1r3g","Down"
"Tnfaip8l1","Down"
"Dio2","Down"
"Cdkn1a","Down"
"Ctla2a","Down"
"Trib1","Down"
"Gpr3","Down"
"Il18","Down"
"Pacrg","Down"
"Cdk5","Down"
"Atat1","Down"
"C1ql2","Down"
"Cep83","Down"
"Gtf3a","Down"
"Nt5c3","Down"
"Tm2d2","Down"
"Btbd2","Down"
"Mark4","Down"
"Adat2","Down"
"Cenpf","Down"
"Cbr3","Down"
"2310011J03Rik","Down"
"2310009B15Rik","Down"
"Cdc34","Down"
"Lamtor5","Down"
"Pex16","Down"
"Mpc2","Down"
"Fbxw19","Down"
"Fam107a","Down"
"Txn2","Down"
"Sdhaf1","Down"
"Akt2","Down"
"Chrna4","Down"
"Gtf2h2","Down"
"Nadk","Down"
"Pop5","Down"
"Tbata","Down"
"Ifrd1","Down"
"Rnaseh2c","Down"
"Tmem35b","Down"
"Rasl10b","Down"
"Tmem42","Down"
"Atf4","Down"
"Olfr1198","Down"
"Arc","Down"
"Tekt4","Down"
"Commd3","Down"
"Pno1","Down"
"Cyp7b1","Down"
"Creb3","Down"
"Gmppb","Down"
"Trir","Down"
"Crcp","Down"
"Scn1b","Down"
"Sec14l2","Down"
"Cyp2s1","Down"
"Gpx4","Down"
"Rgs2","Down"
"Drg1","Down"
"Usf2","Down"
"Gpd1","Down"
