"symbol","reg"
"Maoa","Up"
"Ino80c","Up"
"Oard1","Up"
"Zfp395","Up"
"Creb5","Up"
"Kcnmb1","Up"
"Dmkn","Up"
"6820408C15Rik","Up"
"Snrpd3","Up"
"Dpep2","Up"
"Dpep2","Up"
"Uvssa","Up"
"Gm867","Up"
"Mtf1","Up"
"Cldn5","Up"
"Tmprss11b","Up"
"Sox2","Up"
"Rpl18","Up"
"Olfr143","Up"
"Lsm6","Up"
"Trim5","Up"
"Olfr259","Up"
"Slc28a3","Up"
"Olfr678","Up"
"Rps9","Up"
"Egfl6","Up"
"Dbt","Up"
"Haus7","Up"
"Cep164","Up"
"Rps26","Up"
"Slc4a4","Up"
"Olfr1310","Up"
"Nkd2","Up"
"Sp110","Up"
"Rbm34","Up"
"Tmem192","Up"
"Ankrd66","Up"
"Olfr1094","Up"
"Olfr323","Up"
"Mad2l1","Up"
"Apof","Up"
"Tmtc4","Up"
"Zmym5","Up"
"Cd274","Up"
"Ddx39b","Up"
"Nhs","Up"
"Zfp711","Up"
"Mylk4","Up"
"Clcn7","Up"
"Efl1","Up"
"Trmt10a","Up"
"Utp23","Up"
"Tprn","Up"
"Chchd7","Up"
"Sox13","Up"
"Aqp1","Up"
"Rpl21","Up"
"Adgrg2","Up"
"Zfp13","Up"
"Slc6a11","Up"
"Ankrd35","Up"
"Card6","Up"
"Oprk1","Up"
"Aars2","Up"
"Tmem164","Up"
"Chic2","Up"
"Qpct","Up"
"Cdk15","Up"
"Gpr139","Up"
"Fat1","Up"
"Eomes","Up"
"Pou2f2","Up"
"Unc13c","Up"
"Gpr37","Up"
"Zim1","Up"
"Rpl13a","Up"
"Eif4e3","Up"
"Mettl1","Up"
"Adamts20","Up"
"Tssc4","Up"
"Cfap65","Up"
"Krt80","Up"
"Nap1l4","Up"
"Vmn2r26","Up"
"Rdh12","Up"
"Zfp811","Up"
"Vmn2r113","Up"
"Suco","Up"
"Usp17la","Up"
"Cep63","Up"
"Phka1","Up"
"Agap1","Up"
"Mrgprb1","Up"
"Nmb","Up"
"Gbx2","Up"
"Zfp385c","Up"
"Csrnp1","Down"
"Mfap1b","Down"
"Hspa1b","Down"
"Atl2","Down"
"Prr16","Down"
"Zfp189","Down"
"Fam135b","Down"
"Calhm2","Down"
"Wdr24","Down"
"Fos","Down"
"Lurap1","Down"
"Twf2","Down"
"Prkab2","Down"
"Unc13b","Down"
"Dnajb5","Down"
"Junb","Down"
"Napa","Down"
"Smtn","Down"
"Arl4d","Down"
"Klf2","Down"
"1810055G02Rik","Down"
"Pdk3","Down"
"Alkbh6","Down"
"Tnks1bp1","Down"
"Letmd1","Down"
"Klf13","Down"
"Acss2","Down"
"Fam107a","Down"
"Clu","Down"
"Necab3","Down"
"Stt3b","Down"
"Rtn4r","Down"
"Fosb","Down"
"Cebpb","Down"
"Sel1l3","Down"
"Acap3","Down"
"Gadd45b","Down"
"Ptges2","Down"
"Fmnl1","Down"
"Lrrc4","Down"
"Dph7","Down"
"Egr4","Down"
"Dagla","Down"
"Dapk3","Down"
"Sirt7","Down"
"Bop1","Down"
"Zfp651","Down"
"Nr4a3","Down"
"Slc8a2","Down"
"Spire1","Down"
"Wasl","Down"
"Dio2","Down"
"Unc5a","Down"
"Spaar","Down"
"Kcnh4","Down"
"Tmem38a","Down"
"Ubl7","Down"
"Rad52","Down"
"Rasgef1c","Down"
"Sgk1","Down"
"Nrg3","Down"
"Apold1","Down"
"Ifrd1","Down"
"Gadd45g","Down"
"Nudt13","Down"
"Synj2","Down"
"Gabra1","Down"
"Strn4","Down"
"Lrrc59","Down"
"Sema7a","Down"
"Rnf144b","Down"
"Cd14","Down"
"Plekhm1","Down"
"Mxd1","Down"
"Stk19","Down"
"Nol4l","Down"
"Pknox2","Down"
"Elk4","Down"
"Ackr1","Down"
"Hmgn3","Down"
"Pfkl","Down"
"Scara3","Down"
"Nedd4l","Down"
"Brsk1","Down"
"Ndst3","Down"
"Spata2l","Down"
"Dusp7","Down"
"Numb","Down"
"Mink1","Down"
"Papss2","Down"
"Klf10","Down"
"Mtx1","Down"
"Bcor","Down"
"Skil","Down"
"Rmnd5b","Down"
"Zfp365","Down"
"Dgkz","Down"
"Snph","Down"
"Slc25a19","Down"
"Emx1","Down"
"Adcy1","Down"
"Tmem135","Down"
"Peak1","Down"
"Atp2b2","Down"
"Tnfrsf25","Down"
"Fosl2","Down"
"Dnajb12","Down"
"Prdm8","Down"
"Hpca","Down"
"Chrm1","Down"
"Tsc22d3","Down"
"Zfp703","Down"
"Nfkbia","Down"
"Wdr46","Down"
"Ufm1","Down"
"Dtx2","Down"
"Dclk1","Down"
"Fzd4","Down"
"Mfge8","Down"
