"symbol","reg"
"Cped1","Up"
"Fmod","Up"
"Cbln1","Up"
"Ogn","Up"
"Foxc2","Up"
"P3h4","Up"
"Prss30","Up"
"Ptgds","Up"
"Itih2","Up"
"Specc1","Up"
"Zfp174","Up"
"Mettl7a1","Up"
"Serpina1c","Up"
"Slc6a13","Up"
"Stt3a","Up"
"Trim30a","Up"
"Zfp112","Up"
"Zfp317","Up"
"Fam43a","Up"
"Bin2","Up"
"Trim26","Up"
"Zfx","Up"
"Plxnb1","Up"
"Golph3l","Up"
"Rft1","Up"
"Fggy","Up"
"Magi1","Up"
"Magi1","Up"
"Mgp","Up"
"Serping1","Up"
"Ptpmt1","Down"
"Zfp710","Down"
"Kctd16","Down"
"Zc3h14","Down"
"Lrtm1","Down"
"Zbtb45","Down"
"Snupn","Down"
"Trpm4","Down"
"Zc3h3","Down"
"Mt3","Down"
"Tyr","Down"
"Retn","Down"
"Cacnb1","Down"
"Hmbs","Down"
"Nt5dc3","Down"
"Adam15","Down"
"Ceacam3","Down"
"Nrros","Down"
"Actl6b","Down"
"Mettl23","Down"
"Neurl2","Down"
"Foxo6","Down"
"Zfp341","Down"
"Mad2l1","Down"
"Ppp4c","Down"
"Lrba","Down"
"Thop1","Down"
"Mtpap","Down"
"Cnih2","Down"
"Eefsec","Down"
"Ccdc125","Down"
