"symbol","reg"
"Wscd2","Up"
"Pbx3","Up"
"Fndc5","Up"
"Ndnf","Up"
"Slc29a1","Up"
"Egln3","Up"
"Vmo1","Up"
"Inpp5j","Up"
"P3h4","Up"
"Cdh4","Up"
"Lgi3","Up"
"Tmtc1","Up"
"Fam3c","Up"
"Pcdh7","Up"
"Sox1","Up"
"Prkca","Up"
"Zic4","Up"
"Aph1b","Up"
"Ly6a","Up"
"Epha7","Up"
"Hs3st3a1","Up"
"Tmem238","Up"
"Atpaf1","Up"
"Plpp6","Up"
"Slc9a1","Up"
"Dok4","Up"
"Scrt2","Up"
"Prss23","Up"
"Tbxa2r","Up"
"Csrp1","Up"
"Homer2","Up"
"Htr1d","Up"
"Limd1","Up"
"Itm2a","Up"
"Nckap1l","Up"
"Msi2","Up"
"Cdc14a","Up"
"Prorsd1","Up"
"Kcnj8","Up"
"Esyt1","Up"
"Yjefn3","Up"
"Ndrg1","Up"
"Ankrd63","Up"
"Ccl12","Up"
"Nwd1","Up"
"Wipf3","Up"
"Galnt16","Up"
"Sp8","Up"
"Zfand3","Up"
"Crabp1","Up"
"Pla2g3","Up"
"Tagln2","Up"
"Itga11","Up"
"Zcchc24","Up"
"Kctd12","Up"
"Pnoc","Up"
"Acaa2","Up"
"Vps25","Up"
"Psph","Up"
"Pipox","Up"
"Atp23","Up"
"Pou3f4","Up"
"Lrrc8a","Up"
"Lilrb4a","Up"
"Cped1","Up"
"Vstm4","Up"
"Sh3bgrl","Up"
"Nqo1","Up"
"Zfp618","Up"
"Fkbp5","Up"
"Drc3","Up"
"Entpd2","Up"
"Igfbp7","Up"
"Gjc1","Up"
"Ginm1","Up"
"Crybb1","Up"
"Serpina3i","Up"
"Adgrf5","Up"
"Cnot11","Up"
"Prdm12","Up"
"Slc41a1","Up"
"Lrrtm4","Up"
"Gpr146","Up"
"Hspg2","Up"
"Slc35f3","Up"
"Slc4a2","Up"
"Zic2","Up"
"Elp4","Up"
"Kcnj6","Up"
"Foxq1","Up"
"4930523C07Rik","Up"
"Asb2","Up"
"Wasf2","Up"
"Cyp4v3","Up"
"Isl1","Up"
"Uhrf1","Up"
"Sun2","Up"
"Syne2","Up"
"Mtfr1l","Up"
"Fignl2","Up"
"Gpx8","Up"
"Adcy9","Up"
"Fez2","Up"
"Runx1","Up"
"Map3k4","Up"
"Luzp1","Up"
"Galnt10","Up"
"Slc6a11","Up"
"Nutf2","Up"
"Nfkbiz","Up"
"Prdm16","Up"
"Fads6","Up"
"Cyb5d2","Up"
"Polr2h","Up"
"Tap1","Up"
"Tgfbrap1","Up"
"Elovl1","Up"
"Igf2bp1","Up"
"Fam189b","Up"
"Slc38a10","Up"
"Tshz3","Down"
"Hrh1","Down"
"Kif22","Down"
"Ak4","Down"
"Adcyap1","Down"
"Cckbr","Down"
"Tmem232","Down"
"Pitpnm3","Down"
"Pcdh10","Down"
"Kcnj9","Down"
"Satb2","Down"
"Olfr1199","Down"
"Lrrc75b","Down"
"Fam149a","Down"
"C2cd4c","Down"
"Tenm2","Down"
"Cntn5","Down"
"Caps2","Down"
"Sergef","Down"
"Pcsk1","Down"
"Zfp804b","Down"
"Ovol2","Down"
"Plxna3","Down"
"Lmo4","Down"
"Chl1","Down"
"Gng2","Down"
"Scn7a","Down"
"Lcorl","Down"
"Lcorl","Down"
"Necab1","Down"
"Bag4","Down"
"Zdhhc22","Down"
"Eid1","Down"
"Tmeff2","Down"
"Slit2","Down"
"Klf11","Down"
"Tmem237","Down"
"Sytl2","Down"
"Hmgcr","Down"
"Fbxl5","Down"
"Egfem1","Down"
"Opn3","Down"
"Dkk3","Down"
"Ptgfrn","Down"
"Gpr22","Down"
"Map3k5","Down"
"Deaf1","Down"
"Vat1l","Down"
"Tmem159","Down"
"Flrt2","Down"
"Nwd2","Down"
"Lnpk","Down"
"Shc2","Down"
"Cbln1","Down"
"Lrp1b","Down"
"Cacul1","Down"
"Susd5","Down"
"Pter","Down"
"Fam189a1","Down"
"Gm14267","Down"
"Zfp275","Down"
"Nr2f1","Down"
"Hic2","Down"
"Coq10b","Down"
"Ephb6","Down"
"Ppp1r26","Down"
"Usp27x","Down"
"Ebna1bp2","Down"
"Zfp583","Down"
"Dhcr24","Down"
"Kdm6a","Down"
"Xpo1","Down"
"Stmn1","Down"
"Lmbrd1","Down"
"Cep83","Down"
"St6gal2","Down"
"Atxn7l2","Down"
"Lrrc4c","Down"
"Trpv6","Down"
"1810055G02Rik","Down"
"Taf1b","Down"
"Siah1b","Down"
"Rragb","Down"
"Adcy8","Down"
"Nt5dc3","Down"
"Zfp58","Down"
"Atp8b2","Down"
"Cndp2","Down"
"Pcdha11","Down"
"C1ql3","Down"
"F8a","Down"
"Plagl1","Down"
"Rpf1","Down"
"Nyap2","Down"
"3110040N11Rik","Down"
"Zfp760","Down"
"Ttl","Down"
"Herc3","Down"
