"symbol","reg"
"Itih2","Up"
"Cped1","Up"
"Bin2","Up"
"P3h4","Up"
"Magi1","Up"
"Magi1","Up"
"Specc1","Up"
"Ogn","Up"
"Trim30a","Up"
"Serping1","Up"
"Trim26","Up"
"Plxnb1","Up"
"Fggy","Up"
"Stt3a","Up"
"Ptgds","Up"
"Mgp","Up"
"Prss30","Up"
"Serpina1c","Up"
"Fmod","Up"
"Golph3l","Up"
"Mettl7a1","Up"
"Zfx","Up"
"Foxc2","Up"
"Zfp317","Up"
"Slc6a13","Up"
"Cbln1","Up"
"Rft1","Up"
"Zfp112","Up"
"Zfp174","Up"
"Fam43a","Up"
"Lrba","Down"
"Foxo6","Down"
"Zfp341","Down"
"Nt5dc3","Down"
"Kctd16","Down"
"Mettl23","Down"
"Retn","Down"
"Ccdc125","Down"
"Ceacam3","Down"
"Zbtb45","Down"
"Ptpmt1","Down"
"Mad2l1","Down"
"Snupn","Down"
"Zfp710","Down"
"Cacnb1","Down"
"Mtpap","Down"
"Lrtm1","Down"
"Hmbs","Down"
"Zc3h3","Down"
"Cnih2","Down"
"Mt3","Down"
"Actl6b","Down"
"Zc3h14","Down"
"Neurl2","Down"
"Tyr","Down"
"Thop1","Down"
"Trpm4","Down"
"Adam15","Down"
"Nrros","Down"
"Ppp4c","Down"
"Eefsec","Down"
