"symbol","reg"
"Nr4a2","Up"
"Egr4","Up"
"Junb","Up"
"Tmem42","Up"
"Fos","Up"
"Kcnmb4","Up"
"Dnajb5","Up"
"Rtn4rl1","Up"
"Prmt8","Up"
"Egr2","Up"
"Fosl2","Up"
"Pdzrn3","Up"
"Ramp1","Up"
"Tesc","Up"
"Fscn1","Up"
"Coro1a","Up"
"Rab33a","Up"
"Itpka","Up"
"Slc7a4","Up"
"Rilpl1","Up"
"Mpp3","Up"
"H2-DMa","Up"
"Rtn4r","Up"
"Gadd45b","Up"
"Fosb","Up"
"Ddn","Up"
"Ankrd33b","Up"
"Rgs14","Up"
"Mchr1","Up"
"Gadd45g","Up"
"Kitl","Up"
"Mtmr12","Up"
"Sertad1","Up"
"Crym","Up"
"Syt16","Up"
"Plxnd1","Up"
"Tiparp","Up"
"Tal1","Up"
"Sowaha","Up"
"Tex15","Up"
"Palmd","Up"
"Socs2","Up"
"Rapgefl1","Up"
"Mas1","Up"
"Spata2l","Up"
"Cox6a2","Up"
"Zfp189","Up"
"Lhx2","Up"
"Dtl","Up"
"Nr4a3","Up"
"Eya1","Up"
"Nsmf","Up"
"Ccdc74a","Up"
"Zfpm2","Up"
"Fkbp1a","Up"
"Smad3","Up"
"Kcnc4","Up"
"Nudt16l1","Up"
"Slc44a5","Up"
"Trabd2b","Up"
"Olfm1","Up"
"Erc2","Up"
"Arf5","Up"
"Ptgs2","Up"
"Nanog","Up"
"Cst6","Up"
"Pgbd5","Up"
"Dlgap3","Up"
"Kcnv1","Up"
"Plpp6","Up"
"Peli1","Up"
"Slc2a3","Up"
"Fezf2","Up"
"Pfkl","Up"
"Nfil3","Up"
"Ctxn1","Up"
"Fam131a","Up"
"Nip7","Up"
"Dgkg","Up"
"Ptpn3","Up"
"Syt17","Up"
"Unc13a","Up"
"Cnih2","Up"
"Gabrd","Up"
"Josd1","Up"
"Icam5","Up"
"Unc5a","Up"
"Mybpc1","Up"
"Rin1","Up"
"Rasd1","Up"
"R3hdm4","Up"
"Egr3","Up"
"Sprn","Up"
"Cnih3","Up"
"Tspan33","Up"
"Cldn3","Up"
"Brinp2","Up"
"Slc16a2","Up"
"Slc16a7","Up"
"Vmn2r10","Up"
"Zic5","Up"
"Ano2","Up"
"Tspan13","Up"
"Aatf","Up"
"Hgf","Up"
"Zic2","Up"
"Cdc42se2","Up"
"Prdm8","Up"
"Fmnl1","Up"
"Pik3r2","Up"
"Nptx2","Up"
"Eepd1","Up"
"Sez6","Up"
"Ppp1r9b","Up"
"Nhsl1","Up"
"Extl1","Up"
"Olfr1316","Up"
"Olfr806","Up"
"Kcns1","Up"
"Gmeb2","Up"
"Rasal2","Up"
"Ces5a","Up"
"Spn","Up"
"Lhx9","Up"
"Msc","Up"
"Car4","Up"
"Gm42517","Up"
"Pkig","Up"
"Spink8","Up"
"Slc25a22","Up"
"Vmn2r70","Up"
"Car12","Up"
"Cckbr","Up"
"Jdp2","Up"
"Htr3a","Up"
"Tsnax","Up"
"Zdhhc14","Up"
"Nfix","Up"
"Neurod1","Up"
"Frmd6","Up"
"Vmn1r167","Up"
"Ccnjl","Up"
"Neurod2","Up"
"Inhba","Up"
"Bmp3","Up"
"Elmo2","Up"
"Tshz3","Up"
