"reg","symbol"
"Up","Anxa5"
"Up","Pvalb"
"Up","Sgk1"
"Up","Kcnab3"
"Up","Mdk"
"Up","Ankrd29"
"Up","Timm8a1"
"Up","Ephx2"
"Up","Adssl1"
"Up","Nefh"
"Up","Slc18a2"
"Up","Tmem50b"
"Up","Ccdc91"
"Up","Tmem104"
"Up","Pcp4l1"
"Up","Cerk"
"Up","Ubxn2a"
"Up","Lfng"
"Up","Smox"
"Up","Sncg"
"Up","Dexi"
"Up","Ano4"
"Up","Tlk2"
"Up","Syt2"
"Up","Clgn"
"Up","Akap12"
"Up","Cplx1"
"Up","Tcf7l2"
"Up","Lysmd1"
"Up","Enho"
"Up","Arrdc3"
"Up","S100a1"
"Up","Chchd3"
"Up","Scn4b"
"Up","Msrb1"
"Up","Fth1"
"Up","C1qb"
"Up","Inpp5j"
"Up","S100a13"
"Up","Mpped2"
"Up","Phgdh"
"Up","Rhoq"
"Up","Olig2"
"Up","Fndc5"
"Up","Desi1"
"Up","Efhd1"
"Up","Hcn2"
"Up","Nrtn"
"Up","Slc48a1"
"Up","Josd2"
"Up","Trnp1"
"Up","Slc25a19"
"Up","Rit2"
"Up","Vegfb"
"Up","Ldhb"
"Up","Higd1a"
"Up","Ckb"
"Up","Lzts2"
"Up","Pogk"
"Up","Stk39"
"Up","Ndufs2"
"Up","Laptm4b"
"Up","Ak6"
"Up","Ak6"
"Up","G6pdx"
"Up","Sema7a"
"Up","Rgs8"
"Up","Chrm2"
"Up","Ric3"
"Up","R3hcc1"
"Up","Npc2"
"Up","Dnm2"
"Up","Gng11"
"Up","Elovl1"
"Up","Ddit3"
"Up","Ctsz"
"Up","Ufc1"
"Up","Slc4a4"
"Up","Hebp2"
"Up","Pmepa1"
"Up","Cryab"
"Up","Pacsin3"
"Up","Cd59a"
"Up","Ift27"
"Up","Rdx"
"Up","Ctsd"
"Up","Lpar1"
"Up","Apln"
"Up","Cttnbp2nl"
"Up","Aamdc"
"Up","Myh14"
"Up","Ghitm"
"Up","Slc25a5"
"Up","Bag1"
"Up","Nrip3"
"Up","Trpc3"
"Up","Arrdc2"
"Up","Gpr37l1"
"Up","Ngfr"
"Up","Glul"
"Up","Asb13"
"Up","Cox5a"
"Up","Map4k2"
"Up","Acsbg1"
"Up","Pcp4"
"Up","Slc25a33"
"Up","Mobp"
"Up","Ccdc159"
"Up","Cnp"
"Up","Hexb"
"Up","Kctd9"
"Up","Atp5j"
"Up","Chd7"
"Up","Sla"
"Up","Tubb4a"
"Up","Sptssb"
"Up","Bcas1"
"Up","Carhsp1"
"Up","Mog"
"Up","Ermn"
"Up","Fam131c"
"Up","Pkm"
"Up","Kat14"
"Up","Prdx6"
"Up","Olig1"
"Up","Ufsp1"
"Up","Ccdc146"
"Up","Rcan2"
"Up","Sh3bgrl2"
"Up","Ndufa10"
"Up","Tprn"
"Up","Epha8"
"Up","Atp5b"
"Up","S100b"
"Up","Lhfp"
"Up","Hsp90aa1"
"Up","Vmp1"
"Up","Clpx"
"Up","Anapc13"
"Up","Mmgt1"
"Up","Ctsl"
"Up","Tmx2"
"Up","Golm1"
"Up","Cend1"
"Up","Tmem229a"
"Up","Mrps18a"
"Up","Pllp"
"Up","Bcat1"
"Up","Nefl"
"Up","Ugt8a"
"Up","Mmp15"
"Up","Abca8a"
"Up","Gm2a"
"Up","Paqr4"
"Up","Ap5s1"
"Up","Dctd"
"Up","Pyurf"
"Up","Luzp1"
"Up","Lgi2"
"Up","Bckdhb"
"Up","Postn"
"Up","Aplp2"
"Up","Nefm"
"Up","Serpinb1a"
"Up","Kcna1"
"Up","Klhdc8a"
"Up","Anks1"
"Up","Gabra1"
"Up","Mal"
"Up","Mag"
"Up","Zfp536"
"Up","Rimkla"
"Up","Ccni"
"Up","Ahcyl1"
"Up","Gusb"
"Up","Phlda3"
"Up","Mdga1"
"Up","Hsd17b12"
"Up","Glrx3"
"Up","Npas1"
"Up","Mrpl18"
"Up","Cdr1"
"Up","Rfk"
"Up","Extl2"
"Up","Clip3"
"Up","Lypd6"
"Up","Tmem119"
"Up","Rp9"
"Up","Irx2"
"Up","Khk"
"Up","Slc5a7"
"Up","Grb14"
"Up","Gng5"
"Up","Nop14"
"Up","Nat8l"
"Up","Acadvl"
"Up","Efcab2"
"Up","Grin2d"
"Up","Slc44a1"
"Up","Gal3st1"
"Up","Ppargc1a"
"Up","Diras1"
"Up","Vsir"
"Up","Evi5"
"Up","Bmp2"
"Up","Slc18a3"
"Up","Lamtor4"
"Up","Ubtd1"
"Up","Gclm"
"Up","Laptm5"
"Up","Bmp2k"
"Up","Cpt2"
"Up","Nat9"
"Up","Ppp1cc"
"Up","Ppp1cc"
"Up","Snapc5"
"Up","Hsd17b11"
"Up","Aco2"
"Up","Otud7b"
"Up","Lhx8"
"Up","Ddx25"
"Up","Rps20"
"Up","Cox20"
"Up","B3glct"
"Up","Ttc1"
"Up","Thpo"
"Up","Ctps2"
"Up","Zfp971"
"Up","Nars"
"Up","Sat1"
"Up","Scn1a"
"Up","3110082J24Rik"
"Up","Bmpr1b"
"Up","Tyrobp"
"Up","Vamp1"
"Up","Vamp1"
"Up","Nfe2l3"
"Up","Gjb1"
"Up","Ndrg2"
"Up","Slc6a3"
"Up","Aif1l"
"Up","Zfp182"
"Up","Ugp2"
"Up","Eif1ad"
"Up","Triqk"
"Up","Asap1"
"Up","Ttyh2"
"Up","Cd59b"
"Up","Esrrb"
"Up","Rnh1"
"Up","Fnta"
"Up","Rgs3"
"Up","Dusp3"
"Up","Arhgap23"
"Up","Map4"
"Up","Cnksr3"
"Up","Cldn11"
"Up","Gprc5b"
"Up","Gpr146"
"Up","Man2a1"
"Up","Metrn"
"Up","Sox10"
"Up","Chchd10"
"Up","Gsn"
"Up","Fgf18"
"Up","Syndig1l"
"Up","Adipor2"
"Up","Pgm2"
"Up","Slc10a4"
"Up","Mtch2"
"Up","Lhfpl5"
"Up","Pold4"
"Up","Fah"
"Up","Stmn4"
"Up","Bcan"
"Up","Cmtm5"
"Up","Wwp1"
"Up","Megf10"
"Up","Immp2l"
"Up","Kat6a"
"Up","Ap3m1"
"Up","Parl"
"Up","Mbp"
"Up","Chchd5"
"Up","Th"
"Up","Pmp22"
"Up","Npm1"
"Up","Bcor"
"Up","Qdpr"
"Up","Ccdc28b"
"Up","Slc2a8"
"Up","Ado"
"Up","Pip4k2a"
"Up","Plekhb1"
"Up","Frmd5"
"Up","Gatad2a"
"Up","Ltc4s"
"Up","Trf"
"Up","Shox2"
"Up","Fundc2"
"Up","Slc39a6"
"Up","Fam98a"
"Up","Gab1"
"Up","Ttc9c"
"Up","Cmc2"
"Up","Pnpla2"
"Up","Irf3"
"Up","Ptn"
"Up","Il11ra1"
"Up","Tmem229b"
"Up","Kdr"
"Up","Ankrd34b"
"Up","Coro6"
"Up","Gdnf"
"Up","Slc39a13"
"Up","Kirrel"
"Up","Col11a1"
"Up","P2ry1"
"Up","Relt"
"Up","Sec23b"
"Up","Elovl7"
"Up","Nxt2"
"Up","Eif5a2"
"Up","Tex2"
"Up","Manea"
"Up","Opalin"
"Up","Pdzd7"
"Up","Enpp2"
"Up","Zbtb4"
"Up","Ankrd40"
"Up","Ranbp6"
"Up","Pnkd"
"Up","Strip2"
"Up","Emilin2"
"Up","Ntrk1"
"Up","Cdc42ep1"
"Up","Tmub1"
"Up","Ebf4"
"Up","Sars"
"Up","Hip1r"
"Up","Mia3"
"Up","Skor1"
"Up","Ccdc85c"
"Up","Lap3"
"Up","Mdh1"
"Up","Rrbp1"
"Up","Ctss"
"Up","Ppm1k"
"Up","Angel1"
"Up","Smc2"
"Up","Plekho1"
"Up","Rorc"
"Up","Cyp2j12"
"Up","Plod1"
"Up","Bend5"
"Up","Sirt2"
"Up","Car2"
"Up","Atp1b1"
