"symbol","reg"
"Grk6","Up"
"Zfp710","Up"
"Spen","Up"
"Plekhn1","Up"
"Mbd1","Up"
"Olfr539","Up"
"Aff3","Up"
"Mapkapk2","Up"
"Nhlrc3","Up"
"Fnbp1l","Up"
"Mib2","Up"
"Igsf9b","Up"
"Srrm3","Up"
"Krt12","Up"
"Hey1","Up"
"Pitpnm3","Up"
"Jade2","Up"
"Camk1g","Up"
"Slc6a7","Up"
"Rnf135","Up"
"Zfp692","Up"
"Tox","Up"
"Rspo2","Up"
"Olfr140","Up"
"Bin1","Up"
"Ovol2","Up"
"Cacna1a","Up"
"Gpr68","Up"
"Trpc6","Up"
"Bbof1","Up"
"Prkd1","Up"
"Adgrl2","Up"
"Fxyd5","Up"
"Ypel4","Up"
"Sbf2","Up"
"Mllt6","Up"
"Crtc2","Up"
"Prr12","Up"
"Lcorl","Up"
"Lcorl","Up"
"Evi5","Up"
"Grp","Up"
"Hps4","Up"
"Cacna1g","Up"
"Ago3","Up"
"Hcfc2","Up"
"Ap5z1","Up"
"Raph1","Up"
"Ephb6","Up"
"Kmt2a","Up"
"Hkdc1","Up"
"Rb1","Up"
"Disc1","Down"
"Fam107b","Down"
"Tspan12","Down"
"Tjp2","Down"
"Tfg","Down"
"Pycr2","Down"
"Rbm15b","Down"
"Eif2s3x","Down"
"Ogg1","Down"
"Gng10","Down"
"Sys1","Down"
"Slc6a5","Down"
"Arhgap6","Down"
"Arxes1","Down"
"Dhrs13","Down"
"Enpp4","Down"
"Seh1l","Down"
"Dap","Down"
"Map3k19","Down"
"Gcc1","Down"
"Spag16","Down"
"Trpc7","Down"
"Mrps16","Down"
"Mif4gd","Down"
"Ublcp1","Down"
"Snrpd1","Down"
"Egfl7","Down"
"Gsr","Down"
"Mrs2","Down"
"Spata13","Down"
"Ttyh2","Down"
"Dcun1d5","Down"
"Malsu1","Down"
"Hs3st1","Down"
"Tor2a","Down"
"Krcc1","Down"
"Rps27l","Down"
"Cnpy2","Down"
"Cgref1","Down"
"Shoc2","Down"
