Name	Description	pvalue	qvalue	phenotype	genes
GO:0006417	regulation of translation	0.00195840840610328	0.138276094276501	-1	Eif2s3x,Mif4gd,Malsu1,Rps27l
GO:0022613	ribonucleoprotein complex biogenesis	0.00216361418103231	0.138276094276501	-1	Eif2s3x,Snrpd1,Malsu1,Rps27l
GO:0022618	ribonucleoprotein complex assembly	0.00137415221923716	0.138276094276501	-1	Eif2s3x,Snrpd1,Rps27l
GO:0071826	ribonucleoprotein complex subunit organization	0.00157754106344707	0.138276094276501	-1	Eif2s3x,Snrpd1,Rps27l
GO:0002183	cytoplasmic translational initiation	0.00061330023292373	0.138276094276501	-1	Eif2s3x,Mif4gd
GO:0034198	cellular response to amino acid starvation	0.00170342911134282	0.138276094276501	-1	Seh1l,Dap
GO:1990928	response to amino acid starvation	0.00201657198178544	0.138276094276501	-1	Seh1l,Dap
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
NA	NA	NA	NA	-1	NA
