"symbol","logFCStatus","P.ValueStatus","adj.P.ValStatus","entrez","contrast","regStatus","logFCCort","P.ValueCort","adj.P.ValCort","regCort"
"Ino80c",0.561459947819024,0.000322585372005922,0.868103685221382,225280,"CON-DOM","up",-0.505098462081713,0.0272575781255564,0.996111667085965,"down"
"Csrnp1",-1.11245927950142,0.000404681640652649,0.868103685221382,215418,"CON-DOM","down",0.993081818557331,0.0125404817388454,0.996111667085965,"up"
"Oard1",0.55514956547592,0.000409337090987948,0.868103685221382,106821,"CON-DOM","up",-0.674720305916798,0.00189738506386872,0.996111667085965,"down"
"Creb5",0.538331517465785,0.00134906697958324,0.868103685221382,231991,"CON-DOM","up",-0.547291169319517,0.0318394436870922,0.996111667085965,"down"
"Mfap1b",-0.42423577449416,0.00158396107981036,0.868103685221382,100034361,"CON-DOM","down",0.462860365353237,0.00977370655060232,0.996111667085965,"up"
"Hspa1b",-1.08022714580973,0.00188783237056933,0.868103685221382,15511,"CON-DOM","down",1.57566439817958,0.000124967665156108,0.996111667085965,"up"
"Zfp710",-0.410760414329287,0.00191323111394681,0.868103685221382,209225,"CON-DOM","down",0.430330028254628,0.0176888342158626,0.996111667085965,"up"
"Dmkn",2.25740154747167,0.00203949659605554,0.868103685221382,73712,"CON-DOM","up",-2.52881102487928,0.0226799236242224,0.996111667085965,"down"
"Plec",-0.272184571134154,0.0020845456117136,0.868103685221382,18810,"CON-DOM","down",0.30943301053489,0.00838427953794941,0.996111667085965,"up"
"6820408C15Rik",1.04199537341952,0.00212686295903948,0.868103685221382,228778,"CON-DOM","up",-1.74547666976496,0.00102807097300422,0.996111667085965,"down"
"Shank3",-0.488719918298484,0.00226044355074259,0.868103685221382,58234,"CON-DOM","down",0.426946051369103,0.0474776891407605,0.996111667085965,"up"
"Atl2",-0.330413402087815,0.00237864163951158,0.868103685221382,56298,"CON-DOM","down",0.329266535964976,0.0236213232384039,0.996111667085965,"up"
"Plcb3",0.583347203984678,0.0028306108483398,0.868103685221382,18797,"CON-DOM","up",-0.711703409993368,0.00791823543313769,0.996111667085965,"down"
"Uvssa",0.420467374629191,0.00289321862070592,0.868103685221382,71101,"CON-DOM","up",-0.554380330220225,0.00600260364407398,0.996111667085965,"down"
"Prr16",-0.72764368830355,0.00307871680679428,0.868103685221382,71373,"CON-DOM","down",0.741914645953582,0.0172081094170773,0.996111667085965,"up"
"Gm867",1.65826870579825,0.00323320872514715,0.868103685221382,333670,"CON-DOM","up",-2.03691017270969,0.0162493338541486,0.996111667085965,"down"
"Cldn5",0.72849598796066,0.00341359041547623,0.868103685221382,12741,"CON-DOM","up",-0.760297322174676,0.0318700373309468,0.996111667085965,"down"
"Calhm2",-0.965160737188916,0.00345154397877083,0.868103685221382,72691,"CON-DOM","down",0.962694999373027,0.0214254624626494,0.996111667085965,"up"
"Acp6",-0.483990512376614,0.00353868511159907,0.868103685221382,66659,"CON-DOM","down",0.570147763857199,0.00765166422946037,0.996111667085965,"up"
"Wdr24",-0.396376618796475,0.00370479844935481,0.868103685221382,268933,"CON-DOM","down",0.41936121173866,0.0233166264944365,0.996111667085965,"up"
"Fos",-0.550250031622709,0.00377367756332513,0.868103685221382,14281,"CON-DOM","down",0.759386365165738,0.00263307399479976,0.996111667085965,"up"
"Hoxd11",0.868451501564874,0.00399315296280569,0.868103685221382,15431,"CON-DOM","up",-0.893666387092892,0.0330209336632051,0.996111667085965,"down"
"Tmprss11b",0.603345886256807,0.00419361878869449,0.868103685221382,319875,"CON-DOM","up",-0.581108136625623,0.0473127402337231,0.996111667085965,"down"
"Col19a1",-0.74491113136394,0.00423142308116135,0.868103685221382,12823,"CON-DOM","down",0.689861469906131,0.0424002640282772,0.996111667085965,"up"
"Alms1",0.47516642605528,0.00429317862927384,0.868103685221382,236266,"CON-DOM","up",-0.482308738593489,0.0376470211825788,0.996111667085965,"down"
"Twf2",-0.459032916768219,0.0044526233316085,0.868103685221382,23999,"CON-DOM","down",0.574714697282123,0.00544993550786113,0.996111667085965,"up"
"Eif3m",0.367031587011938,0.00448802395531277,0.868103685221382,98221,"CON-DOM","up",-0.367118170229405,0.0364152676491344,0.996111667085965,"down"
"Prkab2",-0.457819555875138,0.00453330622573481,0.868103685221382,108097,"CON-DOM","down",0.493336520746831,0.0227727451743367,0.996111667085965,"up"
"Plekhn1",-0.415143168986257,0.00462090564767953,0.868103685221382,231002,"CON-DOM","down",0.39844573002676,0.0440032355014007,0.996111667085965,"up"
"Plekhn1",-0.415143168986257,0.00462090564767953,0.868103685221382,231003,"CON-DOM","down",0.39844573002676,0.0440032355014007,0.996111667085965,"up"
"Unc13b",-0.480496071629633,0.00469974045847637,0.868103685221382,22249,"CON-DOM","down",0.490452589206183,0.0290319174509451,0.996111667085965,"up"
"Dnajb5",-0.589505433236494,0.00470113476267662,0.868103685221382,56323,"CON-DOM","down",0.602172354360519,0.0334052518135637,0.996111667085965,"up"
