"symbol","logFCStatus","P.ValueStatus","adj.P.ValStatus","entrez","contrast","regStatus","logFCCort","P.ValueCort","adj.P.ValCort","regCort"
"Zfp710",0.322078972197577,0.00869437833809088,0.940998545968742,209225,"DOM-DES","up",0.430330028254628,0.0176888342158626,0.996111667085965,"up"
"Fnbp1l",0.281148522258436,0.0103033393840572,0.940998545968742,214459,"DOM-DES","up",0.331815248643047,0.0373785414898841,0.996111667085965,"up"
"Mapkapk2",0.443400579812124,0.0104636581002718,0.940998545968742,17164,"DOM-DES","up",0.573827666918327,0.0199559104239032,0.996111667085965,"up"
"Olfr539",0.383060146676507,0.0107969669109454,0.940998545968742,258963,"DOM-DES","up",0.487584078442417,0.0267086729659341,0.996111667085965,"up"
"Mif4gd",-0.423946836946732,0.0198663788699222,0.940998545968742,69674,"DOM-DES","down",-0.584331344884869,0.0202100046241636,0.996111667085965,"down"
"Twistnb",-0.240224912338051,0.0285413830716096,0.940998545968742,28071,"DOM-DES","down",-0.310419737287373,0.0467487201917736,0.996111667085965,"down"
"Igsf9b",0.242351590016847,0.0322485533915981,0.940998545968742,235086,"DOM-DES","up",0.407318992103513,0.0115757606453302,0.996111667085965,"up"
"Mrps16",-0.288130588978521,0.0340176316227066,0.940998545968742,66242,"DOM-DES","down",-0.49756856642767,0.00727870543429087,0.996111667085965,"down"
"Tox",0.372049481105598,0.0350969238181255,0.940998545968742,252838,"DOM-DES","up",0.513611189933656,0.0415170963573314,0.996111667085965,"up"
"Rnf135",0.55092162415866,0.0358329954263672,0.940998545968742,71956,"DOM-DES","up",0.823244224990477,0.0283675024306063,0.996111667085965,"up"
"Plekhn1",0.280200633922024,0.0361200809513173,0.940998545968742,231002,"DOM-DES","up",0.39844573002676,0.0440032355014007,0.996111667085965,"up"
"Plekhn1",0.280200633922024,0.0361200809513173,0.940998545968742,231003,"DOM-DES","up",0.39844573002676,0.0440032355014007,0.996111667085965,"up"
"Sfmbt1",0.29715738361806,0.0390792967278577,0.940998545968742,54650,"DOM-DES","up",0.430257025012469,0.0284958676594903,0.996111667085965,"up"
"Tbcc",-0.34479372665527,0.0442995469499343,0.940998545968742,72726,"DOM-DES","down",-0.612005477174858,0.00671964279018399,0.996111667085965,"down"
"Rb1",0.210495439007902,0.0454272961342127,0.940998545968742,19645,"DOM-DES","up",0.305096916734762,0.0336974155361573,0.996111667085965,"up"
"Spata13",-0.563570919848143,0.0456310717970132,0.940998545968742,219140,"DOM-DES","down",-0.838047054975968,0.0311859779812362,0.996111667085965,"down"
"Aff3",0.243053571200108,0.0474299230851575,0.940998545968742,16764,"DOM-DES","up",0.399540046929544,0.0245736140503617,0.996111667085965,"up"
