"symbol","logFC","P.Value","adj.P.Val","ensgene","entrez"
"Mog",1.75512037750556,1.06034498982123e-06,0.00558910636656777,"ENSMUSG00000076439",17441
"Lpar1",1.65068279717172,1.33952831159149e-06,0.00558910636656777,"ENSMUSG00000038668",14745
"Egr4",-1.23299863534044,1.4293243672064e-06,0.00558910636656777,"ENSMUSG00000071341",13656
"Ttyh2",1.28650998731574,1.4723673252286e-06,0.00558910636656777,"ENSMUSG00000034714",117160
"Mal",1.44915503409524,2.22885457788542e-06,0.00661760747706264,"ENSMUSG00000027375",17153
"Tprn",1.10606383070939,3.28541940021903e-06,0.00661760747706264,"ENSMUSG00000048707",97031
"Cttnbp2nl",0.668216441914304,3.69771583993636e-06,0.00661760747706264,"ENSMUSG00000062127",80281
"Icam5",-1.03541112347177,3.78510060476801e-06,0.00661760747706264,"ENSMUSG00000032174",15898
"Ugt8a",1.49396647364316,5.31339150093632e-06,0.00713733199525403,"ENSMUSG00000032854",22239
"Cryab",1.24405095320838,5.37000703255295e-06,0.00713733199525403,"ENSMUSG00000032060",12955
"Ermn",1.49408138798916,7.19341782343379e-06,0.00763917391172413,"ENSMUSG00000026830",77767
"Mobp",1.59204245366201,7.5466022573671e-06,0.00763917391172413,"ENSMUSG00000032517",17433
"Nr4a2",-1.10750957620461,1.04272983304402e-05,0.00989550611558771,"ENSMUSG00000026826",18227
"Bcas1",1.41611640633394,1.2644326002568e-05,0.0104054741013959,"ENSMUSG00000013523",76960
"Serpinb1a",1.78393944214842,1.50720030124335e-05,0.0104054741013959,"ENSMUSG00000044734",66222
"Junb",-0.892716387509269,1.5645697408376e-05,0.0104054741013959,"ENSMUSG00000052837",16477
"Tspan2",1.11235226919894,1.72133717598346e-05,0.0104054741013959,"ENSMUSG00000027858",70747
"Slc44a1",0.768398711027734,1.76280850267769e-05,0.0104054741013959,"ENSMUSG00000028412",100434
"Fa2h",1.61169902062499,1.79791191088663e-05,0.0104054741013959,"ENSMUSG00000033579",338521
"Rgs14",-0.69487637999545,1.8381955686198e-05,0.0104054741013959,"ENSMUSG00000052087",51791
"Erbin",0.745821323937704,1.9229063261531e-05,0.0104054741013959,"ENSMUSG00000021709",59079
"Lhx9",-1.32548027416253,2.05149892846826e-05,0.0104054741013959,"ENSMUSG00000019230",16876
"Mag",1.41058287401144,2.09457726981172e-05,0.0104054741013959,"ENSMUSG00000036634",17136
"Mbp",1.39846437736994,2.12440527623335e-05,0.0104054741013959,"ENSMUSG00000041607",17196
"Retreg1",0.827484709369437,2.21701694456385e-05,0.0105197454019555,"ENSMUSG00000022270",66270
"Sema6d",0.788228606001807,2.38195426804102e-05,0.0109598768502833,"ENSMUSG00000027200",214968
"Evi2a",1.39929362625435,2.68427742766026e-05,0.0112643111720223,"ENSMUSG00000078771",14017
"Cldn11",1.3909084277531,2.76639822530543e-05,0.0112643111720223,"ENSMUSG00000037625",18417
"Enpp2",1.00601311996233,2.81471996602241e-05,0.0112643111720223,"ENSMUSG00000022425",18606
