"symbol","reg"
"Mcrip1","Up"
"Cdh12","Up"
"Cbln2","Up"
"Golga7b","Up"
"Qrfpr","Up"
"Ypel3","Up"
"Egr1","Up"
"Synpr","Up"
"Zbtb34","Up"
"Yjefn3","Up"
"Ccdc149","Up"
"Hrh2","Up"
"Crtac1","Up"
"Pbx1","Up"
"Dach2","Up"
"Bcl2l1","Up"
"Ntng1","Up"
"Foxp4","Up"
"Coa3","Up"
"Map1lc3a","Up"
"Rph3a","Up"
"Acbd4","Up"
"Sostdc1","Up"
"Pcp4","Up"
"C1ql1","Up"
"Map2k2","Up"
"Flot2","Up"
"Pcdh10","Up"
"Tmem40","Up"
"Rpl21","Up"
"Mid1","Up"
"Kcnd2","Up"
"Gpr26","Up"
"Dkkl1","Up"
"Ifitm10","Up"
"Rgs13","Up"
"Panx1","Up"
"Bok","Up"
"Tmem65","Up"
"Snrpn","Up"
"Lrrk2","Up"
"Dohh","Up"
"Cycs","Up"
"Fis1","Up"
"Tceal6","Up"
"Mrpl28","Up"
"Wdr75","Up"
"Gm19410","Up"
"Brinp1","Up"
"Runx1t1","Up"
"Rab3a","Up"
"Adap1","Up"
"Atp6v0b","Up"
"Neurod6","Up"
"Zfp771","Up"
"Zeb2","Up"
"Eif3k","Up"
"Atp6v1g2","Up"
"Kcna6","Up"
"Scand1","Up"
"Rasgrp1","Up"
"Cyth2","Up"
"Abcf2","Up"
"Pde4d","Up"
"Bloc1s6","Up"
"Babam1","Up"
"Selenow","Up"
"Ptov1","Up"
"Prickle1","Up"
"Avpi1","Up"
"Hs3st2","Up"
"Tmem50a","Up"
"Atp6v1e1","Up"
"Plpp4","Up"
"Rasl10a","Up"
"Stoml2","Up"
"Klhdc8a","Up"
"Zfp850","Up"
"Yaf2","Up"
"Tuba1a","Up"
"Ctxn2","Up"
"Ier2","Up"
"Psmc3","Up"
"Klhl29","Up"
"Tmem121","Up"
"Scn1b","Up"
"Arhgef25","Up"
"Haghl","Up"
"Kcnip4","Up"
"Ccl19","Up"
"Cck","Up"
"Mark4","Up"
"Gng3","Up"
"Chrm3","Up"
"Cdk18","Up"
"Flrt2","Up"
"Cxxc5","Up"
"Tmem97","Up"
"Dcakd","Up"
"Stmn1","Up"
"Arl6ip4","Up"
"Mrps18a","Up"
"Phlda1","Up"
"Adss","Up"
"Gtf3a","Up"
