"symbol","reg"
"Tshz3","Up"
"Hrh1","Up"
"Atp2b4","Up"
"St8sia2","Up"
"Ubtfl1","Up"
"Grm1","Up"
"Egr3","Up"
"Cfap65","Up"
"Rimklb","Up"
"Kctd4","Up"
"Prag1","Up"
"Magi3","Up"
"Olfr1487","Up"
"Runx2","Up"
"Dtx4","Up"
"Raph1","Up"
"Vmn2r85","Up"
"Otof","Up"
"Rps6ka2","Up"
"Sertad1","Up"
"Rgs6","Up"
"Piga","Up"
"Cracr2a","Up"
"Fxyd6","Up"
"Gpc6","Up"
"Btaf1","Up"
"Tbc1d1","Up"
"Hcfc2","Up"
"Trib1","Up"
"Nr4a1","Up"
"Bdnf","Up"
"Olfr477","Up"
"Olfr403","Up"
"Cenpi","Up"
"Ryr1","Up"
"Ovgp1","Up"
"Phf21b","Up"
"Steap2","Up"
"Tstd2","Up"
"Six4","Up"
"Hrh2","Up"
"D430041D05Rik","Up"
"Iigp1","Up"
"Stk4","Up"
"Etnk2","Up"
"Gm14305","Up"
"Cd300lg","Up"
"Zfp280d","Up"
"Sgk3","Up"
"Slc17a8","Up"
"D630045J12Rik","Up"
"Rcor1","Up"
"5730507C01Rik","Up"
"Vmn2r116","Up"
"Btbd9","Up"
"Dync2h1","Up"
"Atg16l2","Up"
"Phlpp2","Up"
"Kmt2a","Up"
"Hivep1","Up"
"Fam13b","Up"
"Lzts3","Up"
"Zcchc2","Up"
"Akap7","Up"
"Il18rap","Up"
"Lrrfip1","Up"
"Flnb","Up"
"Xcr1","Up"
"Zfp780b","Up"
"Pik3r1","Up"
"Olfr1431","Up"
"Spag5","Up"
"Dpy19l3","Up"
"Pcgf5","Up"
"Olfr177","Up"
"Olfr177","Up"
"Alms1","Up"
"Ghdc","Up"
"Ift122","Up"
"Spata1","Up"
"Vmn2r90","Up"
"Mgat5b","Up"
"Dnajc21","Up"
"Kcnip2","Up"
"Phf13","Up"
"Shf","Up"
"Olfr901","Up"
"Epop","Up"
"Treml2","Up"
"Plekha2","Down"
"Wscd2","Down"
"Pbx3","Down"
"Vat1","Down"
"Npy","Down"
"Lmo3","Down"
"Cnih2","Down"
"Htr2c","Down"
"Brinp3","Down"
"Ap1s2","Down"
"Rpp21","Down"
"Ppp1r2","Down"
"Mad2l2","Down"
"Gata2","Down"
"Syndig1l","Down"
"Penk","Down"
"Itgb2","Down"
"Rhoq","Down"
"Tmem63a","Down"
"Zfp536","Down"
"Arhgap36","Down"
"Ppp1r1b","Down"
"Tuba8","Down"
"Maml2","Down"
"Tanc1","Down"
"Cap1","Down"
"A2ml1","Down"
"Akip1","Down"
"Parvg","Down"
"Nxn","Down"
"Slc16a11","Down"
"Tspan12","Down"
"Ugp2","Down"
"St6galnac5","Down"
"Slitrk2","Down"
"Myadml2","Down"
"Akt1","Down"
"Cdca7","Down"
"Magel2","Down"
"Trf","Down"
"Maob","Down"
"Itga9","Down"
"Tmem144","Down"
"Nnat","Down"
"Ccm2","Down"
"Cox6a1","Down"
"Nfia","Down"
"Gmpr","Down"
"Tgfb2","Down"
"Clstn2","Down"
"Zscan12","Down"
"Pts","Down"
"Slc25a39","Down"
"Sparc","Down"
"Rftn1","Down"
"Acot8","Down"
"Srl","Down"
"Wnt7b","Down"
"Sox11","Down"
"Rnd2","Down"
"Cdh9","Down"
"Ndst4","Down"
"Tlcd1","Down"
"Klhl13","Down"
"Dgkk","Down"
"Tmeff1","Down"
"Strada","Down"
"Chchd10","Down"
"Olig2","Down"
"Odc1","Down"
"S100a16","Down"
"Vmac","Down"
"Lpar4","Down"
"Tac1","Down"
"Cox5b","Down"
"Dlk1","Down"
"Chid1","Down"
"Trnp1","Down"
"Grwd1","Down"
"Sumf1","Down"
"Tars","Down"
"Arl15","Down"
"Uqcrc1","Down"
"Gmppb","Down"
"Cnp","Down"
"Npc2","Down"
"Hsdl2","Down"
"Ppp2r2d","Down"
"Cntnap5c","Down"
"Slc7a4","Down"
"Grem2","Down"
"Dnajc4","Down"
"Mobp","Down"
"Dbi","Down"
"Slc12a4","Down"
"Mycl","Down"
"Lipt2","Down"
"Pex6","Down"
"Sulf1","Down"
"Prr5l","Down"
"Acyp2","Down"
"Qdpr","Down"
"Lor","Down"
