"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0022613","ribonucleoprotein complex biogenesis",0.0701219512195122,0.0140903727354758,3.64158145001816e-10,1.06516257413031e-06,9.99326614757615e-07,"Rpl3/Rps6/Tfb1m/Rps2/Rpl11/C1d/Celf3/Utp23/Znhit6/Rpl7/Snrpd3/Malsu1/Eif2s3x/Wdr3/Efl1/Lsm6/Rps27l/Lsm2/Snrpd1/Ddx56/Rpl13a/Nudt21/Ddx39b",23,"Up","CDOM-DOM"
"GO:0034470","ncRNA processing",0.0518292682926829,0.0136392031651281,3.19005457098309e-06,0.00155515160335425,0.00145903022220226,"Rps6/Aars2/Tfb1m/2210016F16Rik/Rpl11/C1d/Utp23/Trmt10a/Znhit6/Rpl7/Wdr3/Mettl1/Rpp25l/Lsm6/Dus2/Ints2/Ddx56",17,"Up","CDOM-DOM"
"GO:0072521","purine-containing compound metabolic process",0.0487804878048781,0.0136044978135629,1.27964500832627e-05,0.00467870206169294,0.00438951912724552,"Nudt7/Acpp/Oard1/Dpyd/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Enpp4/Efl1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",16,"Up","CDOM-DOM"
"GO:0008380","RNA splicing",0.0487804878048781,0.0140209620323454,1.85145135593609e-05,0.00541549521611308,0.00508077229992147,"Lsm5/Dbr1/Prmt1/Rps26/Celf3/Snrpd3/Lsm6/Dcps/Rps13/Lsm2/Srek1ip1/Rbm15b/Lsm7/Snrpd1/Thoc3/Ddx39b",16,"Up","CDOM-DOM"
"GO:0042254","ribosome biogenesis",0.0457317073170732,0.0103769001179982,2.02849913207349e-06,0.00118667199226299,0.0011133257341717,"Rpl3/Rps6/Tfb1m/Rps2/Rpl11/C1d/Utp23/Znhit6/Rpl7/Malsu1/Wdr3/Efl1/Lsm6/Rps27l/Ddx56",15,"Up","CDOM-DOM"
"GO:0019693","ribose phosphate metabolic process",0.0457317073170732,0.0130492121885195,3.10101773322812e-05,0.00824588806335659,0.00773622318710594,"Nudt7/Dpyd/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Tkt/Efl1/Uck1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",15,"Up","CDOM-DOM"
"GO:0009117","nucleotide metabolic process",0.0457317073170732,0.0155132921496495,0.000211209005249275,0.0363403729620077,0.0340942338504558,"Nudt7/Acpp/Dpyd/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Efl1/Uck1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",15,"Up","CDOM-DOM"
"GO:0006753","nucleoside phosphate metabolic process",0.0457317073170732,0.0157909349621712,0.000255182320177314,0.0414671270288136,0.0389041116200151,"Nudt7/Acpp/Dpyd/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Efl1/Uck1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",15,"Up","CDOM-DOM"
"GO:0006397","mRNA processing",0.0457317073170732,0.0163809259387798,0.00037550920619963,0.0468375930117093,0.0439426378700949,"Lsm5/Dbr1/Celf3/Snrpd3/Lsm6/Dcps/Lsm2/Srek1ip1/Rbm15b/Lsm7/Snrpd1/Cstf3/Thoc3/Nudt21/Ddx39b",15,"Up","CDOM-DOM"
"GO:0009259","ribonucleotide metabolic process",0.0426829268292683,0.0126327479697369,8.3775833165563e-05,0.0188495624622517,0.0176845017864472,"Nudt7/Dpyd/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Efl1/Uck1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",14,"Up","CDOM-DOM"
"GO:0022618","ribonucleoprotein complex assembly",0.0396341463414634,0.00562226695356424,4.82409128911492e-08,4.70348900688705e-05,4.41277403183249e-05,"Rpl3/Rps2/Rpl11/Celf3/Znhit6/Snrpd3/Eif2s3x/Rps27l/Lsm2/Snrpd1/Rpl13a/Nudt21/Ddx39b",13,"Up","CDOM-DOM"
"GO:0071826","ribonucleoprotein complex subunit organization",0.0396341463414634,0.00589990976608593,8.5230729076304e-08,6.23249706370473e-05,5.84727659741907e-05,"Rpl3/Rps2/Rpl11/Celf3/Znhit6/Snrpd3/Eif2s3x/Rps27l/Lsm2/Snrpd1/Rpl13a/Nudt21/Ddx39b",13,"Up","CDOM-DOM"
"GO:0140694","non-membrane-bounded organelle assembly",0.0396341463414634,0.0132227389463455,0.00047162699547133,0.0506366664430795,0.0475068967762873,"Rps23/Dlgap5/Csrp1/Rpl3/Haus7/Alms1/Rps2/Rpl11/Kif23/Cep63/Efl1/Rps27l/Dbnl",13,"Up","CDOM-DOM"
"GO:0044782","cilium organization",0.0396341463414634,0.013465676407302,0.000559002296798985,0.0563821282116218,0.0528972409348441,"Pifo/Ubxn10/Dnaaf5/Disc1/Rsph1/Spag16/Dcdc2a/Syne2/Alms1/Cfap65/Zfp423/Cep164/Rpgr",13,"Up","CDOM-DOM"
"GO:2000112","regulation of cellular macromolecule biosynthetic process",0.0396341463414634,0.0166932741028667,0.00373461165349002,0.170683423225911,0.16013375955014,"Prmt1/Mif4gd/Mex3d/Rps9/Malsu1/Eif2s3x/Dbi/Rps27l/Dcps/Eif4e3/Tsfm/Rpl13a/Ddx39b",13,"Up","CDOM-DOM"
"GO:0002181","cytoplasmic translation",0.0365853658536585,0.00350524050808635,1.86725140290176e-09,2.73085517674382e-06,2.56206547756047e-06,"Rps23/Rpl36al/Rps2/Rpl11/Rpl36a/Rps26/Mif4gd/Eif3m/Eif2s3x/Rpl18/Rpl22l1/Rpl13a",12,"Up","CDOM-DOM"
"GO:0009150","purine ribonucleotide metabolic process",0.0365853658536585,0.0119733462899979,0.00065297269346586,0.0596857852621138,0.0559967043376808,"Nudt7/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Efl1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",12,"Up","CDOM-DOM"
"GO:0060271","cilium assembly",0.0365853658536585,0.01232039980565,0.000836921375994943,0.0679998617995891,0.0637969013806672,"Ubxn10/Dnaaf5/Disc1/Rsph1/Spag16/Dcdc2a/Syne2/Alms1/Cfap65/Zfp423/Cep164/Rpgr",12,"Up","CDOM-DOM"
"GO:0006163","purine nucleotide metabolic process",0.0365853658536585,0.012806274727563,0.00116552525683397,0.0841510649576169,0.0789498250452567,"Nudt7/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Efl1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",12,"Up","CDOM-DOM"
"GO:0000375","RNA splicing, via transesterification reactions",0.0335365853658537,0.00975220378982439,0.000410898511300418,0.0468375930117093,0.0439426378700949,"Lsm5/Dbr1/Celf3/Snrpd3/Lsm6/Dcps/Lsm2/Rbm15b/Lsm7/Snrpd1/Ddx39b",11,"Up","CDOM-DOM"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.0335365853658537,0.00975220378982439,0.000410898511300418,0.0468375930117093,0.0439426378700949,"Lsm5/Dbr1/Celf3/Snrpd3/Lsm6/Dcps/Lsm2/Rbm15b/Lsm7/Snrpd1/Ddx39b",11,"Up","CDOM-DOM"
"GO:0000398","mRNA splicing, via spliceosome",0.0335365853658537,0.00975220378982439,0.000410898511300418,0.0468375930117093,0.0439426378700949,"Lsm5/Dbr1/Celf3/Snrpd3/Lsm6/Dcps/Lsm2/Rbm15b/Lsm7/Snrpd1/Ddx39b",11,"Up","CDOM-DOM"
"GO:0006364","rRNA processing",0.0304878048780488,0.00742694523495523,0.000184879225938363,0.0340776375460852,0.0319713544157064,"Rps6/Tfb1m/Rpl11/C1d/Utp23/Znhit6/Rpl7/Wdr3/Lsm6/Ddx56",10,"Up","CDOM-DOM"
"GO:0016072","rRNA metabolic process",0.0304878048780488,0.00860692718817242,0.000593584548580673,0.0578744934866156,0.0542973655491163,"Rps6/Tfb1m/Rpl11/C1d/Utp23/Znhit6/Rpl7/Wdr3/Lsm6/Ddx56",10,"Up","CDOM-DOM"
"GO:0046390","ribose phosphate biosynthetic process",0.024390243902439,0.00596932046921635,0.000830857002320228,0.0679998617995891,0.0637969013806672,"Nme2/Nme6/Tkt/Uck1/Guk1/Atp5c1/Adcy5/Atp5o",8,"Up","CDOM-DOM"
"GO:0009141","nucleoside triphosphate metabolic process",0.0213414634146341,0.00399111542999931,0.00035614381452943,0.0468375930117093,0.0439426378700949,"Nme2/Nme6/Entpd4b/Efl1/Guk1/Atp5c1/Atp5o",7,"Up","CDOM-DOM"
"GO:0008033","tRNA processing",0.0213414634146341,0.00409523148469494,0.000416334160104083,0.0468375930117093,0.0439426378700949,"Aars2/2210016F16Rik/Trmt10a/Mettl1/Rpp25l/Lsm6/Dus2",7,"Up","CDOM-DOM"
"GO:0009451","RNA modification",0.0213414634146341,0.00499757062539044,0.00135080819064704,0.0878025323920575,0.0823756012401598,"Aars2/Tfb1m/2210016F16Rik/Trmt10a/Mettl1/Dus2/Rbm15b",7,"Up","CDOM-DOM"
"GO:0048593","camera-type eye morphogenesis",0.0213414634146341,0.00537932949260776,0.00205677190191625,0.11796191790402,0.110670884381747,"Aqp1/Tspan12/Sox2/Alms1/Fat1/Sox9/Rpgr",7,"Up","CDOM-DOM"
"GO:0009260","ribonucleotide biosynthetic process",0.0213414634146341,0.00565697230512945,0.00272821263843787,0.14250039227555,0.133692675721946,"Nme2/Nme6/Uck1/Guk1/Atp5c1/Adcy5/Atp5o",7,"Up","CDOM-DOM"
