"symbol","reg"
"Lrba","Up"
"Tspan15","Up"
"Dennd1a","Up"
"Cndp1","Up"
"Thumpd2","Up"
"Naa40","Up"
"Zfp780b","Up"
"Fam187b","Up"
"Pop1","Up"
"Milr1","Up"
"Slc35d1","Up"
"Man1c1","Up"
"Bop1","Up"
"Clic1","Up"
"Gm20826","Up"
"Tnfrsf25","Up"
"Myo9b","Up"
"Dhcr7","Up"
"Mdm2","Up"
"Tyk2","Up"
"Sfxn2","Up"
"Smpd3","Up"
"Mzf1","Up"
"Dgkb","Up"
"Uck1","Up"
"Atp2c1","Up"
"Olfr646","Up"
"Unc13a","Up"
"Sox2","Up"
"Olfr147","Up"
"Hinfp","Up"
"Olfr73","Up"
"Fam107b","Up"
"Rsph3b","Up"
"Zfp516","Up"
"Alkbh1","Up"
"Alkbh1","Up"
"Irf5","Up"
"Cad","Up"
"Ankrd28","Up"
"Efnb3","Up"
"Dapk1","Up"
"Slc7a8","Up"
"Pced1b","Up"
"Adtrp","Up"
"Vegfd","Up"
"Lrp5","Up"
"Kcnn2","Up"
"Cemip","Up"
"Gm5316","Up"
"Gm5934","Up"
"Actn1","Up"
"Dock8","Up"
"Btnl10","Up"
"Zfp512b","Up"
"Dnase2a","Up"
"Car12","Up"
"Ctdsp2","Up"
"Ikzf1","Up"
"Lpcat4","Up"
"Rnf150","Up"
"Rhobtb2","Up"
"Tesc","Up"
"Stn1","Up"
"Ano2","Up"
"Lpl","Up"
"Ocln","Up"
"Cnot9","Up"
"Chst11","Up"
"Fhod1","Up"
"Vipr1","Up"
"Cdh9","Up"
"Olfr1094","Up"
"Slc26a10","Up"
"Tie1","Up"
"Ivns1abp","Up"
"Lrrc7","Up"
"Ptpn5","Up"
"Dclk3","Up"
"Sec13","Up"
"Acvr1c","Up"
"Oasl2","Up"
"Slc37a1","Up"
"Pitpnm2","Up"
"Ripk2","Up"
"Trpc1","Up"
"Arhgap17","Up"
"Kat6b","Up"
"Rad21","Down"
"Cab39l","Down"
"Omg","Down"
"Morn4","Down"
"Ptpn21","Down"
"Efcab2","Down"
"Pafah1b3","Down"
"Gas2","Down"
"Col8a1","Down"
"Mrpl50","Down"
"Cib2","Down"
"Slc24a3","Down"
"Taf3","Down"
"Prkra","Down"
"Socs5","Down"
"Snta1","Down"
"Icam2","Down"
"Tmx4","Down"
"Tmem17","Down"
"Ddx24","Down"
"Nqo2","Down"
"Iqcd","Down"
"Lsr","Down"
"Plch1","Down"
"Ggt1","Down"
"Bud31","Down"
"Hipk2","Down"
"Eif1a","Down"
"Zscan29","Down"
"Cdo1","Down"
"Ret","Down"
"Ctps2","Down"
"Sp8","Down"
"Oat","Down"
"Pink1","Down"
"Ngf","Down"
"Igsf21","Down"
"Rai2","Down"
"Fhod3","Down"
"Zfp748","Down"
"Ttc12","Down"
"Kif21a","Down"
"Hecw1","Down"
"Cct8","Down"
"Iftap","Down"
"Mgat1","Down"
"Mc4r","Down"
"Zwint","Down"
"Nsmce4a","Down"
"Rev3l","Down"
"Gap43","Down"
"Mea1","Down"
"Psmg1","Down"
"Wasf3","Down"
"Scx","Down"
"Surf2","Down"
"Klhl4","Down"
"Psmb10","Down"
"Dscam","Down"
"Tmf1","Down"
"Cacybp","Down"
"Pcbd1","Down"
"Rpl7l1","Down"
"Kcnip4","Down"
"Nap1l5","Down"
"Btbd3","Down"
"Tspyl4","Down"
