"symbol","reg"
"Cstf2t","Up"
"Jag2","Up"
"Exoc6","Up"
"Smim8","Up"
"6430548M08Rik","Up"
"Ube2q1","Up"
"Galk2","Up"
"Syp","Up"
"Srsf2","Up"
"Cfap100","Up"
"Gtpbp10","Up"
"Pgam5","Up"
"Triqk","Up"
"Slc39a11","Up"
"1110051M20Rik","Up"
"Tubb3","Up"
"Eme2","Up"
"Acat2","Up"
"Eno1","Up"
"Tm9sf1","Up"
"Fdxr","Up"
"Nfs1","Up"
"Pld3","Up"
"Tbc1d19","Up"
"Ube2m","Up"
"Ttr","Up"
"Rheb","Up"
"Rap2b","Up"
"Gipc1","Up"
"Hsp90aa1","Up"
"Tsen34","Up"
"Bex4","Up"
"Ccnq","Up"
"Spryd3","Up"
"Ddx21","Up"
"Slc25a34","Up"
"Med30","Up"
"Dpy30","Up"
"Ttc30b","Up"
"Slc25a22","Up"
"Myef2","Up"
"Rtl8b","Up"
"Thg1l","Up"
"Tceal1","Up"
"Kctd5","Up"
"Egfl6","Up"
"Nup107","Up"
"Kbtbd8","Up"
"Ssbp1","Up"
"Alyref","Up"
"Pet100","Up"
"2610001J05Rik","Up"
"Syt5","Up"
"Ap2a1","Up"
"Bex3","Up"
"Afap1l1","Up"
"Rasgrp2","Down"
"Pip5k1b","Down"
"Gulp1","Down"
"Sh3bp1","Down"
"Zkscan3","Down"
"Lrrc25","Down"
"5430437J10Rik","Down"
"Phykpl","Down"
"Sinhcaf","Down"
"Tspan15","Down"
"Olfr127","Down"
"Ddx39a","Down"
"Dhx16","Down"
"Sell","Down"
"Lrrc2","Down"
"Anxa4","Down"
"Rhno1","Down"
"Ifi44","Down"
"H1f3","Down"
"Ddt","Down"
"Sntb2","Down"
"5430403G16Rik","Down"
"0610030E20Rik","Down"
"Sfta2","Down"
"Rhag","Down"
"Gm11127","Down"
"Teddm2","Down"
"Zfp41","Down"
"Ap4e1","Down"
"Sipa1l2","Down"
"Inpp5d","Down"
"Olfr380","Down"
"Phkg1","Down"
"Zfp426","Down"
"Cdc23","Down"
"Tbp","Down"
"Rps23rg1","Down"
"Ccdc171","Down"
"Carf","Down"
"Kif18a","Down"
"Pomt1","Down"
"Vmn2r124","Down"
"Six6","Down"
"Pigs","Down"
"Prc1","Down"
"Tmod1","Down"
"Tmtc2","Down"
"Ube2c","Down"
"Olfr128","Down"
"Crybg2","Down"
"Kyat3","Down"
"Haus2","Down"
"Sult1a1","Down"
"Galc","Down"
"Tulp3","Down"
"Ap1g2","Down"
"Olfr961","Down"
"Olfr410","Down"
"Acrv1","Down"
"Dhtkd1","Down"
"Dll1","Down"
"Olfr916","Down"
"Tnfrsf10b","Down"
"Cmtm7","Down"
