"symbol","reg"
"Fscn1","Up"
"Dnajb5","Up"
"Tmem42","Up"
"Nr4a2","Up"
"Kcnmb4","Up"
"Egr4","Up"
"Rtn4rl1","Up"
"Junb","Up"
"Coro1a","Up"
"Pdzrn3","Up"
"Fos","Up"
"Mpp3","Up"
"H2-DMa","Up"
"Spn","Up"
"Fosl2","Up"
"Zfp189","Up"
"Zfta","Up"
"Cst6","Up"
"Slc7a4","Up"
"Tesc","Up"
"Dtl","Up"
"Egr2","Up"
"Tal1","Up"
"Sertad1","Up"
"Josd1","Up"
"Cox6a2","Up"
"Vmn2r70","Up"
"Socs2","Up"
"Rilpl1","Up"
"Rgs14","Up"
"Tex15","Up"
"Gadd45b","Up"
"Gadd45g","Up"
"Cep20","Up"
"Pfkl","Up"
"Syt16","Up"
"Mybpc1","Up"
"Itpka","Up"
"Spata2l","Up"
"Mtmr12","Up"
"Eya1","Up"
"Slc44a5","Up"
"Msc","Up"
"R3hdm4","Up"
"Mchr1","Up"
"Crym","Up"
"Fkbp1a","Up"
"Slc2a3","Up"
"Nanog","Up"
"Peli1","Up"
"Rtn4r","Up"
"Ddn","Up"
"Lhx2","Up"
"Fosb","Up"
"Nip7","Up"
"Ptgs2","Up"
"Cdc42se2","Up"
"Nfil3","Up"
"Dlgap3","Up"
"Palmd","Up"
"Ppp1r9b","Up"
"Sowaha","Up"
"C1qtnf1","Up"
"Rapgefl1","Up"
"Nsmf","Up"
"Arf5","Up"
"St3gal5","Up"
"Tamalin","Up"
"Trabd2b","Up"
"Gmeb2","Up"
"Pgbd5","Up"
"Erc2","Up"
"Mas1","Up"
"Synb","Up"
"Synb","Up"
"Ctxn1","Up"
"Ces5a","Up"
"Aatf","Up"
"Pkig","Up"
"Rasd1","Up"
"Smad3","Up"
"Tspan13","Up"
"Nr4a3","Up"
"Nphp4","Up"
"Tsnax","Up"
"Hgf","Up"
"Unc13a","Up"
"Cnih2","Up"
"Zfpm2","Up"
"Plxnd1","Up"
"Jdp2","Up"
"Cldn3","Up"
"H1f10","Up"
"Slc16a7","Up"
"Rasal2","Up"
"Olfr1316","Up"
"Pik3r2","Up"
"Dgkg","Up"
"Fam131a","Up"
"Unc5a","Up"
"Slc16a2","Up"
"Zic5","Up"
"Slc25a22","Up"
"Ptpn3","Up"
"Agbl3","Up"
"Cnih3","Up"
"Gabra4","Up"
"Ccnjl","Up"
"Olfr806","Up"
"Eepd1","Up"
"Hook2","Up"
"Bbs5","Up"
"Rad51ap2","Up"
"Mink1","Up"
"Mrtfa","Up"
"Unc5c","Up"
"Lrrc73","Up"
"Ceacam1","Up"
"Icam5","Up"
"Sprn","Up"
"Tspan33","Up"
"Brinp2","Up"
"Gm42517","Up"
"Kcnv1","Up"
"Gfod1","Up"
"Qtrt1","Up"
"Numb","Up"
"Grap","Up"
"Pin1","Up"
"Gabrd","Up"
"Zic2","Up"
"Frmd6","Up"
"Rilpl2","Up"
"Cckbr","Up"
"Actr3b","Up"
"Olfr801","Up"
"Otud1","Up"
"Elmo2","Up"
"Nfix","Up"
"Egr3","Up"
"Tmem121b","Up"
"Ski","Up"
"Cplx3","Up"
"Kcnk12","Up"
"Adgrb1","Up"
"Rin1","Up"
"Extl1","Up"
"Rmi2","Up"
"Plcd1","Up"
"Arpc3","Up"
"Amph","Up"
"Slco3a1","Up"
"Gdpgp1","Up"
"Htr3a","Up"
"Nudt17","Up"
"P4htm","Up"
"Tsc22d1","Up"
"Mycn","Up"
"Lpl","Up"
"Car12","Up"
"Zfp174","Up"
"Usp37","Up"
"Hcrt","Up"
"C1qtnf4","Up"
"Znrf3","Up"
"Lhx9","Up"
