"symbol","reg"
"Pex10","Up"
"Ctsl","Up"
"Il1r1","Up"
"Ezr","Up"
"Mrpl39","Up"
"Tpx2","Up"
"Fndc3b","Up"
"Atrnl1","Up"
"Eef1akmt4","Up"
"Atg10","Up"
"Gstz1","Up"
"Ctla2a","Up"
"Card19","Up"
"Cpped1","Up"
"Dnajc10","Up"
"C5ar1","Up"
"Sdc4","Up"
"Mettl7a3","Up"
"Matn2","Up"
"Phyhipl","Up"
"Phyhipl","Up"
"Fstl1","Up"
"Cpne3","Up"
"Wfdc18","Up"
"Cd320","Up"
"Mtmr2","Up"
"Olfml2b","Up"
"Tbrg1","Up"
"1110059E24Rik","Up"
"Pdcd6","Up"
"Nos3","Up"
"Tmem126a","Up"
"Crot","Up"
"Gab2","Up"
"Slc37a3","Up"
"Acy3","Up"
"Mettl27","Up"
"Abhd1","Up"
"Slc15a2","Up"
"Suox","Up"
"Slc7a4","Up"
"Car12","Up"
"Ccdc80","Up"
"Slain1","Up"
"Ggta1","Up"
"Apip","Up"
"Alg9","Up"
"Ucp2","Up"
"Mtmr14","Up"
"Brinp3","Up"
"Avpi1","Up"
"Mrpl36","Up"
"Gcnt2","Up"
"Saa2","Up"
"Tgfbr3","Up"
"Morc1","Down"
"Wdsub1","Down"
"Epha8","Down"
"Acly","Down"
"Fbxl19","Down"
"Foxo4","Down"
"Elac1","Down"
"Pgap1","Down"
"Fbrsl1","Down"
"Ccser1","Down"
"Spats1","Down"
"Zbtb44","Down"
"Coa7","Down"
"Acaca","Down"
"Slc35d1","Down"
"Fam120c","Down"
"Tmem91","Down"
"Zfp202","Down"
"Npffr1","Down"
"Ssh1","Down"
"Rad54l2","Down"
"Samd12","Down"
"Dstyk","Down"
"Dhdds","Down"
"Tln2","Down"
"Slc20a1","Down"
"Thbs3","Down"
"Ntng1","Down"
"Ano8","Down"
"Nfrkb","Down"
"Casp2","Down"
"Dync2i1","Down"
"Ifnar2","Down"
"Cul9","Down"
"Vmn2r104","Down"
"Gtf2ird2","Down"
"Castor2","Down"
"Abtb1","Down"
"Vit","Down"
"Erbb3","Down"
"Uprt","Down"
"Snapc4","Down"
"Zfp658","Down"
"Stat5b","Down"
"Ephb2","Down"
"Cfap300","Down"
"Ephb1","Down"
"Uap1l1","Down"
"Col12a1","Down"
"Senp1","Down"
"Trim68","Down"
"Zfp704","Down"
"Mrm3","Down"
"Ctnna3","Down"
"Myo1g","Down"
"Mgme1","Down"
"Mak","Down"
"Ppargc1b","Down"
"Brca2","Down"
