"symbol","reg"
"Lrba","Up"
"Snupn","Up"
"Mon1a","Up"
"Mettl23","Up"
"Ccdc125","Up"
"Mad2l1","Up"
"Retn","Up"
"Foxo6","Up"
"Zfp341","Up"
"Zbtb45","Up"
"Mtpap","Up"
"Nt5dc3","Up"
"Ptpmt1","Up"
"Ceacam3","Up"
"Odad4","Up"
"Kctd16","Up"
"Zfp710","Up"
"Hmbs","Up"
"Lrtm1","Up"
"Zfp729b","Up"
"Zc3h3","Up"
"Actl6b","Up"
"Cacnb1","Up"
"Trpm4","Up"
"Zc3h14","Up"
"Tyr","Up"
"Eefsec","Up"
"Adam15","Up"
"Bbs12","Up"
"Olfr1431","Up"
"Ccdc63","Up"
"Thop1","Up"
"Pcyt1a","Up"
"Ndufaf8","Up"
"Ppp4c","Up"
"Neurl2","Up"
"Tepsin","Up"
"Mt3","Up"
"Dok5","Up"
"Cped1","Down"
"Specc1","Down"
"Zfp90","Down"
"Itih2","Down"
"Bin2","Down"
"Trim26","Down"
"Zfx","Down"
"Plxnb1","Down"
"Trim30a","Down"
"Stt3a","Down"
"Ogn","Down"
"P3h4","Down"
"Zfp317","Down"
"Fmod","Down"
"Grtp1","Down"
"Serpina1c","Down"
"Obp1a","Down"
"Ung","Down"
"Crygb","Down"
"Foxc2","Down"
"Prss30","Down"
"Mettl7a1","Down"
"Zfp174","Down"
"Golph3l","Down"
"Rft1","Down"
"Zfp112","Down"
"Fkbp14","Down"
"Slc6a13","Down"
"Ptgds","Down"
"Eva1a","Down"
"Ddo","Down"
