"symbol","reg"
"Fbxl5","Up"
"Gng2","Up"
"Egfem1","Up"
"Hmgcr","Up"
"Bag4","Up"
"Tmem159","Up"
"Septin9","Up"
"Igdcc3","Up"
"Zfp746","Up"
"Plxna3","Up"
"Zfp583","Up"
"Pter","Up"
"Zdhhc22","Up"
"Lnpk","Up"
"Dph7","Up"
"Kdm6a","Up"
"Marchf1","Up"
"Chl1","Up"
"Adcyap1","Up"
"Cckbr","Up"
"Cbln1","Up"
"C2cd4c","Up"
"Ak4","Up"
"Zfp58","Up"
"Tmem237","Up"
"Zfp275","Up"
"Gm14267","Up"
"Tmem232","Up"
"Ercc1","Up"
"Cep83","Up"
"Kif22","Up"
"Xpo1","Up"
"Eid1","Up"
"Shc2","Up"
"Pitpnm3","Up"
"Deaf1","Up"
"Taf1b","Up"
"Srf","Up"
"Stmn1","Up"
"Ebna1bp2","Up"
"Cntn5","Up"
"Rragb","Up"
"Tmeff2","Up"
"Atp8b2","Up"
"Trpv6","Up"
"Lmbrd1","Up"
"Atxn7l2","Up"
"Ephb6","Up"
"Tenm2","Up"
"Fam189a1","Up"
"Pcsk1","Up"
"Gpr180","Up"
"Fam149a","Up"
"Coq10b","Up"
"Lmo4","Up"
"Sytl2","Up"
"Siah1b","Up"
"Lrrc75b","Up"
"Slx4","Up"
"Olfr1199","Up"
"St6gal2","Up"
"Gpr22","Up"
"Lcorl","Up"
"Lcorl","Up"
"Hic2","Up"
"3110040N11Rik","Up"
"Cacul1","Up"
"Slit2","Up"
"Nr2f1","Up"
"Ppp1r26","Up"
"Satb2","Up"
"Smurf1","Up"
"Lrrc4c","Up"
"Zfp804b","Up"
"Mettl4","Up"
"Pcdha11","Up"
"Necab1","Up"
"Adcy8","Up"
"Ptgfrn","Up"
"Polrmt","Up"
"Zfp760","Up"
"1810055G02Rik","Up"
"Usp27x","Up"
"Map3k5","Up"
"Pak5","Up"
"Rpf1","Up"
"Klhl8","Up"
"Pcdh10","Up"
"Elapor2","Up"
"Ovol2","Up"
"Lrp1b","Up"
"Scn7a","Up"
"Sergef","Up"
"Exosc9","Up"
"Klf11","Up"
"Il1rapl2","Up"
"Caps2","Up"
"Nwd2","Up"
"Dhcr24","Up"
"Gab3","Up"
"Gab3","Up"
"Nfkbiz","Down"
"Msi2","Down"
"Tmem238","Down"
"Ginm1","Down"
"Pnoc","Down"
"Drc3","Down"
"Cnot11","Down"
"Htr1d","Down"
"Ccl12","Down"
"Galnt10","Down"
"4930523C07Rik","Down"
"Homer2","Down"
"Prdm16","Down"
"Csrp1","Down"
"Mtfr1l","Down"
"Zfp618","Down"
"Egln3","Down"
"Esyt1","Down"
"Adcy9","Down"
"Lilrb4a","Down"
"Fads6","Down"
"Map3k4","Down"
"Tgfbrap1","Down"
"Polr2h","Down"
"Ccdc18","Down"
"Cdh4","Down"
"Cdc14a","Down"
"Runx1","Down"
"Gpr146","Down"
"Sp8","Down"
"Vmo1","Down"
"Nutf2","Down"
"Wasf2","Down"
"Elp4","Down"
"Obp2b","Down"
"Kcnj8","Down"
"Zic4","Down"
"Entpd2","Down"
"Epha7","Down"
"Kctd12","Down"
"Hspg2","Down"
"Vstm4","Down"
"Kcnj6","Down"
"Nwd1","Down"
"Limd1","Down"
"Fez2","Down"
"Slc29a1","Down"
"Slc4a2","Down"
"P3h4","Down"
"Inpp5j","Down"
"Creb3l2","Down"
"Atp23","Down"
"Yjefn3","Down"
"Ly6a","Down"
"Prdm12","Down"
"Asb2","Down"
"Serpina3i","Down"
"Zic2","Down"
"Igf2bp1","Down"
"Itga11","Down"
"Cped1","Down"
"Hs3st3a1","Down"
"Gjc1","Down"
"Lcn3","Down"
"Prorsd1","Down"
"Fndc5","Down"
"Foxq1","Down"
"Aph1b","Down"
"Sh3bgrl","Down"
"Fkbp5","Down"
"Psph","Down"
"Ndrg1","Down"
"Fignl2","Down"
"Fam3c","Down"
"Pipox","Down"
"Pou3f4","Down"
"Plekhg1","Down"
"Gpx8","Down"
"Lgi3","Down"
"Tap1","Down"
"Pla2g3","Down"
"Cyp4v3","Down"
"Acaa2","Down"
"Wscd2","Down"
"Isl1","Down"
"Vps25","Down"
"Atpaf1","Down"
"Lrrtm4","Down"
"Scgb2b27","Down"
"Uhrf1","Down"
"Nkiras2","Down"
"Slc38a10","Down"
"Sox1","Down"
"Lrrc8a","Down"
"Sh3bgr","Down"
"Zfand3","Down"
"Zfp830","Down"
"Galnt16","Down"
"Nckap1l","Down"
"Epor","Down"
"Itm2a","Down"
"Bmx","Down"
"Rwdd3","Down"
"Luzp1","Down"
"Tagln2","Down"
"Ostf1","Down"
"Fbxo4","Down"
"Hepacam","Down"
"Tbxa2r","Down"
"Zcchc24","Down"
