"symbol","reg"
"Galnt9","Up"
"Ppp1r14b","Up"
"Tmem42","Up"
"Vmn1r15","Up"
"Cebpd","Up"
"Bbln","Up"
"Tekt4","Up"
"Cbr3","Up"
"Acp6","Up"
"Cenpf","Up"
"Dio2","Up"
"Sdhaf1","Up"
"Igf1","Up"
"Pex16","Up"
"2310011J03Rik","Up"
"Arl4d","Up"
"Ctla2a","Up"
"Ptrh1","Up"
"Akt2","Up"
"Nfkbia","Up"
"Prelid3b","Up"
"Crcp","Up"
"Apold1","Up"
"Htra1","Up"
"Smim3","Up"
"Tbata","Up"
"Gtf2h2","Up"
"Mt1","Up"
"Olfr1198","Up"
"Cbln1","Up"
"Pygm","Up"
"Fbxw19","Up"
"Mt3","Up"
"H3c15","Up"
"Ascc1","Up"
"Ndufaf1","Up"
"Pacrg","Up"
"Gpr3","Up"
"Trib1","Up"
"Creb3","Up"
"Atat1","Up"
"C1ql2","Up"
"Tspan5","Up"
"Gmppb","Up"
"Dhrs1","Up"
"Pop5","Up"
"Ppp1r3g","Up"
"Txn2","Up"
"Tm2d2","Up"
"Ddx10","Up"
"Fam107a","Up"
"Chrna4","Up"
"Nadk","Up"
"Lamtor5","Up"
"Nt5c3","Up"
"Tnfaip8l1","Up"
"Mfsd2a","Up"
"Cdc34","Up"
"Btbd2","Up"
"Ifrd1","Up"
"Smim7","Up"
"Atf4","Up"
"Panx2","Up"
"Drg1","Up"
"Tuba4a","Up"
"Il18","Up"
"Rnaseh2c","Up"
"Ndfip2","Up"
"Commd3","Up"
"Trmt12","Up"
"2310009B15Rik","Up"
"Mark4","Up"
"Tmem35b","Up"
"Pno1","Up"
"Ciart","Up"
"Usp39","Up"
"Bola1","Up"
"Cep83","Up"
"Rnf144b","Up"
"Trir","Up"
"Fbxo36","Up"
"Adat2","Up"
"Aurkaip1","Up"
"Fastk","Up"
"Cdkn1a","Up"
"Med27","Up"
"Uqcr11","Up"
"Rasl10b","Up"
"Ubiad1","Up"
"Cdk5","Up"
"Cyp4f17","Up"
"Ppp1r1b","Up"
"Cndp2","Up"
"Dnmt1","Down"
"Fam120c","Down"
"Kif26b","Down"
"Plek","Down"
"Gar1","Down"
"Eomes","Down"
"Gli1","Down"
"Dzip3","Down"
"Ino80c","Down"
"Pde8b","Down"
"Arhgap1","Down"
"Kmt2e","Down"
"Rspo1","Down"
"Nalcn","Down"
"Mbip","Down"
"Brca2","Down"
"Vps4b","Down"
"Fgfr1","Down"
"Rif1","Down"
"Plag1","Down"
"Cers4","Down"
"Sypl","Down"
"Fzd8","Down"
"Myo15","Down"
"Akap17b","Down"
"Pcdh7","Down"
"Timp3","Down"
"Sema5a","Down"
"Plod3","Down"
"C2","Down"
"Cep70","Down"
"Zfp941","Down"
"Exoc1","Down"
"Akap11","Down"
"Ctc1","Down"
"Slc7a11","Down"
"Epc2","Down"
"Usp29","Down"
"N4bp2l1","Down"
"Ogfod1","Down"
"Slc17a5","Down"
"Ulk1","Down"
"Tspyl5","Down"
"Gm11100","Down"
"Zfp383","Down"
"Brd4","Down"
"Mta3","Down"
"Nexmif","Down"
"Ldlrad3","Down"
"Coro2a","Down"
"Amotl1","Down"
"Sorcs3","Down"
"Mfsd4b4","Down"
"Exoc3l","Down"
"Rcc1l","Down"
"Zfp60","Down"
"Scn5a","Down"
"Crtc3","Down"
"Cacng4","Down"
"Zfp300","Down"
"Pgr15l","Down"
"Gnb4","Down"
"Htr2c","Down"
"Cntn5","Down"
"Alcam","Down"
"Plekha7","Down"
"Ankrd35","Down"
"Stat2","Down"
"Rictor","Down"
"H2-Q6","Down"
"Dync2h1","Down"
"Wrnip1","Down"
"Slc2a10","Down"
"Camk2g","Down"
"Svep1","Down"
"Ppm1m","Down"
"Tekt2","Down"
"Naga","Down"
"Hes5","Down"
"Dnajc6","Down"
"Camk1d","Down"
"Polr1a","Down"
"Abca8b","Down"
"Neil1","Down"
"Ppil6","Down"
"Zfp334","Down"
"Glra3","Down"
"Apba1","Down"
"Timeless","Down"
"Ppp1r13b","Down"
"Zc3h14","Down"
"Cdh2","Down"
"Ccdc85a","Down"
"Slit2","Down"
"Selenoi","Down"
"Mdm1","Down"
"Lrrc23","Down"
"Sh2b2","Down"
"Per3","Down"
"Adgrl3","Down"
"Zfp704","Down"
"Alg10b","Down"
"Lrfn5","Down"
