"symbol","reg"
"Arl4d","Up"
"Gadd45b","Up"
"Cebpb","Up"
"Ifrd1","Up"
"Clu","Up"
"Scara3","Up"
"Sgk1","Up"
"Lrrc4","Up"
"Wdr24","Up"
"Ptges2","Up"
"Wasl","Up"
"Fam107a","Up"
"Pdk3","Up"
"Dtx2","Up"
"Egr4","Up"
"Cd14","Up"
"Klf2","Up"
"Napa","Up"
"Bop1","Up"
"Skil","Up"
"Elk4","Up"
"Letmd1","Up"
"Sema7a","Up"
"Apold1","Up"
"Dclk1","Up"
"Rmnd5b","Up"
"Fos","Up"
"Lurap1","Up"
"Zfp189","Up"
"Chrm1","Up"
"Hmgn3","Up"
"Dnajb5","Up"
"Atp2b2","Up"
"Dnajb12","Up"
"Bcor","Up"
"Ubl7","Up"
"Smtn","Up"
"1810055G02Rik","Up"
"Tmem135","Up"
"Nrg3","Up"
"Spire1","Up"
"Mrtfb","Up"
"Tnks1bp1","Up"
"Mtx1","Up"
"Zfp365","Up"
"Mars1","Up"
"Fam135b","Up"
"Sirt7","Up"
"Acss2","Up"
"Csrnp1","Up"
"Atl2","Up"
"Mxd1","Up"
"Stt3b","Up"
"Papss2","Up"
"Calhm2","Up"
"Fmnl1","Up"
"Mink1","Up"
"Junb","Up"
"Plekhm1","Up"
"Dio2","Up"
"Ndst3","Up"
"Prkab2","Up"
"Unc5a","Up"
"Ccn1","Up"
"Mfap1b","Up"
"Ufm1","Up"
"Spaar","Up"
"Gabra1","Up"
"Nudt13","Up"
"Slc25a19","Up"
"Rad52","Up"
"Lrrc59","Up"
"Rnf144b","Up"
"Zfp651","Up"
"Tmem38a","Up"
"Dagla","Up"
"Rasgef1c","Up"
"Tbccd1","Up"
"Dapk3","Up"
"Pfkl","Up"
"Twf2","Up"
"Gemin5","Up"
"Wdr46","Up"
"Gadd45g","Up"
"Trmo","Up"
"Prr16","Up"
"Acap3","Up"
"Klf13","Up"
"Nol4l","Up"
"Septin5","Up"
"Fam189b","Up"
"Cpxm2","Up"
"Rtn4r","Up"
"Necab3","Up"
"Adcy1","Up"
"Ubqln4","Up"
"Zfp395","Down"
"Mrgprb1","Down"
"Olfr1310","Down"
"6820408C15Rik","Down"
"Zim1","Down"
"Vmn2r26","Down"
"Ddx39b","Down"
"Creb5","Down"
"Rpl18","Down"
"Chchd7","Down"
"Eif4e3","Down"
"Gpr139","Down"
"Olfr1094","Down"
"Zfp711","Down"
"Dmkn","Down"
"Haus7","Down"
"Maoa","Down"
"Slc28a3","Down"
"Sox13","Down"
"Uvssa","Down"
"Zmym5","Down"
"Gm867","Down"
"Zfp13","Down"
"Nhs","Down"
"Ankrd66","Down"
"Rpl21","Down"
"Chic2","Down"
"Utp23","Down"
"Tprn","Down"
"Pals1","Down"
"Card6","Down"
"Olfr678","Down"
"Olfr143","Down"
"Angptl1","Down"
"Mybl1","Down"
"Suco","Down"
"Myzap","Down"
"Lsm6","Down"
"Ino80c","Down"
"Dbt","Down"
"Adamts20","Down"
"Trmt10a","Down"
"Mettl1","Down"
"Ankrd35","Down"
"Efl1","Down"
"Zfp182","Down"
"Qpct","Down"
"Tmtc4","Down"
"Eomes","Down"
"Sp110","Down"
"Macroh2a2","Down"
"Fat1","Down"
"Cep164","Down"
"Trpm2","Down"
"Cldn5","Down"
"Olfr259","Down"
"Olfr905","Down"
"Tmem192","Down"
"Mtf1","Down"
"Egfl6","Down"
"Aqp1","Down"
"Rbm34","Down"
"Oprk1","Down"
"Snrpd3","Down"
"Trim5","Down"
"Oard1","Down"
"Cd274","Down"
"Olfr323","Down"
"Krt80","Down"
"Tssc4","Down"
"Dpep2","Down"
"Dpep2","Down"
"Tmem164","Down"
"Oxt","Down"
"Sox2","Down"
"Clcn7","Down"
"Zfp385c","Down"
"Rpl13a","Down"
"Nmb","Down"
"Gbx2","Down"
"Agap1","Down"
"Ccdc34","Down"
"Ddah2","Down"
"Gm14391","Down"
"Poll","Down"
"Rpgr","Down"
"Mylk4","Down"
"Nkd2","Down"
"Nap1l4","Down"
"Apof","Down"
"Rps9","Down"
"Adgrg2","Down"
"Tmprss11b","Down"
"Mad2l1","Down"
