"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0070997","neuron death",0.0930232558139535,0.0152009439855626,5.03876415802787e-05,0.0134515383081449,0.0104783458574773,"Igf1/Akt2/Mt1/Mt3/Cdc34/Atf4/Il18/Cdk5",8,"Up","DOM DIS - MEA"
"GO:0001558","regulation of cell growth",0.0930232558139535,0.0159991670715624,7.20268982043774e-05,0.0134515383081449,0.0104783458574773,"Igf1/Mt3/Creb3/Fam107a/Mfsd2a/Ifrd1/Cdkn1a/Cdk5",8,"Up","DOM DIS - MEA"
"GO:0051402","neuron apoptotic process",0.0813953488372093,0.0110363017977372,4.75800503462301e-05,0.0134515383081449,0.0104783458574773,"Akt2/Mt1/Mt3/Cdc34/Atf4/Il18/Cdk5",7,"Up","DOM DIS - MEA"
"GO:0050890","cognition",0.0813953488372093,0.0124592212119109,0.000101575801679627,0.0134515383081449,0.0104783458574773,"Cbr3/Igf1/Fam107a/Chrna4/Mfsd2a/Cdk5/Ppp1r1b",7,"Up","DOM DIS - MEA"
"GO:1901214","regulation of neuron death",0.0813953488372093,0.0136044978135629,0.000174585212534962,0.0180855588640498,0.0140881092156228,"Igf1/Mt1/Mt3/Cdc34/Atf4/Il18/Cdk5",7,"Up","DOM DIS - MEA"
"GO:0043523","regulation of neuron apoptotic process",0.0697674418604651,0.00982161449295481,0.000207289936171408,0.0182923474362797,0.0142491913260522,"Mt1/Mt3/Cdc34/Atf4/Il18/Cdk5",6,"Up","DOM DIS - MEA"
"GO:0015980","energy derivation by oxidation of organic compounds",0.0697674418604651,0.0108280696883459,0.000349257846946045,0.0240970118589689,0.0187708512294926,"Igf1/Akt2/Pygm/Mt3/Ndufaf1/Ppp1r3g",6,"Up","DOM DIS - MEA"
"GO:0045861","negative regulation of proteolysis",0.0697674418604651,0.0124245158603457,0.000719449812123692,0.0351015776757191,0.0273430787322356,"Igf1/Ctla2a/Akt2/Mt3/Lamtor5/Cdk5",6,"Up","DOM DIS - MEA"
"GO:0048638","regulation of developmental growth",0.0697674418604651,0.013951551329215,0.00130603984077093,0.0479682348899713,0.0373658197178451,"Igf1/Mt3/Mfsd2a/Ifrd1/Cdkn1a/Cdk5",6,"Up","DOM DIS - MEA"
"GO:0006091","generation of precursor metabolites and energy",0.0697674418604651,0.0151315332824322,0.00196778276227215,0.0598076924795502,0.0465884029307573,"Igf1/Akt2/Pygm/Mt3/Ndufaf1/Ppp1r3g",6,"Up","DOM DIS - MEA"
"GO:0051090","regulation of DNA-binding transcription factor activity",0.0697674418604651,0.0151315332824322,0.00196778276227215,0.0598076924795502,0.0465884029307573,"Nfkbia/Trib1/Creb3/Lamtor5/Ifrd1/Il18",6,"Up","DOM DIS - MEA"
"GO:1901361","organic cyclic compound catabolic process",0.0697674418604651,0.0165544526966058,0.00307277701915907,0.0702491006158994,0.0547219474507545,"Dio2/Mt3/Nt5c3/Rnaseh2c/Trir/Fastk",6,"Up","DOM DIS - MEA"
"GO:1903829","positive regulation of protein localization",0.0697674418604651,0.0170403276185188,0.00353995273654569,0.070712604976108,0.0550830034788055,"Igf1/Akt2/Nadk/Lamtor5/Mark4/Cdk5",6,"Up","DOM DIS - MEA"
"GO:0006112","energy reserve metabolic process",0.0581395348837209,0.00301936558617339,6.41839976703383e-06,0.0118997131680807,0.00926952050565307,"Igf1/Akt2/Pygm/Mt3/Ppp1r3g",5,"Up","DOM DIS - MEA"
"GO:1901215","negative regulation of neuron death",0.0581395348837209,0.00905809675852016,0.00112477836318803,0.0453334583771871,0.0353134076497478,"Igf1/Mt1/Mt3/Atf4/Cdk5",5,"Up","DOM DIS - MEA"
"GO:0034504","protein localization to nucleus",0.0581395348837209,0.0111057125008676,0.00273748925299761,0.0695247270555831,0.0541576821213081,"Akt2/Nfkbia/Lamtor5/Cdkn1a/Cdk5",5,"Up","DOM DIS - MEA"
"GO:0005977","glycogen metabolic process",0.0465116279069767,0.00267231207052127,8.47700270257462e-05,0.0134515383081449,0.0104783458574773,"Igf1/Akt2/Pygm/Ppp1r3g",4,"Up","DOM DIS - MEA"
"GO:0006073","cellular glucan metabolic process",0.0465116279069767,0.00267231207052127,8.47700270257462e-05,0.0134515383081449,0.0104783458574773,"Igf1/Akt2/Pygm/Ppp1r3g",4,"Up","DOM DIS - MEA"
"GO:0044042","glucan metabolic process",0.0465116279069767,0.00270701742208649,8.91497516364684e-05,0.0134515383081449,0.0104783458574773,"Igf1/Akt2/Pygm/Ppp1r3g",4,"Up","DOM DIS - MEA"
"GO:0043154","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.0465116279069767,0.00291524953147775,0.000118961730347305,0.0147036698709269,0.0114537188797546,"Igf1/Akt2/Mt3/Lamtor5",4,"Up","DOM DIS - MEA"
"GO:0043525","positive regulation of neuron apoptotic process",0.0465116279069767,0.00298466023460818,0.000130333691510093,0.0151024165037321,0.0117643305757795,"Cdc34/Atf4/Il18/Cdk5",4,"Up","DOM DIS - MEA"
"GO:2000117","negative regulation of cysteine-type endopeptidase activity",0.0465116279069767,0.00326230304712987,0.000183801247901308,0.0180855588640498,0.0140881092156228,"Igf1/Akt2/Mt3/Lamtor5",4,"Up","DOM DIS - MEA"
"GO:0044264","cellular polysaccharide metabolic process",0.0465116279069767,0.00340112445339071,0.000215757563074802,0.0182923474362797,0.0142491913260522,"Igf1/Akt2/Pygm/Ppp1r3g",4,"Up","DOM DIS - MEA"
"GO:0005976","polysaccharide metabolic process",0.0465116279069767,0.00381758867217325,0.000335584412023697,0.0240970118589689,0.0187708512294926,"Igf1/Akt2/Pygm/Ppp1r3g",4,"Up","DOM DIS - MEA"
"GO:0048640","negative regulation of developmental growth",0.0465116279069767,0.00444228500034705,0.000595375933729887,0.0315379137467203,0.0245670911602227,"Mt3/Ifrd1/Cdkn1a/Cdk5",4,"Up","DOM DIS - MEA"
"GO:1901216","positive regulation of neuron death",0.0465116279069767,0.00454640105504269,0.000649482276876552,0.0334483372591424,0.0260552539144628,"Cdc34/Atf4/Il18/Cdk5",4,"Up","DOM DIS - MEA"
"GO:0120161","regulation of cold-induced thermogenesis",0.0465116279069767,0.00506698132852086,0.000973334288706651,0.0410127675286848,0.0319477187585054,"Dio2/Gpr3/Atf4/Il18",4,"Up","DOM DIS - MEA"
"GO:0106106","cold-induced thermogenesis",0.0465116279069767,0.00513639203165128,0.00102372290348231,0.0421773836234712,0.0328549198497715,"Dio2/Gpr3/Atf4/Il18",4,"Up","DOM DIS - MEA"
"GO:1990845","adaptive thermogenesis",0.0465116279069767,0.00569167765669466,0.00149480517513004,0.0522899772583224,0.0407323277115871,"Dio2/Gpr3/Atf4/Il18",4,"Up","DOM DIS - MEA"
"GO:0051961","negative regulation of nervous system development",0.0465116279069767,0.0057957937113903,0.00159745474219737,0.0534835354713046,0.0416620738469483,"Cbln1/Mt3/Ifrd1/Cdk5",4,"Up","DOM DIS - MEA"
"GO:0048660","regulation of smooth muscle cell proliferation",0.0465116279069767,0.00624696328173804,0.00209932678680408,0.0619542099036279,0.0482604757779921,"Igf1/Trib1/Il18/Cdkn1a",4,"Up","DOM DIS - MEA"
"GO:0010951","negative regulation of endopeptidase activity",0.0465116279069767,0.00648990074269452,0.00241026142057532,0.0669927777079216,0.0521853693381414,"Igf1/Akt2/Mt3/Lamtor5",4,"Up","DOM DIS - MEA"
"GO:0001659","temperature homeostasis",0.0465116279069767,0.00652460609425974,0.00245712453297663,0.0669927777079216,0.0521853693381414,"Dio2/Gpr3/Atf4/Il18",4,"Up","DOM DIS - MEA"
"GO:0048659","smooth muscle cell proliferation",0.0465116279069767,0.00652460609425974,0.00245712453297663,0.0669927777079216,0.0521853693381414,"Igf1/Trib1/Il18/Cdkn1a",4,"Up","DOM DIS - MEA"
"GO:0016051","carbohydrate biosynthetic process",0.0465116279069767,0.00690636496147706,0.00301468263282319,0.0702491006158994,0.0547219474507545,"Igf1/Akt2/Ppp1r3g/Atf4",4,"Up","DOM DIS - MEA"
"GO:0030308","negative regulation of cell growth",0.0465116279069767,0.00707989171930312,0.00329454185406017,0.070712604976108,0.0550830034788055,"Mt3/Ifrd1/Cdkn1a/Cdk5",4,"Up","DOM DIS - MEA"
"GO:0031669","cellular response to nutrient levels",0.0465116279069767,0.00711459707086833,0.00335256447101044,0.070712604976108,0.0550830034788055,"Fam107a/Mfsd2a/Atf4/Cdkn1a",4,"Up","DOM DIS - MEA"
"GO:0010721","negative regulation of cell development",0.0465116279069767,0.00714930242243354,0.00341128003388233,0.070712604976108,0.0550830034788055,"Igf1/Mt3/Ifrd1/Cdk5",4,"Up","DOM DIS - MEA"
