"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0050808","synapse organization",0.0447761194029851,0.0171444436732144,1.99473678873869e-07,0.00016100263633831,0.000126774005686023,"St8sia2/Bdnf/Glra3/Igsf9/Cntn5/Disc1/Shisa7/Lrrtm1/Lrfn5/Cdh2/Adgrl3/Il1rapl1/Slitrk3/Gabrb3/Sez6l/Negr1/Tanc2/Marcks/Pak3/Nrp2/Slc7a11/Nrxn1/Ppfia2/Ssh1/Bhlhb9/Ptprf/Cadm1/Sipa1l1/Add2/Lrtm2/Rock2/Dlg4/Agrn/Dvl1/Dnaja3/Gpm6a",36,"Up","CDOM-DOM"
"GO:0044782","cilium organization",0.0435323383084577,0.013465676407302,1.40353200307692e-09,4.70796310194331e-06,3.70706563960362e-06,"Tekt2/Dnah5/Lama5/Mak/Ccdc103/Rfx2/Rsph9/Rfx3/Rsph4a/Hap1/Ttc8/Armc2/Ttc26/Dync2h1/Zfp423/Lrrc6/Disc1/Septin9/Dnal1/Tbc1d32/Tctn3/Dnah7b/Ift140/Rabl2/Fnbp1l/Pkd2/Tmem231/Tub/Bbs1/Mphosph9/Cep70/Tmem237/Fbf1/Pcnt/Wdr35",35,"Up","CDOM-DOM"
"GO:0060271","cilium assembly",0.041044776119403,0.01232039980565,1.94946712295789e-09,4.70796310194331e-06,3.70706563960362e-06,"Tekt2/Dnah5/Lama5/Mak/Ccdc103/Rfx2/Rsph9/Rfx3/Rsph4a/Hap1/Ttc8/Armc2/Ttc26/Dync2h1/Zfp423/Lrrc6/Disc1/Septin9/Dnal1/Tbc1d32/Tctn3/Dnah7b/Ift140/Rabl2/Fnbp1l/Tmem231/Bbs1/Mphosph9/Cep70/Tmem237/Fbf1/Pcnt/Wdr35",33,"Up","CDOM-DOM"
"GO:0030900","forebrain development",0.041044776119403,0.0138127299229541,3.23755486579255e-08,5.212463333926e-05,4.1043107824942e-05,"Aldh1a2/Dnah5/Nr2f2/Gli1/Sema5a/Hes5/Kdm2b/Prkg1/Eomes/Hap1/Slit2/Rax/Ttc8/Dync2h1/Disc1/Sema6b/Fgfr1/Numbl/Cdh2/Nr2f1/Mrtfb/Pgap1/Jakmip1/Nrp2/Mboat7/Slc7a11/Setd2/Bbs1/Celf1/Pcnt/Dicer1/Sun1/Ncam1",33,"Up","CDOM-DOM"
"GO:0016570","histone modification",0.0398009950248756,0.0171791490247796,1.14517772279971e-05,0.00325365200066035,0.0025619362925544,"Nos1/Jade3/Kdm2b/Eomes/Hdac7/Mbip/Dnmt1/Tgfb1/Brca2/Pcgf2/Jak2/Mta3/Jmjd4/Smarcad1/Setd1a/Rybp/Tada2a/Brd4/Rcor3/Meaf6/Kmt2d/Setd2/Parp2/N6amt1/Brd8/Rif1/Dot1l/Epc2/Kmt2e/Nsd3/Nfyb/Kdm5d",32,"Up","CDOM-DOM"
"GO:0007409","axonogenesis",0.0385572139303483,0.0171097383216492,2.66160641515996e-05,0.0062378981643354,0.0049117415424962,"Lama5/Lhx4/Bdnf/Rhoh/Sema5a/Slit2/Ttc8/Cntn5/Plxnc1/Disc1/Sema6b/Matn2/Numbl/Alcam/Fzd3/Cdh2/Stxbp5/Slitrk3/Pak3/Neo1/Sema4b/Nrp2/Efnb3/Ulk1/Sipa1l1/Lrtm2/Map2k1/B4galt6/Agrn/Dvl1/Ncam1",31,"Up","CDOM-DOM"
"GO:0007389","pattern specification process",0.0373134328358209,0.0170056222669536,5.8120745339277e-05,0.00835030509841086,0.00657505771397155,"Aldh1a2/Hnf1b/Dnah5/Nr2f2/Six2/Ccdc103/Gli1/Ets2/Hes5/Rfx3/Kdm2b/Eomes/Rax/Ttc8/Axin2/Dync2h1/Lrrc6/Tbc1d32/Fgfr1/Ar/Pofut1/Pcgf2/Nr2f1/Ift140/Pgap1/Pkd2/Nrp2/Map3k4/Bptf/Rnf111",30,"Up","CDOM-DOM"
"GO:0022407","regulation of cell-cell adhesion",0.0360696517412935,0.0162421045325189,6.21358844552885e-05,0.00835030509841086,0.00657505771397155,"Il4ra/Irf1/Adamts18/Slamf1/Rhoh/Skap1/Spint2/Kif26b/Tigit/Prkg1/Tgfb1/Hmgb1/Scrib/Fermt3/Jak2/Sirpa/Sox12/Nexmif/Marchf7/Pde5a/Magi1/Efnb3/Ripor2/Malt1/Cx3cl1/Rela/Rc3h2/Map2k1/Dnaja3",29,"Up","CDOM-DOM"
"GO:0018205","peptidyl-lysine modification",0.0348258706467662,0.0137086138682585,7.49160333093464e-06,0.00241229627256095,0.00189945002348539,"Nos1/Jade3/Ahrr/Eomes/Ifih1/Mbip/P3h3/Dnmt1/Tgfb1/Brca2/Pcgf2/Sirt4/Setd1a/Tada2a/Brd4/Meaf6/Kmt2d/Setd2/N6amt1/Brd8/Rela/Rif1/Dot1l/Epc2/Plod3/Kmt2e/Nsd3/Nfyb",28,"Up","CDOM-DOM"
"GO:0050767","regulation of neurogenesis",0.0348258706467662,0.0157909349621712,9.29720746285898e-05,0.00909293606340533,0.00715980777968474,"Spint1/Bdnf/Nos1/Plag1/Sema5a/Hes5/Hap1/Slit2/Plxnc1/Disc1/Sema6b/Tgfb1/Arntl/Numbl/Fzd3/Il1rapl1/Marcks/Pak3/Sema4b/Efnb3/Bhlhb9/Ptprf/Cx3cl1/Ulk1/Rela/Ppp3ca/Map2k1/Dicer1",28,"Up","CDOM-DOM"
"GO:0007346","regulation of mitotic cell cycle",0.0348258706467662,0.0166238633997362,0.000218517227165896,0.0121314736461066,0.00955236227163196,"Cks1brt/Rprm/Ccnd1/Brinp3/Abraxas1/Ccnd2/Rad9b/Gen1/Bex4/Tgfb1/Brca2/Fgfr1/Hmgb1/Scrib/Camk2d/Fzd3/Mta3/Pkd2/Brd4/Cul9/Vps4b/Timp2/Hacd1/Usp47/Ctc1/Pkia/Kmt2e/Rptor",28,"Up","CDOM-DOM"
"GO:0051090","regulation of DNA-binding transcription factor activity",0.0335820895522388,0.0151315332824322,0.000111116430700003,0.00951981179625159,0.00749593113650583,"Fank1/Bdnf/Trim25/Gli1/Eomes/Tgfbr3/Trim12c/Ddx58/E130311K13Rik/Traf1/Il18rap/Tgfb1/Ar/Nlrc4/Jak2/Camk1d/Tirap/Pkd2/Crtc3/Malt1/Carf/Cx3cl1/Crebzf/Rela/Ppp3ca/Dnaja3/Traf3",27,"Up","CDOM-DOM"
