"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0008380","RNA splicing",0.0528301886792453,0.0140209620323454,2.5695428322507e-05,0.0257039934652812,0.0233873477433625,"Lsm5/Dbr1/Celf3/Rps26/Snrpd3/Rbm22/Lsm2/Rbm15b/Srek1ip1/Yju2/Lsm6/Srsf4/Hnrnph2/Smndc1",14,"Up","CDOM-DOM"
"GO:0090596","sensory organ morphogenesis",0.0490566037735849,0.0110710071493024,9.21166605785276e-06,0.0138221049198081,0.0125763482916158,"Aqp1/Tspan12/Foxf2/Tbx18/Pou3f4/Edn1/Gas1/Alms1/Sox2/Tprn/Sox9/Fat1/Vhl",13,"Up","CDOM-DOM"
"GO:0006397","mRNA processing",0.0490566037735849,0.0163809259387798,0.000471657649045138,0.0884652877990286,0.0804921014225715,"Mblac1/Lsm5/Dbr1/Celf3/Snrpd3/Rbm22/Lsm2/Rbm15b/Srek1ip1/Yju2/Lsm6/Srsf4/Smndc1",13,"Up","CDOM-DOM"
"GO:0048562","embryonic organ morphogenesis",0.0415094339622641,0.0115568820712154,0.000284326032201445,0.0687705850700892,0.0625724399487229,"Hoxd11/Hoxc9/Foxf2/Tbx18/Pou3f4/Edn1/Gas1/Sox2/Runx2/Tprn/Sox9",11,"Up","CDOM-DOM"
"GO:0140694","non-membrane-bounded organelle assembly",0.0415094339622641,0.0132227389463455,0.000869794601083019,0.118067111457805,0.107425976296163,"Rps23/Dlgap5/Csrp1/Edn1/Kif23/Haus7/Alms1/Actn2/Rpl11/Efl1/Zfyve1",11,"Up","CDOM-DOM"
"GO:0072521","purine-containing compound metabolic process",0.0415094339622641,0.0136044978135629,0.00109394723622603,0.123822466141989,0.112662613224476,"Nudt7/Acpp/Oard1/Dpyd/Entpd4b/Acot1/Slc4a4/Enpp4/Efl1/Guk1/Atp5c1",11,"Up","CDOM-DOM"
"GO:0034470","ncRNA processing",0.0415094339622641,0.0136392031651281,0.00111649179875458,0.123822466141989,0.112662613224476,"Aars2/Rpusd2/Trmt10a/Rpl11/Utp23/Mettl1/Pus1/Lsm6/C1d/Ddx56/Ints2",11,"Up","CDOM-DOM"
"GO:0022613","ribonucleoprotein complex biogenesis",0.0415094339622641,0.0140903727354758,0.00144615167788674,0.144184791903514,0.131189726300958,"Rpusd2/Celf3/Rpl11/Snrpd3/Utp23/Lsm2/Efl1/Lsm6/Eif2s3x/C1d/Ddx56",11,"Up","CDOM-DOM"
"GO:0019439","aromatic compound catabolic process",0.0415094339622641,0.0156521135559103,0.00325493953921782,0.169357319700169,0.154093508234883,"Nudt7/Lsm5/Dpyd/Entpd2/Entpd4b/Maoa/Enpp4/Lsm2/Traf2/Lsm6/Gspt1",11,"Up","CDOM-DOM"
"GO:0198738","cell-cell signaling by wnt",0.0415094339622641,0.0157215242590407,0.00336515694341828,0.169357319700169,0.154093508234883,"Oprm1/Fbxw4/Disc1/Tbx18/Nkd2/Sox13/Edn1/Hhex/Dcdc2a/Sox2/Sox9",11,"Up","CDOM-DOM"
"GO:0006753","nucleoside phosphate metabolic process",0.0415094339622641,0.0157909349621712,0.00347835134317054,0.169357319700169,0.154093508234883,"Nudt7/Acpp/Dpyd/Entpd2/Entpd4b/Acot1/Slc4a4/Efl1/Uck1/Guk1/Atp5c1",11,"Up","CDOM-DOM"
"GO:1901361","organic cyclic compound catabolic process",0.0415094339622641,0.0165544526966058,0.00493668721472598,0.182620122014804,0.166160962663815,"Nudt7/Lsm5/Dpyd/Entpd2/Entpd4b/Maoa/Enpp4/Lsm2/Traf2/Lsm6/Gspt1",11,"Up","CDOM-DOM"
"GO:0048193","Golgi vesicle transport",0.0377358490566038,0.00957867703199833,0.000258305824240191,0.0687705850700892,0.0625724399487229,"Nkd2/Plcb3/Gas1/Bet1/Copg2/Rp2/Sys1/Chic2/Klhl20/Tfg",10,"Up","CDOM-DOM"
"GO:0000375","RNA splicing, via transesterification reactions",0.0377358490566038,0.00975220378982439,0.000297906566448237,0.0687705850700892,0.0625724399487229,"Lsm5/Dbr1/Celf3/Snrpd3/Rbm22/Lsm2/Rbm15b/Yju2/Lsm6/Srsf4",10,"Up","CDOM-DOM"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.0377358490566038,0.00975220378982439,0.000297906566448237,0.0687705850700892,0.0625724399487229,"Lsm5/Dbr1/Celf3/Snrpd3/Rbm22/Lsm2/Rbm15b/Yju2/Lsm6/Srsf4",10,"Up","CDOM-DOM"
"GO:0000398","mRNA splicing, via spliceosome",0.0377358490566038,0.00975220378982439,0.000297906566448237,0.0687705850700892,0.0625724399487229,"Lsm5/Dbr1/Celf3/Snrpd3/Rbm22/Lsm2/Rbm15b/Yju2/Lsm6/Srsf4",10,"Up","CDOM-DOM"
"GO:0043414","macromolecule methylation",0.0377358490566038,0.0114180606649545,0.00100786967869259,0.120984676230258,0.110080587222256,"Eomes/Mettl21e/Bhmt/Suv39h2/H1f2/Trmt10a/Snrpd3/Mettl1/Rbm15b/Gspt1",10,"Up","CDOM-DOM"
"GO:0043010","camera-type eye development",0.0377358490566038,0.012979801485389,0.00258461828173947,0.158000678246507,0.14376041648273,"Aqp1/Tspan12/Foxf2/Gas1/Alms1/Sox2/Nhs/Sox9/Fat1/Vhl",10,"Up","CDOM-DOM"
"GO:0019693","ribose phosphate metabolic process",0.0377358490566038,0.0130492121885195,0.00268511649136017,0.158000678246507,0.14376041648273,"Nudt7/Dpyd/Entpd4b/Acot1/Tkt/Slc4a4/Efl1/Uck1/Guk1/Atp5c1",10,"Up","CDOM-DOM"
"GO:0032259","methylation",0.0377358490566038,0.0130492121885195,0.00268511649136017,0.158000678246507,0.14376041648273,"Eomes/Mettl21e/Bhmt/Suv39h2/H1f2/Trmt10a/Snrpd3/Mettl1/Rbm15b/Gspt1",10,"Up","CDOM-DOM"
"GO:0034655","nucleobase-containing compound catabolic process",0.0377358490566038,0.0138474352745193,0.00408166161788798,0.180296417044585,0.16404668823152,"Nudt7/Lsm5/Dpyd/Entpd2/Entpd4b/Enpp4/Lsm2/Traf2/Lsm6/Gspt1",10,"Up","CDOM-DOM"
"GO:0001654","eye development",0.0377358490566038,0.014610953008954,0.00590313341856564,0.189730443160159,0.172630445836459,"Aqp1/Tspan12/Foxf2/Gas1/Alms1/Sox2/Nhs/Sox9/Fat1/Vhl",10,"Up","CDOM-DOM"
