"SampleName","region","batch","post_idbatch","AggGiven70min","AggRec70min","mean_con_ng_ul","period","pre_idbatch","pre_idbatchcage","group","time","Postds","Postrank","Preds","Prerank","condition","wt_d4","wt_d8","wt_12"
"A1.AMYB10.3.2.trim.sam.counts","AMY",10,"3-2Batch10",0,69,339.268143707453,"Post","2Batch1","2Batch10Cage3","reorganized","1 hr",-2.41746411483254,4,-3.57777777777778,4,"same",36.3,36.2,35.1
"A1.PFCB14.5.4.trim.sam.counts","PFC",14,"5-4Batch14",23,0,88.080514003309,"Post","4Batch1","4Batch14Cage5","control","1 hr",3,1,5.21818181818182,1,"control",41.7,40.6,40.8
"A2.AMYB12.4.3.trim.sam.counts","AMY",12,"4-3Batch12",0,61,243.139250328742,"Post","3Batch1","3Batch12Cage4","reorganized","1 hr",-2.29166666666667,4,4.61190476190476,1,"descenders",42.9,42.6,41.8
"A2.PFCB12.4.1.trim.sam.counts","PFC",12,"4-1Batch12",95,45,437.441903981297,"Post","1Batch1","1Batch12Cage4","reorganized","1 hr",3.29175824175824,1,-1.86623931623932,3,"ascenders",34.6,34.8,34.5
"A3.AMYB11.4.4.trim.sam.counts","AMY",11,"4-4Batch11",77,0,303.812723325927,"Post","4Batch1","4Batch11Cage4","reorganized","1 hr",3.1875,1,5.504329004329,1,"same",35.2,35.3,35.6
"A3.PFCB9.2.2.trim.sam.counts","PFC",9,"2-2Batch9",8,0,112.407257272448,"Post","2Batch9","2Batch9Cage2","control","1 hr",3.08333333333333,1,3.97069597069597,1,"control",41.3,42.3,42.9
"A4.AMYB13.1.2.trim.sam.counts","AMY",13,"1-2Batch13",62,0,82.5545162711961,"Post","2Batch1","2Batch13Cage1","reorganized","1 hr",2.75,1,-2.94444444444444,4,"ascenders",35.5,38.5,36.7
"A4.PFCB12.3.1.trim.sam.counts","PFC",12,"3-1Batch12",0,27,76.7234682503427,"Post","1Batch1","1Batch12Cage3","control","1 hr",-1.91666666666667,4,-2.82142857142857,4,"control",38.3,35.8,38.8
"A5.AMYB11.5.4.trim.sam.counts","AMY",11,"5-4Batch11",0,41,466.234204248619,"Post","4Batch1","4Batch11Cage5","control","1 hr",-2.15277777777778,4,-2.70744680851064,3,"control",35,33.5,35.5
"A5.PFCB9.3.2.trim.sam.counts","PFC",9,"3-2Batch9",0,69,407.261064662692,"Post","2Batch9","2Batch9Cage3","reorganized","1 hr",-0.854093567251462,3,-0.396739130434783,3,"same",44.1,42.4,43.2
"A6.AMYB13.5.1.trim.sam.counts","AMY",13,"5-1Batch13",0,45,143.606764359867,"Post","1Batch1","1Batch13Cage5","control","1 hr",-2.7,4,-5.02857142857143,4,"control",35.5,35.7,36.8
"A6.PFCB14.4.2.trim.sam.counts","PFC",14,"4-2Batch14",0,32,149.906839683942,"Post","2Batch1","2Batch14Cage4","reorganized","1 hr",-1.12380952380952,4,5.82678271907158,1,"descenders",42.7,41.2,40.4
"A7.AMYB13.3.4.trim.sam.counts","AMY",13,"3-4Batch13",66,30,359.454229288908,"Post","4Batch1","4Batch13Cage3","reorganized","1 hr",2.1,1,4.08333333333333,1,"same",34.8,35.1,35
"A7.PFCB8.2.2.trim.sam.counts","PFC",8,"2-2Batch8",0,56,329.876616791225,"Post","2Batch8","2Batch8Cage2","reorganized","1 hr",-1.01436781609195,4,-4.59464285714286,4,"same",34.4,34.2,34.2
"A8.AMYB12.1.2.trim.sam.counts","AMY",12,"1-2Batch12",0,32,120.342538833224,"Post","2Batch1","2Batch12Cage1","reorganized","1 hr",-2,4,-4,4,"same",35.4,35,36.7
"A8.PFCB8.4.4.trim.sam.counts","PFC",8,"4-4Batch8",77,40,357.720202284411,"Post","4Batch8","4Batch8Cage4","reorganized","1 hr",-2.49473684210526,3,3.84602143372758,1,"descenders",40.7,40.4,39.9
"A9.AMYB12.1.3.trim.sam.counts","AMY",12,"1-3Batch12",59,60,168.196115507627,"Post","3Batch1","3Batch12Cage1","reorganized","1 hr",3.04807692307692,1,4.86666666666667,1,"same",38.8,39.4,39.8
"A9.PFCB9.2.3.trim.sam.counts","PFC",9,"2-3Batch9",0,48,70.8141031940734,"Post","3Batch9","3Batch9Cage2","control","1 hr",-2.95833333333333,4,-4.44761904761905,4,"control",42.4,42.1,41.8
"B1.AMYB11.2.4.trim.sam.counts","AMY",11,"2-4Batch11",8,42,128.636463810472,"Post","4Batch1","4Batch11Cage2","reorganized","1 hr",-0.607142857142857,3,-2.54761904761905,3,"same",38.8,40.2,40
"B1.PFCB12.3.4.trim.sam.counts","PFC",12,"3-4Batch12",66,0,89.6988503150503,"Post","4Batch1","4Batch12Cage3","control","1 hr",3.83928571428571,1,4.74142857142857,1,"control",38.2,38.1,36.7
"B2.AMYB13.2.2.trim.sam.counts","AMY",13,"2-2Batch13",0,56,167.118260548578,"Post","2Batch1","2Batch13Cage2","reorganized","1 hr",-2.08333333333333,4,-4.01666666666667,4,"same",36,37.7,34.8
"B2.PFCB8.1.1.trim.sam.counts","PFC",8,"1-1Batch8",57,0,63.2210872671335,"Post","1Batch8","1Batch8Cage1","reorganized","1 hr",4.45833333333333,1,-2.15151515151515,3,"ascenders",41.5,43.5,43.9
"B3.AMYB13.4.3.trim.sam.counts","AMY",13,"4-3Batch13",0,61,391.078945481923,"Post","3Batch1","3Batch13Cage4","reorganized","1 hr",-0.466666666666667,3,5.52207977207977,1,"descenders",38.8,38.2,38.8
