"pre_idbatchcage","post_idbatch","batch","group","condition","Prerank","Postrank","SampleName","region"
"2Batch10Cage3","3-2Batch10",10,"reorganized","same",4,4,"A1.AMYB10.3.2.trim.sam.counts","AMY"
"2Batch10Cage3","3-2Batch10",10,"reorganized","same",4,4,"E5.PFCB10.3.2.trim.sam.counts","PFC"
"2Batch10Cage1","1-2Batch10",10,"reorganized","ascenders",4,1,"B6.AMYB10.1.2.trim.sam.counts","AMY"
"2Batch10Cage1","1-2Batch10",10,"reorganized","ascenders",4,1,"D1.PFCB10.1.2.trim.sam.counts","mPF"
"2Batch11Cage5","5-2Batch11",11,"control","control",1,1,"G7.PFCB11.5.2.trim.sam.counts","PFC"
"2Batch11Cage5","5-2Batch11",11,"control","control",1,1,"H8.AMYB11.5.2.trim.sam.counts","AMY"
"3Batch11Cage5","5-3Batch11",11,"control","control",4,4,"G2.PFCB11.5.3.trim.sam.counts","PFC"
"3Batch11Cage5","5-3Batch11",11,"control","control",4,4,"G4.AMYB11.5.3.trim.sam.counts","AMY"
"3Batch12Cage1","1-3Batch12",12,"reorganized","same",1,1,"A9.AMYB12.1.3.trim.sam.counts","AMY"
"3Batch12Cage1","1-3Batch12",12,"reorganized","same",1,1,"E8.PFCB12.1.3.trim.sam.counts","PFC"
"3Batch12Cage4","4-3Batch12",12,"reorganized","descenders",1,4,"A2.AMYB12.4.3.trim.sam.counts","AMY"
"3Batch12Cage4","4-3Batch12",12,"reorganized","descenders",1,4,"C7.PFCB12.4.3.trim.sam.counts","PFC"
"2Batch13Cage2","2-2Batch13",13,"reorganized","same",4,4,"B2.AMYB13.2.2.trim.sam.counts","AMY"
"2Batch13Cage2","2-2Batch13",13,"reorganized","same",4,4,"G6.PFCB13.2.2.trim.sam.counts","PFC"
"2Batch13Cage1","1-2Batch13",13,"reorganized","ascenders",4,1,"A4.AMYB13.1.2.trim.sam.counts","AMY"
"2Batch13Cage1","1-2Batch13",13,"reorganized","ascenders",4,1,"G5.PFCB13.1.2.trim.sam.counts","PFC"
"4Batch14Cage5","5-4Batch14",14,"control","control",1,1,"A1.PFCB14.5.4.trim.sam.counts","PFC"
"4Batch14Cage5","5-4Batch14",14,"control","control",1,1,"D7.AMYB14.5.4.trim.sam.counts","AMY"
"1Batch14Cage5","5-1Batch14",14,"control","control",4,4,"B7.PFCB14.5.1.trim.sam.counts","PFC"
"1Batch14Cage5","5-1Batch14",14,"control","control",4,4,"D3.AMYB14.5.1.trim.sam.counts","AMY"
"1Batch9Cage3","3-1Batch9",9,"reorganized","ascenders",4,1,"B7.AMYB9.3.1.trim.sam.counts","AMY"
"1Batch9Cage3","3-1Batch9",9,"reorganized","ascenders",4,1,"F6.PFCB9.3.1.trim.sam.counts","PFC"
"1Batch9Cage4","4-1Batch9",9,"reorganized","same",4,4,"F4.AMYB9.4.1.trim.sam.counts","AMY"
