"Well","plate","dilution_factor","final_conc_ng_ul","mean_con_ng_ul","batch","period","post_id","precage","pre_id","post_idbatch","pre_idbatch","pre_idbatchcage"
"D3",1,100,84.1847538864602,81.1378740131697,"1","Pre","1-1","Cage1","1","1-1Batch1","1 Batch1","1Batch1Cage1"
"D4",1,100,78.0909941398791,81.1378740131697,"1","Pre","1-1","Cage1","1","1-1Batch1","1 Batch1","1Batch1Cage1"
"E3",1,100,66.6326272193081,71.8388019515396,"1","Post","1-1","Cage1","1","1-1Batch1","1 Batch1","1Batch1Cage1"
"E4",1,100,77.0449766837712,71.8388019515396,"1","Post","1-1","Cage1","1","1-1Batch1","1 Batch1","1Batch1Cage1"
"F3",1,100,154.807799033399,178.052370976966,"1","Pre","2-1","Cage2","1","2-1Batch1","1 Batch1","1Batch1Cage2"
"F4",1,100,201.296942920532,178.052370976966,"1","Pre","2-1","Cage2","1","2-1Batch1","1 Batch1","1Batch1Cage2"
"G3",1,100,203.334012490154,219.444441343995,"1","Post","2-1","Cage2","1","2-1Batch1","1 Batch1","1Batch1Cage2"
"G4",1,100,235.554870197835,219.444441343995,"1","Post","2-1","Cage2","1","2-1Batch1","1 Batch1","1Batch1Cage2"
"H3",1,100,124.551397200479,127.636748215402,"10","Pre","3-2","Cage3","2","3-2Batch10","2 Batch10","2Batch10Cage3"
"H4",1,100,130.722099230325,127.636748215402,"10","Pre","3-2","Cage3","2","3-2Batch10","2 Batch10","2Batch10Cage3"
"A5",1,100,339.268143707453,339.268143707453,"10","Post","3-2","Cage3","2","3-2Batch10","2 Batch10","2Batch10Cage3"
"A6",1,100,339.268143707453,339.268143707453,"10","Post","3-2","Cage3","2","3-2Batch10","2 Batch10","2Batch10Cage3"
"B5",1,100,77.0449766837712,72.9403415248427,"10","Pre","1-2","Cage1","2","1-2Batch10","2 Batch10","2Batch10Cage1"
"B6",1,100,68.8357063659141,72.9403415248427,"10","Pre","1-2","Cage1","2","1-2Batch10","2 Batch10","2Batch10Cage1"
"C5",1,100,140.832588340458,134.725106218733,"10","Post","1-2","Cage1","2","1-2Batch10","2 Batch10","2Batch10Cage1"
"C6",1,100,128.617624097008,134.725106218733,"10","Post","1-2","Cage1","2","1-2Batch10","2 Batch10","2Batch10Cage1"
"D5",1,100,53.7257391950601,55.6349295959924,"11","Pre","5-2","Cage5","2","5-2Batch11","2 Batch11","2Batch11Cage5"
"D6",1,100,57.5441199969247,55.6349295959924,"11","Pre","5-2","Cage5","2","5-2Batch11","2 Batch11","2Batch11Cage5"
