"post_batchcage","post_idbatch","post_id","batch","group","totAgg","type","pre_idbatchcage","period","time","plate","mean_con_ng_ul","Prerank","Postrank","condition","ARec","Agiven","tot.ind"
"Batch 10 Cage 1","3-3Batch10","3-3 Batch 10 Cage 1",10,"reorganized",57,"alphas","3Batch10Cage3","Post","1 hr",3,503.232724218499,1,1,"same","2","50",52
"Batch 10 Cage 1","5-3Batch10","5-3 Batch 10 Cage 1",10,"reorganized",57,"alphas","3Batch10Cage5","Post","1 hr",3,413.059060773447,1,4,"descenders","27","3",30
"Batch 10 Cage 1","1-4Batch10","1-4 Batch 10 Cage 1",10,"reorganized",57,"alphas","4Batch10Cage1","Post","1 hr",8,225.229469355862,1,3,"descenders","14","0",14
"Batch 10 Cage 3","3-1Batch10","3-1 Batch 10 Cage 3",10,"reorganized",21,"gammas","1Batch10Cage3","Post","1 hr",8,174.393231877599,3,3,"same","5","0",5
"Batch 10 Cage 4","3-2Batch10","3-2 Batch 10 Cage 4",10,"reorganized",49,"deltas","2Batch10Cage3","Post","1 hr",1,339.268143707453,4,4,"same","20","0",20
"Batch 11 Cage 1","1-3Batch11","1-3 Batch 11 Cage 1",11,"reorganized",14,"alphas","3Batch11Cage1","Post","1 hr",4,453.405341935043,1,4,"descenders","4","0",4
"Batch 11 Cage 1","2-2Batch11","2-2 Batch 11 Cage 1",11,"reorganized",14,"alphas","2Batch11Cage2","Post","1 hr",6,481.822519585533,1,3,"descenders","3","0",3
"Batch 11 Cage 3","2-4Batch11","2-4 Batch 11 Cage 3",11,"reorganized",19,"gammas","4Batch11Cage2","Post","1 hr",6,128.636463810472,3,3,"same","13","2",15
"Batch 11 Cage 4","2-3Batch11","2-3 Batch 11 Cage 4",11,"reorganized",56,"deltas","3Batch11Cage2","Post","1 hr",3,245.214919056076,4,4,"same","22","0",22
"Batch 11 Cage 4","1-4Batch11","1-4 Batch 11 Cage 4",11,"reorganized",56,"deltas","4Batch11Cage1","Post","1 hr",3,171.821962349397,4,1,"ascenders","2","48",50
"Batch 12 Cage 1","2-1Batch12","2-1 Batch 12 Cage 1",12,"reorganized",24,"alphas","1Batch12Cage2","Post","1 hr",7,127.895798954848,1,3,"descenders","5","0",5
"Batch 12 Cage 1","1-3Batch12","1-3 Batch 12 Cage 1",12,"reorganized",24,"alphas","3Batch12Cage1","Post","1 hr",1,168.196115507627,1,1,"same","3","14",17
"Batch 12 Cage 1","4-3Batch12","4-3 Batch 12 Cage 1",12,"reorganized",24,"alphas","3Batch12Cage4","Post","1 hr",1,243.139250328742,1,4,"descenders","7","0",7
"Batch 12 Cage 3","2-2Batch12","2-2 Batch 12 Cage 3",12,"reorganized",29,"gammas","2Batch12Cage2","Post","1 hr",7,145.791648315593,3,3,"same","9","2",11
"Batch 12 Cage 3","4-1Batch12","4-1 Batch 12 Cage 3",12,"reorganized",29,"gammas","1Batch12Cage4","Post","1 hr",6,437.441903981297,3,1,"ascenders","1","26",27
"Batch 12 Cage 4","1-2Batch12","1-2 Batch 12 Cage 4",12,"reorganized",6,"deltas","2Batch12Cage1","Post","1 hr",4,120.342538833224,4,4,"same","2","0",2
"Batch 13 Cage 1","1-4Batch13","1-4 Batch 13 Cage 1",13,"reorganized",9,"alphas","4Batch13Cage1","Post","1 hr",2,149.443645142217,1,4,"descenders","5","0",5
"Batch 13 Cage 1","4-3Batch13","4-3 Batch 13 Cage 1",13,"reorganized",9,"alphas","3Batch13Cage4","Post","1 hr",7,391.078945481923,1,3,"descenders","1","0",1
"Batch 13 Cage 1","3-4Batch13","3-4 Batch 13 Cage 1",13,"reorganized",9,"alphas","4Batch13Cage3","Post","1 hr",2,359.454229288908,1,1,"same","1","6",7
"Batch 13 Cage 3","2-3Batch13","2-3 Batch 13 Cage 3",13,"reorganized",26,"gammas","3Batch13Cage2","Post","1 hr",6,139.429671340338,3,3,"same","5","0",5
"Batch 13 Cage 4","2-2Batch13","2-2 Batch 13 Cage 4",13,"reorganized",8,"deltas","2Batch13Cage2","Post","1 hr",1,167.118260548578,4,4,"same","4","0",4
"Batch 14 Cage 1","1-2Batch14","1-2 Batch 14 Cage 1",14,"reorganized",12,"alphas","2Batch14Cage1","Post","1 hr",3,452.552545730483,1,1,"same","2","10",12
"Batch 14 Cage 1","4-2Batch14","4-2 Batch 14 Cage 1",14,"reorganized",12,"alphas","2Batch14Cage4","Post","1 hr",3,149.906839683942,1,4,"descenders","4","0",4
"Batch 14 Cage 1","6-4Batch14","6-4 Batch 14 Cage 1",14,"reorganized",12,"alphas","4Batch14Cage6","Post","1 hr",7,360.241905196482,1,3,"descenders","2","0",2
"Batch 14 Cage 3","4-4Batch14","4-4 Batch 14 Cage 3",14,"reorganized",22,"gammas","4Batch14Cage4","Post","1 hr",7,222.126301863549,3,1,"ascenders","1","21",22
"Batch 14 Cage 3","1-4Batch14","1-4 Batch 14 Cage 3",14,"reorganized",22,"gammas","4Batch14Cage1","Post","1 hr",8,429.161837153181,3,3,"same","5","0",5
"Batch 14 Cage 4","2-2Batch14","2-2 Batch 14 Cage 4",14,"reorganized",18,"deltas","2Batch14Cage2","Post","1 hr",2,142.865668118802,4,4,"same","9","0",9
"Batch 8 Cage 1","4-4Batch8","4-4 Batch 8 Cage 1",8,"reorganized",45,"alphas","4Batch8Cage4","Post","1 hr",6,357.720202284411,1,3,"descenders","22","0",22
"Batch 8 Cage 1","2-4Batch8","2-4 Batch 8 Cage 1",8,"reorganized",45,"alphas","4Batch8Cage2","Post","1 hr",2,154.21837931401,1,4,"descenders","13","0",13
"Batch 8 Cage 3","3-3Batch8","3-3 Batch 8 Cage 3",8,"reorganized",29,"gammas","3Batch8Cage3","Post","1 hr",8,427.209394635226,3,3,"same","11","1",12
"Batch 8 Cage 4","2-2Batch8","2-2 Batch 8 Cage 4",8,"reorganized",50,"deltas","2Batch8Cage2","Post","1 hr",3,329.876616791225,4,4,"same","28","0",28
"Batch 9 Cage 1","3-4Batch9","3-4 Batch 9 Cage 1",9,"reorganized",35,"alphas","4Batch9Cage3","Post","1 hr",4,340.627515661503,1,4,"descenders","13","0",13
"Batch 9 Cage 1","5-3Batch9","5-3 Batch 9 Cage 1",9,"reorganized",35,"alphas","3Batch9Cage5","Post","1 hr",6,459.13817297277,1,3,"descenders","3","0",3
"Batch 9 Cage 3","3-2Batch9","3-2 Batch 9 Cage 3",9,"reorganized",36,"gammas","2Batch9Cage3","Post","1 hr",7,407.261064662692,3,3,"same","8","0",8
"Batch 9 Cage 4","4-1Batch9","4-1 Batch 9 Cage 4",9,"reorganized",46,"deltas","1Batch9Cage4","Post","1 hr",2,211.12109488497,4,4,"same","19","0",19
"Batch 9 Cage 4","3-1Batch9","3-1 Batch 9 Cage 4",9,"reorganized",46,"deltas","1Batch9Cage3","Post","1 hr",2,311.198653061814,4,1,"ascenders","4","30",34
"Batch 10 Cage 3","5-2Batch10","5-2 Batch 10 Cage 3",10,"reorganized",21,"gammas","2Batch10Cage5","Post","1 hr",6,69.865464480656,3,1,"ascenders","0","20",20
"Batch 10 Cage 4","1-2Batch10","1-2 Batch 10 Cage 4",10,"reorganized",49,"deltas","2Batch10Cage1","Post","1 hr",1,134.725106218733,4,1,"ascenders","0","47",47
"Batch 11 Cage 1","4-4Batch11","4-4 Batch 11 Cage 1",11,"reorganized",14,"alphas","4Batch11Cage4","Post","1 hr",4,303.812723325927,1,1,"same","0","13",13
"Batch 11 Cage 3","4-1Batch11","4-1 Batch 11 Cage 3",11,"reorganized",19,"gammas","1Batch11Cage4","Post","1 hr",7,111.755151204637,3,1,"ascenders","0","17",17
