Well ID,Name,Well,Conc,autogain,plate 
SPL1,P_b1_2-2,A3,,159,2
,P_b1_2-3,A4,,156,2
SPL2,A_b5_3-4,B3,,121,2
,A_b5_3-4,B4,,153,2
SPL3,A_b2_2-1,C3,,174,2
,A_b2_2-1,C4,,169,2
SPL4,P_b1_1-1,D3,,128,2
,P_b1_1-1,D4,,136,2
SPL5,P_b7_3-4,E3,,141,2
,P_b7_3-4,E4,,155,2
SPL6,P_b5_5-3,F3,,195,2
,P_b5_5-3,F4,,202,2
SPL7,P_b2_3-4,G3,,112,2
,P_b2_3-4,G4,,119,2
SPL8,A_b5_5-4,H3,,157,2
,A_b5_5-4,H4,,172,2
STDB1,STD1,A1,0,175,2
,STD1,A2,0,164,2
STDB2,STD2,B1,0.5,201,2
,STD2,B2,0.5,214,2
STDB3,STD3,C1,1,329,2
,STD3,C2,1,191,2
STDB4,STD4,D1,2,337,2
,STD4,D2,2,257,2
STDB5,STD5,E1,4,845,2
,STD5,E2,4,576,2
STDB6,STD6,F1,6,669,2
,STD6,F2,6,1625,2
STDB7,STD7,G1,8,781,2
,STD7,G2,8,1647,2
SPL1,A_b6_1-4,A3,,183,1
,A_b6_1-4,A4,,197,1
SPL2,A_b1_1-1,B3,,195,1
,A_b1_1-1,B4,,249,1
SPL3,P_b5_2-2,C3,,287,1
,P_b5_2-2,C4,,300,1
SPL4,P_b4_5-2,D3,,205,1
,P_b4_5-2,D4,,175,1
SPL5,P_b6_1-4,E3,,235,1
,P_b6_1-4,E4,,259,1
SPL6,P_b6_2-1,F3,,284,1
,P_b6_2-1,F4,,314,1
SPL7,A_b7_4-2,G3,,230,1
,A_b7_4-2,G4,,218,1
SPL8,A_b6_2-1,H3,,304,1
,A_b6_2-1,H4,,261,1
SPL9,A_b5_5-3,A5,,145,1
,A_b5_5-3,A6,,160,1
SPL10,A_b1_2-3,B5,,165,1
,A_b1_2-3,B6,,162,1
SPL11,A_b6_1-1,C5,,227,1
,A_b6_1-1,C6,,187,1
SPL12,P_b2_2-1,D5,,202,1
,P_b2_2-1,D6,,195,1
SPL13,A_b7_4-1,E5,,273,1
,A_b7_4-1,E6,,201,1
SPL14,A_b4_5-2,F5,,167,1
,A_b4_5-2,F6,,172,1
SPL15,P_b4_2-4,G5,,295,1
,P_b4_2-4,G6,,338,1
SPL16,P_b5_3-4,H5,,152,1
,P_b5_3-4,H6,,156,1
SPL17,A_b4_4-1,A7,,274,1
,A_b4_4-1,A8,,306,1
SPL18,A_b1_2-1,B7,,229,1
,A_b1_2-1,B8,,265,1
SPL19,P_b7_4-1,C7,,198,1
,P_b7_4-1,C8,,222,1
SPL20,P_b7_4-2,D7,,209,1
,P_b7_4-2,D8,,230,1
SPL21,P_b6_1-1,E7,,181,1
,P_b6_1-1,E8,,235,1
SPL22,P_b1_3-3,F7,,288,1
,P_b1_3-3,F8,,311,1
SPL23,P_b1_2-1,G7,,295,1
,P_b1_2-1,G8,,306,1
SPL24,A_b7_3-4,H7,,182,1
,A_b7_3-4,H8,,165,1
SPL25,A_b4_2-4,A9,,199,1
,A_b4_2-4,A10,,187,1
SPL26,A_b1_3-3,B9,,229,1
,A_b1_3-3,B10,,253,1
SPL27,A_b4_3-2,C9,,250,1
,A_b4_3-2,C10,,134,1
SPL28,P_b6_2-2,D9,,143,1
,P_b6_2-2,D10,,159,1
SPL29,P_b7_5-2,E9,,169,1
,P_b7_5-2,E10,,152,1
SPL30,P_b5_5-4,F9,,174,1
,P_b5_5-4,F10,,156,1
SPL31,A_b5_2-2,G9,,218,1
,A_b5_2-2,G10,,185,1
SPL32,A_b2_5-1,H9,,134,1
,A_b2_5-1,H10,,134,1
SPL33,A_b2_3-4,A11,,129,1
,A_b2_3-4,A12,,125,1
SPL34,P_b4_4-1,B11,,189,1
,P_b4_4-1,B12,,171,1
SPL35,P_b4_3-2,C11,,194,1
,P_b4_3-2,C12,,168,1
SPL36,A_b7_5-2,D11,,158,1
,A_b7_5-2,D12,,140,1
SPL37,A_b2_2-2,E11,,139,1
,A_b2_2-2,E12,,181,1
SPL38,A_b6_2-2,F11,,230,1
,A_b6_2-2,F12,,219,1
SPL39,P_b2_2-2,G11,,174,1
,P_b2_2-2,G12,,140,1
SPL40,P_b2_5-1,H11,,147,1
,P_b2_5-1,H12,,154,1
STDB1,STD1,A1,0,175,1
,STD1,A2,0,164,1
STDB2,STD2,B1,0.5,201,1
,STD2,B2,0.5,214,1
STDB3,STD3,C1,1,329,1
,STD3,C2,1,191,1
STDB4,STD4,D1,2,337,1
,STD4,D2,2,257,1
STDB5,STD5,E1,4,845,1
,STD5,E2,4,576,1
STDB6,STD6,F1,6,669,1
,STD6,F2,6,1625,1
STDB7,STD7,G1,8,781,1
,STD7,G2,8,1647,1
