Timestamp,Cage,Animal 1,Animal 1- Behavior,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
1/11/2020 12:54:50,Cage 1,1,Lunge,1,Lunge,Tmm,Start,
1/11/2020 12:58:21,Cage 1,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 12:58:31,Cage 1,4,Bite/Fight,1,Subordinate posture,,,
1/11/2020 12:58:55,Cage 1,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 13:02:28,Cage 4,3,Mount,1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 13:06:08,Cage 1,1,"Lunge, Bite/Fight",4,Freeze/immobility,,,
1/11/2020 13:06:27,Cage 4,3,Mount,1,Freeze/immobility,,,
1/11/2020 13:06:40,Cage 1,4,Mount,1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 13:07:34,Cage 5,4,Bite/Fight,1,Subordinate posture,,,
1/11/2020 13:08:27,Cage 4,3,Bite/Fight,2,"Flee, Subordinate posture",,,
1/11/2020 13:11:22,Cage 4,3,Lunge,4,Freeze/immobility,,,
1/11/2020 13:11:45,Cage 3,4,Bite/Fight,2,"Flee, Freeze/immobility",,,
1/11/2020 13:12:50,Cage 5,3,Allogroom,4,Freeze/immobility,,,
1/11/2020 13:14:23,Cage 4,3,Bite/Fight,1,Freeze/immobility,,,
1/11/2020 13:14:37,Cage 1,4,"Lunge, Mount",1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 13:15:03,Cage 4,3,Bite/Fight,1,Subordinate posture,,,
1/11/2020 13:15:26,Cage 4,3,Mount,1,Freeze/immobility,,,
1/11/2020 13:16:43,Cage 1,4,Bite/Fight,1,Freeze/immobility,,,
1/11/2020 13:17:34,Cage 1,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 13:25:42,Cage 1,4,Bite/Fight,1,Freeze/immobility,,,
1/11/2020 13:25:55,Cage 1,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 13:28:32,Cage 1,1,Mount,4,Freeze/immobility,,,
1/11/2020 13:32:15,Cage 1,1,"Bite/Fight, Chase",4,"Flee, Subordinate posture, Freeze/immobility",,,
1/11/2020 13:36:54,Cage 1,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 13:39:16,Cage 5,3,Bite/Fight,2,Subordinate posture,,,
1/11/2020 13:43:35,Cage 1,1,Mount,4,Freeze/immobility,,,
1/11/2020 13:44:13,Cage 2,3,"Chase, Sniff",2,"Flee, Freeze/immobility",,,
1/11/2020 13:44:28,Cage 1,3,Allogroom,1,N/A,,,
1/11/2020 13:49:47,Cage 1,3,"Bite/Fight, Chase",1,Flee,,,
1/11/2020 13:52:09,Cage 1,4,Bite/Fight,1,Freeze/immobility,,,
1/11/2020 13:54:09,Cage 1,4,Mount,1,Freeze/immobility,,,
1/11/2020 13:54:48,Cage 1,1,Lunge,1,Lunge,Tmm ,End,
1/11/2020 14:54:41,Cage 1,1,Lunge,1,Lunge,Tmm ,Start,
1/11/2020 15:09:20,Cage 4,3,Allogroom,4,Walk away,,,
1/11/2020 15:11:22,Cage 1,1,Mount,4,Freeze/immobility,,,
1/11/2020 15:11:51,Cage 1,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 15:13:20,Cage 4,3,Mount,1,Freeze/immobility,,,
1/11/2020 15:14:39,Cage 4,4,Bite/Fight,1,Freeze/immobility,,,
1/11/2020 15:14:52,Cage 4,4,"Bite/Fight, Chase",1,Flee,,,
1/11/2020 15:15:01,Cage 4,3,"Lunge, Bite/Fight",4,"Subordinate posture, Freeze/immobility",,,
1/11/2020 15:16:25,Cage 1,1,Mount,4,Freeze/immobility,,,
1/11/2020 15:16:43,Cage 1,1,Mount,4,Freeze/immobility,,,
1/11/2020 15:20:36,Cage 1,1,Lunge,4,Freeze/immobility,,,
1/11/2020 15:21:34,Cage 4,3,Mount,1,Freeze/immobility,,,
1/11/2020 15:21:55,Cage 1,3,Bite/Fight,2,Freeze/immobility,,,
1/11/2020 15:22:08,Cage 1,3,"Bite/Fight, Chase",1,"Flee, Subordinate posture",,,
1/11/2020 15:22:36,Cage 4,3,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 15:23:13,Cage 5,3,"Bite/Fight, Chase",4,"Flee, Freeze/immobility",,,
1/11/2020 15:25:06,Cage 1,3,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 15:26:17,Cage 1,3,Bite/Fight,2,Freeze/immobility,,,
1/11/2020 15:29:47,Cage 1,4,Bite/Fight,1,Freeze/immobility,,,
1/11/2020 15:30:26,Cage 1,4,"Lunge, Bite/Fight, Chase",3,"Flee, Subordinate posture, Freeze/immobility",,,
1/11/2020 15:30:39,Cage 1,4,Lunge,1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 15:30:51,Cage 1,1,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
1/11/2020 15:33:26,Cage 1,1,Mount,4,Freeze/immobility,,,
1/11/2020 15:33:45,Cage 4,2,Mount,1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 15:34:11,Cage 4,3,Bite/Fight,1,Subordinate posture,,,
1/11/2020 15:35:01,Cage 1,1,Mount,4,Freeze/immobility,,,
1/11/2020 15:39:29,Cage 4,3,Mount,1,Freeze/immobility,,,
1/11/2020 15:40:04,Cage 1,1,Mount,4,Freeze/immobility,,,
1/11/2020 15:42:37,Cage 1,1,Mount,4,Freeze/immobility,,,
1/11/2020 15:42:44,Cage 1,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/11/2020 15:43:11,Cage 1,4,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
1/11/2020 15:46:18,Cage 5,3,"Bite/Fight, Chase",4,"Flee, Freeze/immobility",,,
1/11/2020 15:47:25,Cage 2,2,Bite/Fight,3,Subordinate posture,,,
1/11/2020 15:51:56,Cage 3,2,Chase,1,Flee,,,
1/11/2020 15:53:31,Cage 1,4,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
1/11/2020 15:53:46,Cage 1,4,Bite/Fight,3,Freeze/immobility,,,
1/11/2020 15:54:06,Cage 1,1,Lunge,1,Lunge,Tmm ,End,
1/12/2020 12:00:23,Cage 1,1,Lunge,1,Lunge,Tmm ,Start,
1/12/2020 12:07:20,Cage 2,4,Bite/Fight,3,Freeze/immobility,,,
1/12/2020 12:14:26,Cage 5,3,Bite/Fight,4,Freeze/immobility,,,
1/12/2020 12:17:45,Cage 2,1,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
1/12/2020 12:18:43,Cage 5,3,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/12/2020 12:23:01,Cage 2,4,"Lunge, Mount",3,Freeze/immobility,,,
1/12/2020 12:25:24,Cage 5,2,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
