Well_ID,Name,Well,Dil,ABS_450,CONC,Count,Mean,Std_dev,CV,plate 
BLK,,B7,,0.824,11.67431184,2,10.71246981,1.360250051,8.978714078,5
,,B8,,0.832,9.750627775,,,,,5
NSB,,A7,,0.071,>5249.023,0,?????,?????,?????,5
,,A8,,0.074,>5249.023,,,,,5
SPL1,b13 5-3 pre,D9,,0.35,681.0815785,2,718.5055757,52.92552433,5.208588273,5
,,D10,,0.336,755.9295728,,,,,5
SPL2,b13 5-3,E9,,0.315,889.4409418,2,946.9867784,81.38210249,6.076730727,5
,,E10,,0.3,1004.532615,,,,,5
SPL3,b13 5-1 pre,F9,,0.522,215.0304606,2,208.2221882,9.62835113,3.269715122,5
,,F10,,0.532,201.4139159,,,,,5
SPL4,b13 5-1,G9,,0.263,1391.797012,2,1439.950541,68.09937327,3.344109903,5
,,G10,,0.256,1488.10407,,,,,5
SPL5,b5 5-3 pre,H9,,0.276,1235.115491,2,1163.914396,100.6935539,6.117382433,5
,,H10,,0.29,1092.713301,,,,,5
SPL6,b5 5-3,A11,,0.23,1945.419436,2,1934.81551,14.99621614,0.548058772,5
,,A12,,0.231,1924.211584,,,,,5
SPL7,b5 2-2 pre,B11,,0.298,1021.370213,2,1057.041757,50.4471817,3.374658005,5
,,B12,,0.29,1092.713301,,,,,5
SPL8,b5 2-2,C11,,0.334,767.4677685,2,719.3193579,68.09213537,6.693606969,5
,,C12,,0.352,671.1709472,,,,,5
SPL9,b4 1-4 pre,D11,,0.232,1903.346112,2,1980.113829,108.5659473,3.87693457,5
,,D12,,0.225,2056.881547,,,,,5
SPL10,b4 1-4,E11,,0.277,1224.112057,2,1182.466155,58.89619957,3.52195299,5
,,E12,,0.285,1140.820253,,,,,5
SPL11,b4 1-1 pre,F11,,0.356,651.8877384,2,656.6644508,6.75529149,0.72742059,5
,,F12,,0.354,661.4411633,,,,,5
SPL12,b4 1-1,G11,,0.291,1083.428944,2,1137.671294,76.71026663,4.767840238,5
,,G12,,0.28,1191.913643,,,,,5
STD1,,C7,5000,0.155,>5249.023,1,4745.509,?????,?????,5
,,C8,5000,0.166,4745.509,,,,,5
STD2,,D7,2500,0.209,2486.456792,2,2332.331673,217.9658339,6.608199042,5
,,D8,2500,0.22,2178.206553,,,,,5
STD3,,E7,1250,0.27,1304.149943,2,1381.892722,109.9448929,5.625818708,5
,,E8,1250,0.258,1459.635502,,,,,5
STD4,,F7,625,0.368,598.0367239,2,550.1488736,67.72364739,8.704525741,5
,,F8,625,0.393,502.2610233,,,,,5
STD5,,G7,312.5,0.458,325.8418382,2,342.6296303,23.74152329,4.899690694,5
,,G8,312.5,0.443,359.4174224,,,,,5
STD6,,H7,156.25,0.567,159.6509943,2,168.0791197,11.91916926,5.01437979,5
,,H8,156.25,0.552,176.5072451,,,,,5
STD7,,A9,78.125,0.688,64.72360874,2,63.35096996,1.941204386,2.166721024,5
,,A10,78.125,0.693,61.97833117,,,,,5
STD8,,B9,39.063,0.73,43.79775269,2,44.24400107,0.631090509,1.008607647,5
,,B10,39.063,0.728,44.69024945,,,,,5
STD9,,C9,19.531,0.79,21.21488298,2,18.6910268,3.569271637,13.50303654,5
