batch ,precage ,preid,wt_d4,wt_d8,wt_12 ,T_reorganization,T_sac ,HoursRearranged 
1,1,1,39.3,38.7,39.2,10:30,12:00,25
1,1,2,34.7,35.7,37.2,10:30,12:00,25
1,1,3,36.4,40.4,41.3,10:30,12:00,25
1,1,4,39.9,41.7,41.6,10:30,12:00,25
1,2,1,40.3,39.1,35.6,10:30,12:00,25
1,2,2,37.3,38.2,39.5,10:30,12:00,25
1,2,3,31.1,31.3,32.1,10:30,12:00,25
1,2,4,41.7,40.8,43,10:30,12:00,25
1,3,1,41.2,43.2,42.1,10:30,12:00,25
1,3,2,40.3,41.2,36.7,10:30,12:00,25
1,3,3,37.2,37.9,38.4,10:30,12:00,25
1,3,4,37.4,39.9,37.5,10:30,12:00,25
1,4,1,41.5,41.8,42.5,10:30,12:00,25
1,4,2,37.3,39.5,38.2,10:30,12:00,25
1,4,3,37.5,38.7,39.7,10:30,12:00,25
1,4,4,39.2,39.2,39.7,10:30,12:00,25
1,5,1,36.8,36.9,36.3,10:30,12:00,25
1,5,2,39,40.7,40.2,10:30,12:00,25
1,5,3,42.8,42.8,37.6,10:30,12:00,25
1,5,4,32.9,33.3,35.3,10:30,12:00,25
2,1,1,37.1,37.2,37.5,10:30,12:00,25
2,1,2,38,37.1,37.5,10:30,12:00,25
2,1,3,36.7,36.5,37.9,10:30,12:00,25
2,1,4,31.5,32.3,34.6,10:30,12:00,25
2,2,1,36.6,39,38.8,10:30,12:00,25
2,2,2,33.4,36.3,36.2,10:30,12:00,25
2,2,3,32.9,39.7,33.7,10:30,12:00,25
2,2,4,36.8,37.8,37.1,10:30,12:00,25
2,3,1,33.6,39,35,10:30,12:00,25
2,3,2,33.9,34.5,35.1,10:30,12:00,25
2,3,3,32.8,33.4,35.4,10:30,12:00,25
2,3,4,35.6,36.6,37.8,10:30,12:00,25
2,4,1,30.5,33.9,33.3,10:30,12:00,25
2,4,2,36.9,34.7,38.2,10:30,12:00,25
2,4,3,34,35.4,36.5,10:30,12:00,25
2,4,4,30.7,37.3,34.1,10:30,12:00,25
2,5,1,39.3,318,40,10:30,12:00,25
2,5,2,36.4,36.2,38.2,10:30,12:00,25
2,5,3,38.8,34,42.1,10:30,12:00,25
2,5,4,36.7,32.3,38.8,10:30,12:00,25
3,1,1,43.5,44.3,47.4,10:30,12:00,25
3,1,2,44.7,43.9,46.4,10:30,12:00,25
3,1,3,43.2,41.7,44.3,10:30,12:00,25
3,1,4,40.1,41.9,41.4,10:30,12:00,25
3,2,1,39,35.8,38.7,10:30,12:00,25
3,2,2,42.8,41.2,43.4,10:30,12:00,25
3,2,3,45.3,42.8,44.8,10:30,12:00,25
3,2,4,44.6,43.5,45.6,10:30,12:00,25
3,3,1,38.9,,,10:30,12:00,25
3,3,2,39.4,,,10:30,12:00,25
3,3,3,37.8,,,10:30,12:00,25
3,3,4,38.2,,,10:30,12:00,25
3,4,1,45.2,44.6,46.3,10:30,12:00,25
3,4,2,44.6,43.2,43.8,10:30,12:00,25
3,4,3,44.9,44.6,46.3,10:30,12:00,25
3,4,4,40.4,40.7,41.9,10:30,12:00,25
3,5,1,38.1,,,10:30,12:00,25
3,5,2,32.9,,,10:30,12:00,25
3,5,3,30.9,,,10:30,12:00,25
3,5,4,37.8,,,10:30,12:00,25
4,1,1,39.1,39.4,39.9,9:30,11:00,25
4,1,2,44.6,43.4,45.2,9:30,11:00,25
4,1,3,39.6,38.3,39.6,9:30,11:00,25
4,1,4,39.4,39.9,41.7,9:30,11:00,25
4,2,1,37.6,38.6,34,9:30,11:00,25
4,2,2,40.8,34.2,34.2,9:30,11:00,25
4,2,3,37.8,38.2,39.1,9:30,11:00,25
4,2,4,33.9,39.1,34.4,9:30,11:00,25
4,3,1,35.2,35.2,39.5,9:30,11:00,25
4,3,2,38.2,36.5,38.6,9:30,11:00,25
4,3,3,38.8,38.4,38.8,9:30,11:00,25
4,3,4,36.4,35.6,36.8,9:30,11:00,25
4,4,1,41.8,40,39.1,9:30,11:00,25
4,4,2,38.3,38.2,40,9:30,11:00,25
4,4,3,42.8,43,42,9:30,11:00,25
4,4,4,38.4,40,40.6,9:30,11:00,25
4,5,1,36.5,36.3,37,9:30,11:00,25
4,5,2,32.7,32.2,34.7,9:30,11:00,25
4,5,3,38.3,38,38.2,9:30,11:00,25
4,5,4,41.3,41.6,42.7,9:30,11:00,25
5,1,1,32.7,34.5,35.4,9:30,11:00,25
5,1,2,35.5,36.7,38,9:30,11:00,25
5,1,3,32.8,36.3,35.8,9:30,11:00,25
5,1,4,38.8,37.8,36.8,9:30,11:00,25
5,2,1,36.9,36.4,36.9,9:30,11:00,25
5,2,2,35.7,35.7,36.8,9:30,11:00,25
5,2,3,34.8,36.4,36.8,9:30,11:00,25
5,2,4,40.6,42.2,44.2,9:30,11:00,25
5,3,1,39.7,40,40.3,9:30,11:00,25
5,3,2,32.7,32.5,32.8,9:30,11:00,25
5,3,3,35.9,34.8,35.1,9:30,11:00,25
5,3,4,43.8,43.2,42.8,9:30,11:00,25
5,4,1,38.9,37.5,38.1,9:30,11:00,25
5,4,2,39.1,39,39.5,9:30,11:00,25
5,4,3,32.2,32.6,33.4,9:30,11:00,25
5,4,4,35.8,36.6,37.5,9:30,11:00,25
5,5,1,35.1,35.8,36.3,9:30,11:00,25
5,5,2,36.3,36.5,36.4,9:30,11:00,25
5,5,3,38.6,39.6,40.6,9:30,11:00,25
5,5,4,34.1,34.2,34.5,9:30,11:00,25
