Well ID,Name,Well,Conc,autogain,plate 
SPL1,B13 5-1,A3,,217,2
,B13 5-1,A4,,230,2
SPL2,B10 1-2,B3,,169,2
,B10 1-2,B4,,192,2
SPL3,B14 5-2,C3,,273,2
,B14 5-2,C4,,353,2
SPL4,B12 4-1,D3,,331,2
,B12 4-1,D4,,503,2
SPL5,B9 4-2,E3,,266,2
,B9 4-2,E4,,176,2
SPL6,B8 3-4,F3,,204,2
,B8 3-4,F4,,217,2
SPL7,B13 5-3,G3,,199,2
,B13 5-3,G4,,252,2
SPL8,B11 2-3,H3,,219,2
,B11 2-3,H4,,216,2
SPL9,B13 3-4,A5,,199,2
,B13 3-4,A6,,212,2
SPL10,B9 3-1,B5,,182,2
,B9 3-1,B6,,177,2
SPL11,B12 3-2,C5,,193,2
,B12 3-2,C6,,253,2
SPL12,B14 5-4,D5,,209,2
,B14 5-4,D6,,342,2
SPL13,B8 4-4,E5,,189,2
,B8 4-4,E6,,206,2
SPL14,B12 3-1,F5,,233,2
,B12 3-1,F6,,247,2
SPL15,B10 5-2,G5,,268,2
,B10 5-2,G6,,214,2
SPL16,B14 1-3,H5,,252,2
,B14 1-3,H6,,270,2
SPL17,B12 1-2,A7,,211,2
,B12 1-2,A8,,208,2
SPL18,B14 1-2,B7,,252,2
,B14 1-2,B8,,212,2
SPL19,B9 2-3,C7,,225,2
,B9 2-3,C8,,207,2
SPL20,B11 2-2,D7,,253,2
,B11 2-2,D8,,347,2
SPL21,B13 5-2,E7,,221,2
,B13 5-2,E8,,182,2
SPL22,B14 4-2,F7,,341,2
,B14 4-2,F8,,281,2
SPL23,B9 2-2,G7,,238,2
,B9 2-2,G8,,209,2
SPL24,B11 5-2,H7,,279,2
,B11 5-2,H8,,241,2
SPL25,B12 1-3,A9,,195,2
,B12 1-3,A10,,199,2
SPL26,B14 4-4,B9,,316,2
,B14 4-4,B10,,212,2
SPL27,B13 1-4,C9,,183,2
,B13 1-4,C10,,187,2
STDB1,STD1,A1,0,180,2
,STD1,A2,0,179,2
STDB2,STD2,B1,0.5,195,2
,STD2,B2,0.5,230,2
STDB3,STD3,C1,1,281,2
,STD3,C2,1,261,2
STDB4,STD4,D1,2,282,2
,STD4,D2,2,284,2
STDB5,STD5,E1,4,584,2
,STD5,E2,4,524,2
STDB6,STD6,F1,6,1041,2
,STD6,F2,6,636,2
STDB7,STD7,G1,8,790,2
,STD6,G2,8,1427,2
STDB8,STD8,H1,10,2157,2
,STD8,H2,10,1281,2
SPL1,B10 3-2,A3,,174,1
,B10 3-2,A4,,182,1
SPL2,B11 2-4,B3,,356,1
,B11 2-4,B4,,303,1
SPL3,B11 1-4,C3,,221,1
,B11 1-4,C4,,330,1
SPL4,B9 3-2,D3,,291,1
,B9 3-2,D4,,365,1
SPL5,B12 2-1,E3,,477,1
,B12 2-1,E4,,197,1
SPL6,B14 2-2,F3,,221,1
,B14 2-2,F4,,309,1
