Well ID,Name,Well,Conc,autogain,plate 
SPL1,B14 4-2,A3,,138,2
,B14 4-2,A4,,146,2
SPL2,B13 2-3,B3,,235,2
,B13 2-3,B4,,160,2
SPL3,B10 3-3 ,C3,,159,2
,B10 3-3 ,C4,,149,2
SPL4,B8 4-1,D3,,158,2
,B8 4-1,D4,,114,2
SPL5,B11 2-3,E3,,150,2
,B11 2-3,E4,,142,2
SPL6,B9 3-1,F3,,197,2
,B9 3-1,F4,,198,2
SPL7,B13 2-2,G3,,192,2
,B13 2-2,G4,,218,2
SPL8,B14 4-4,H3,,180,2
,B14 4-4,H4,,162,2
SPL9,B8 2-2,A5,,150,2
,B8 2-2,A6,,166,2
SPL10,B14 5-1,B5,,183,2
,B14 5-1,B6,,322,2
SPL11,B12 4-3,C5,,181,2
,B12 4-3,C6,,152,2
SPL12,B11 2-4,D5,,236,2
,B11 2-4,D6,,148,2
SPL13,B10 3-1,E5,,333,2
,B10 3-1,E6,,243,2
SPL14,B13 3-4,F5,,193,2
,B13 3-4,F6,,184,2
SPL15,B11 5-2,G5,,147,2
,B11 5-2,G6,,155,2
SPL16,B9 4-2,H5,,179,2
,B9 4-2,H6,,147,2
SPL17,B8 4-4 ,A7,,154,2
,B8 4-4 ,A8,,147,2
SPL18,B14 5-2,B7,,179,2
,B14 5-2,B8,,241,2
SPL19,B9 2-4,C7,,177,2
,B9 2-4,C8,,154,2
SPL20,B10 1-4,D7,,148,2
,B10 1-4,D8,,164,2
SPL21,B12 1-3,E7,,263,2
,B12 1-3,E8,,239,2
SPL22,B14 6-4,F7,,201,2
,B14 6-4,F8,,208,2
SPL23,B14 3-4,G7,,207,2
,B14 3-4,G8,,150,2
SPL24,B12 2-1 ,H7,,154,2
,B12 2-1 ,H8,,146,2
SPL25,B9 2-3,A9,,165,2
,B9 2-3,A10,,157,2
SPL26,B14 1-4,B9,,285,2
,B14 1-4,B10,,242,2
SPL27,B8 3-4,C9,,147,2
,B8 3-4,C10,,141,2
STDB1,STD1,A1,0,120,2
,STD1,A2,0,112,2
STDB2,STD2,B1,0.5,229,2
,STD2,B2,0.5,210,2
STDB3,STD3,C1,1,193,2
,STD3,C2,1,178,2
STDB4,STD4,D1,2,296,2
,STD4,D2,2,257,2
STDB5,STD5,E1,4,455,2
