gene name,Gene Class
4931440P22Rik,dPRG
Acsl4,dPRG
Adcyap1,dPRG
Adm,dPRG
Alpk1,dPRG
Areg,dPRG
Atf3,dPRG
Atp10d,dPRG
Baz1a,dPRG
Bdnf,dPRG
Brinp1,dPRG
Bves,dPRG
C2cd4b,dPRG
Cartpt,dPRG
Ccdc184,dPRG
Cdkn1a,dPRG
Cfap43,dPRG
Chml,dPRG
Chrm2,dPRG
Chst8,dPRG
Col10a1,dPRG
Coq10b,dPRG
Cort,dPRG
Crem,dPRG
Crhbp,dPRG
Csrnp1,dPRG
Cystm1,dPRG
D16Ertd472e,dPRG
Dmxl1,dPRG
Dusp14,dPRG
Dusp4,dPRG
Ell2,dPRG
Eprs,dPRG
Errfi1,dPRG
Fam126b,dPRG
Fam46a,dPRG
Fbxo33,dPRG
Fndc9,dPRG
Fosl2,dPRG
Gch1,dPRG
Gem,dPRG
Glt28d2,dPRG
Gltscr2,dPRG
Gmeb2,dPRG
Gpr22,dPRG
Gpr26,dPRG
Gprc5a,dPRG
Grasp,dPRG
Hcrtr2,dPRG
Herpud1,dPRG
Hsd17b12,dPRG
Kcnf1,dPRG
Kcnj3,dPRG
Kcns2,dPRG
Kitl,dPRG
Klf14,dPRG
Lipg,dPRG
Maml3,dPRG
Mbnl2,dPRG
Mctp2,dPRG
Mlf1,dPRG
Mpp7,dPRG
Msantd1,dPRG
Mthfd2,dPRG
Nap1l5,dPRG
Nefl,dPRG
Npbwr1,dPRG
Nppc,dPRG
Nr4a2,dPRG
Nr4a3,dPRG
Nrn1,dPRG
Osgin2,dPRG
Pam,dPRG
Pard6a,dPRG
Pax1,dPRG
Pcdh20,dPRG
Pcdh8,dPRG
Pcsk1,dPRG
Peg10,dPRG
Per1,dPRG
Per2,dPRG
Pgap1,dPRG
Plagl1,dPRG
Popdc3,dPRG
Pou3f1,dPRG
Prok2,dPRG
Ptger4,dPRG
Ptgs2,dPRG
Rasgrp1,dPRG
Rel,dPRG
Rem2,dPRG
Rgs2,dPRG
Rgs4,dPRG
Rheb,dPRG
Rnf128,dPRG
Scg2,dPRG
Sertad1,dPRG
Sik1,dPRG
Slc2a1,dPRG
Slc2a3,dPRG
Slc46a3,dPRG
Slc6a17,dPRG
Spty2d1,dPRG
Sstr2,dPRG
Stard4,dPRG
Stk40,dPRG
Sult2b1,dPRG
Sv2c,dPRG
Tac1,dPRG
Tacr3,dPRG
Tbc1d8b,dPRG
Tec,dPRG
Tiparp,dPRG
Tnn,dPRG
Wdr90,dPRG
Zdbf2,dPRG
Amigo3,rPRG
Arc,rPRG
Btg2,rPRG
Dusp1,rPRG
Dusp5,rPRG
Egr1,rPRG
Egr2,rPRG
Egr3,rPRG
Egr4,rPRG
Fos,rPRG
Fosb,rPRG
Gadd45g,rPRG
Ier2,rPRG
Junb,rPRG
Klf4,rPRG
Maff,rPRG
Npas4,rPRG
Nr4a1,rPRG
Ppp1r15a,rPRG
