Symbol,Gene ID,Means(Resilient),Means(Control),log2(Resilient / Control),PValue,Up/Down Regulation,Gene Name,,,,,,,,,,
1110015O18Rik,100503859,24.31823444,48.79304181,-1.004636936,0.031545114,DOWN,RIKEN cDNA 1110015O18 gene,,,,,,,,,,
4930473A02Rik,321014,84.69525106,41.73516941,1.021017452,0.003931727,UP,RIKEN cDNA 4930473A02 gene,,,,,,,,,,
4930555G01Rik,108978,5.968253705,16.28906315,-1.448522861,0.013558608,DOWN,RIKEN cDNA 4930555G01 gene,,,,,,,,,,
9930111J21Rik2,245240,1.900797436,4.50483116,-1.24486824,0.029401991,DOWN,RIKEN cDNA 9930111J21 gene 2,,,,,,,,,,
A530016L24Rik,319942,4.786428396,12.09367216,-1.337230943,0.021976444,DOWN,RIKEN cDNA A530016L24 gene,,,,,,,,,,
A930012L18Rik,626275,21.90261695,9.711835502,1.173287364,0.018372463,UP,RIKEN cDNA A930012L18 gene,,,,,,,,,,
Abhd1,57742,46.94931637,149.54905,-1.67144269,0.000525182,DOWN,abhydrolase domain containing 1,,,,,,,,,,
Acot12,74156,4.396499269,10.0762913,-1.196537601,0.040771819,DOWN,acyl-CoA thioesterase 12,,,,,,,,,,
Amd2,100041585,32.14468541,212.7386418,-2.726429971,3.51E-06,DOWN,S-adenosylmethionine decarboxylase 2,,,,,,,,,,
Arhgap33os,100504207,6.904779704,16.0234377,-1.214516408,0.030464555,DOWN,"Rho GTPase activating protein 33, opposite strand",,,,,,,,,,
Arhgef37,328967,37.11428437,74.80878366,-1.011233122,0.044579281,DOWN,Rho guanine nucleotide exchange factor (GEF) 37,,,,,,,,,,
Awat2,245532,4.400898309,1.758031026,1.323837504,0.017789779,UP,acyl-CoA wax alcohol acyltransferase 2,,,,,,,,,,
B3gnt9,97440,68.99126374,139.4922015,-1.015698876,0.013225479,DOWN,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9",,,,,,,,,,
Bub1b,12236,48.91956595,13.86958599,1.81848688,0.000160014,UP,"BUB1B, mitotic checkpoint serine/threonine kinase",,,,,,,,,,
C030037D09Rik,193280,152.1620435,68.14658516,1.158895256,0.02409338,UP,RIKEN cDNA C030037D09 gene,,,,,,,,,,
Ccr6,12458,2.077653159,5.363206211,-1.368140892,0.014552863,DOWN,chemokine (C-C motif) receptor 6,,,,,,,,,,
Cd6,12511,56.22916901,24.7415765,1.184381296,0.012309336,UP,CD6 antigen,,,,,,,,,,
Cdkn1c,12577,612.4420315,197.013749,1.636276983,0.000718763,UP,cyclin-dependent kinase inhibitor 1C (P57),,,,,,,,,,
Cfhr2,545366,2.393133877,5.347299534,-1.159909386,0.038118528,DOWN,complement factor H-related 2,,,,,,,,,,
Clec1a,243653,2.907434647,6.507832517,-1.16243036,0.048259695,DOWN,"C-type lectin domain family 1, member a",,,,,,,,,,
Cyp26a1,13082,17.40856306,8.256694632,1.07616087,0.040164313,UP,"cytochrome P450, family 26, subfamily a, polypeptide 1",,,,,,,,,,
Cyp2c55,72082,2.879717599,1.346970596,1.096208982,0.04190209,UP,"cytochrome P450, family 2, subfamily c, polypeptide 55",,,,,,,,,,
D330041H03Rik,654822,5.842681935,19.74807468,-1.757009347,0.002728526,DOWN,RIKEN cDNA D330041H03 gene,,,,,,,,,,
Dio3,107585,260.634165,121.7701419,1.097865783,0.036081054,UP,"deiodinase, iodothyronine type III",,,,,,,,,,
Dmrtb1,56296,5.263336022,15.59045744,-1.566613852,0.003646298,DOWN,"DMRT-like family B with proline-rich C-terminal, 1",,,,,,,,,,
Dnah8,13417,8.557793059,19.98214034,-1.223400424,0.035986866,DOWN,"dynein, axonemal, heavy chain 8",,,,,,,,,,
