configuration_id,bioproject,gene_name,mean,gene_logfc,gene_lfcSE,gene_stat,gene_pvalue,gene_qvalue,conditions
PRJNA292861_0,PRJNA292861,Calm2,4904.196047,0.775193016,0.122600578,6.322914871,2.57E-10,3.36E-06,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.5"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_0,PRJNA292861,Vaultrc5,5021.005173,-0.644474439,0.1131681,-5.694841917,1.23E-08,8.07E-05,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.5"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_0,PRJNA292861,Npm1,238.1296437,-1.353109485,0.250585003,-5.399802339,6.67E-08,0.00029083,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.5"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_0,PRJNA292861,Prdx6,251.0147299,1.008540334,0.213802848,4.717151077,2.39E-06,0.007819666,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.5"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_0,PRJNA292861,Snora81,544.8255545,-0.784070761,0.169013669,-4.639096749,3.50E-06,0.009152906,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.5"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_0,PRJNA292861,Synj2bp-cox16,114.4482407,1.32249711,0.311309316,4.248177102,2.16E-05,0.046975521,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.5"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_1,PRJNA292861,Calm2,5094.116267,0.768240246,0.104671678,7.339523556,2.14E-13,2.34E-09,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.1666"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_1,PRJNA292861,Canx,4321.328758,0.790275891,0.111439301,7.091536688,1.33E-12,7.23E-09,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.1666"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_1,PRJNA292861,Malat1,42172.45255,0.60360041,0.089122236,6.772725128,1.26E-11,4.59E-08,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.1666"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_1,PRJNA292861,1110002L01Rik,113.0387897,2.338954853,0.426823748,5.479907962,4.26E-08,0.000115994,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.1666"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
