Symbol,Gene ID,Means(Susceptible),Means(Control),log2(Susceptible / Control),PValue,Up/Down Regulation,Gene Name
A930007I19Rik,77779,9.510015882,19.1958574,-1.013275346,0.040847804,DOWN,RIKEN cDNA A930007I19 gene
Alas2,11656,39.55601875,16.03152094,1.302985925,0.009016411,UP,"aminolevulinic acid synthase 2, erythroid"
AW549542,100993,6.372965553,13.78152832,-1.112699119,0.029814546,DOWN,expressed sequence AW549542
C130036L24Rik,319336,5.441845035,12.0465896,-1.146456997,0.025063293,DOWN,RIKEN cDNA C130036L24 gene
C1qtnf9,239126,4.017077089,8.16548255,-1.023391999,0.04894236,DOWN,C1q and tumor necrosis factor related protein 9
Card14,170720,1.917847206,3.987583563,-1.056026966,0.026239321,DOWN,"caspase recruitment domain family, member 14"
Cd86,12524,12.80546592,28.48846515,-1.153618151,0.008937525,DOWN,CD86 antigen
Cfhr2,545366,2.374291939,4.831053607,-1.024840524,0.029224234,DOWN,complement factor H-related 2
Cldn23,71908,7.598021477,15.77174462,-1.05364656,0.043000771,DOWN,claudin 23
Cyp3a13,13113,9.911168565,21.49501255,-1.116874881,0.029721625,DOWN,"cytochrome P450, family 3, subfamily a, polypeptide 13"
Dok3,27261,74.15926103,35.67262113,1.055809643,0.017662539,UP,docking protein 3
Epsti1,108670,7.791969932,15.99981429,-1.037995144,0.044331605,DOWN,epithelial stromal interaction 1 (breast)
Fibcd1,98970,549.3779422,252.6943401,1.120405636,0.003151314,UP,fibrinogen C domain containing 1
Galnt15,78754,32.30308589,64.83187873,-1.00503139,0.013998894,DOWN,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 15
Gimap9,317758,17.16658172,6.140963958,1.483065752,0.004203694,UP,"GTPase, IMAP family member 9"
Gm11837,100038514,3.847446592,8.655952896,-1.169791348,0.026229177,DOWN,predicted gene 11837
Hist2h2aa2,319192,34.5323583,72.56225825,-1.071270493,0.029680587,DOWN,"histone cluster 2, H2aa2"
Hsd3b3,15494,2.508712249,5.375413821,-1.099428821,0.031297349,DOWN,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 3"
Iqgap3,404710,7.682802366,16.39425374,-1.093485685,0.035314921,DOWN,IQ motif containing GTPase activating protein 3
Lhx9,16876,53.64631571,19.69811433,1.445421564,0.004958982,UP,LIM homeobox protein 9
Lrrcc1,71710,285.7524977,770.1603298,-1.430392705,0.001396696,DOWN,leucine rich repeat and coiled-coil domain containing 1
Lst1,16988,4.101814387,10.02873354,-1.289805315,0.01417035,DOWN,leukocyte specific transcript 1
Ninj2,29862,9.956015732,20.77046145,-1.060892853,0.037983891,DOWN,ninjurin 2
