,configuration_id,bioproject,gene_name,mean,gene_logfc,gene_lfcSE,gene_stat,gene_pvalue,gene_qvalue,conditions
PRJNA322294_4,PRJNA322294,Col6a1,2924.939449,0.7528294,0.101688024,7.403324087,1.33E-13,1.95E-09,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Vgll3,107.0022586,-2.396287635,0.331072881,-7.237946012,4.56E-13,3.34E-09,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Olig3,36.87666298,-4.075787103,0.61682527,-6.607685027,3.90E-11,1.91E-07,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,C1ql2,173.8789979,-1.823108507,0.285922295,-6.376237668,1.81E-10,6.65E-07,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Meis2,3842.56398,1.364560612,0.218905809,6.233551389,4.56E-10,1.34E-06,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Adamts3,884.8470944,1.192319867,0.195889334,6.086701321,1.15E-09,2.82E-06,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Krt2,47.37236319,-4.114630697,0.680833609,-6.043518773,1.51E-09,3.16E-06,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Rasd2,3324.388332,0.845690808,0.143026974,5.912806415,3.36E-09,6.16E-06,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Myo1b,899.4032998,0.622060166,0.109675587,5.671819796,1.41E-08,2.30E-05,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Sema5b,618.3395173,0.803298948,0.144228776,5.569616344,2.55E-08,3.74E-05,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
